dataset,variable,dtype,dims,shape,lat_dim,lon_dim,time_dim,lead_dim,level_dim,member_dim
era5_truth_240,10m_u_component_of_wind,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,10m_v_component_of_wind,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,10m_wind_speed,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,2m_dewpoint_temperature,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,2m_temperature,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,above_ground,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,ageostrophic_wind_speed,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,angle_of_sub_gridscale_orography,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,anisotropy_of_sub_gridscale_orography,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,boundary_layer_height,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,divergence,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,eddy_kinetic_energy,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,geopotential,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,geopotential_at_surface,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,geostrophic_wind_speed,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,high_vegetation_cover,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,integrated_vapor_transport,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,lake_cover,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,land_sea_mask,float32,"longitude,latitude",240x121,latitude,longitude,,,,
era5_truth_240,lapse_rate,float32,"time,level,longitude,latitude",93544x13x240x121,latitude,longitude,time,,level,
era5_truth_240,leaf_area_index_high_vegetation,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,leaf_area_index_low_vegetation,float32,"time,longitude,latitude",93544x240x121,latitude,longitude,time,,,
era5_truth_240,low_vegetation_cover,float32,"longitude,latitude",240x121,latitude,longitude,,,,
