window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2020-01-01_2020-03-31,HRES,1 days,EuroAtlantic,0.05319444444444445,0.1875,0.35124999999999956,0.475,180
2020-01-01_2020-03-31,HRES,1 days,Pacific,0.04055555555555555,0.1375,0.17562499999999978,0.5,180
2020-01-01_2020-03-31,HRES,3 days,EuroAtlantic,0.054403409090909086,0.1875,0.35624999999999996,0.475,176
2020-01-01_2020-03-31,HRES,3 days,Pacific,0.04147727272727273,0.1375,0.17812499999999998,0.5,176
2020-01-01_2020-03-31,HRES,5 days,EuroAtlantic,0.05545058139534884,0.1875,0.3612499999999997,0.475,172
2020-01-01_2020-03-31,HRES,5 days,Pacific,0.04244186046511628,0.1375,0.18062499999999984,0.5,172
2020-01-01_2020-03-31,HRES,7 days,EuroAtlantic,0.0546875,0.19125000000000014,0.36625000000000013,0.475,168
2020-01-01_2020-03-31,HRES,7 days,Pacific,0.042782738095238096,0.14125000000000015,0.18312500000000007,0.5,168
2020-01-01_2020-03-31,GraphCast,1 days,EuroAtlantic,0.05319444444444445,0.1875,0.35124999999999956,0.475,180
2020-01-01_2020-03-31,GraphCast,1 days,Pacific,0.04055555555555555,0.1375,0.17562499999999978,0.5,180
2020-01-01_2020-03-31,GraphCast,3 days,EuroAtlantic,0.054403409090909086,0.1875,0.35624999999999996,0.475,176
2020-01-01_2020-03-31,GraphCast,3 days,Pacific,0.04147727272727273,0.1375,0.17812499999999998,0.5,176
2020-01-01_2020-03-31,GraphCast,5 days,EuroAtlantic,0.05545058139534884,0.1875,0.3612499999999997,0.475,172
2020-01-01_2020-03-31,GraphCast,5 days,Pacific,0.04244186046511628,0.1375,0.18062499999999984,0.5,172
2020-01-01_2020-03-31,GraphCast,7 days,EuroAtlantic,0.0546875,0.19125000000000014,0.36625000000000013,0.475,168
2020-01-01_2020-03-31,GraphCast,7 days,Pacific,0.042782738095238096,0.14125000000000015,0.18312500000000007,0.5,168
2020-01-01_2020-03-31,NeuralGCM,1 days,EuroAtlantic,0.05319444444444445,0.1875,0.35124999999999956,0.475,180
2020-01-01_2020-03-31,NeuralGCM,1 days,Pacific,0.04055555555555555,0.1375,0.17562499999999978,0.5,180
2020-01-01_2020-03-31,NeuralGCM,3 days,EuroAtlantic,0.054403409090909086,0.1875,0.35624999999999996,0.475,176
2020-01-01_2020-03-31,NeuralGCM,3 days,Pacific,0.04147727272727273,0.1375,0.17812499999999998,0.5,176
2020-01-01_2020-03-31,NeuralGCM,5 days,EuroAtlantic,0.05545058139534884,0.1875,0.3612499999999997,0.475,172
2020-01-01_2020-03-31,NeuralGCM,5 days,Pacific,0.04244186046511628,0.1375,0.18062499999999984,0.5,172
2020-01-01_2020-03-31,NeuralGCM,7 days,EuroAtlantic,0.0546875,0.19125000000000014,0.36625000000000013,0.475,168
2020-01-01_2020-03-31,NeuralGCM,7 days,Pacific,0.042782738095238096,0.14125000000000015,0.18312500000000007,0.5,168
