window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2020-01-01_2020-03-31,z500,HRES,1 days,49.73548669774197,0.9980259278592568,37.85726663598597,-8.72100389042438,180
2020-01-01_2020-03-31,z500,HRES,3 days,137.8112754810049,0.9847459843173388,91.50507865115281,-13.629179959749917,176
2020-01-01_2020-03-31,z500,HRES,5 days,301.8658933958626,0.9270135735098447,186.12098056092884,-20.107415763385543,172
2020-01-01_2020-03-31,z500,HRES,7 days,516.3415399136873,0.7883210524215568,311.8700569702349,-26.01545395559993,168
2020-01-01_2020-03-31,z500,GraphCast,1 days,39.54916773174296,0.9987478089855801,29.252835197083712,-3.6998645700846233,180
2020-01-01_2020-03-31,z500,GraphCast,3 days,122.06807047110883,0.9880396551733305,77.54133940218985,-10.948186815251226,176
2020-01-01_2020-03-31,z500,GraphCast,5 days,269.5121872652676,0.9405899356792968,159.15501454718054,-20.110337258820564,172
2020-01-01_2020-03-31,z500,GraphCast,7 days,467.7411060747062,0.8188467153159665,271.27164890143,-29.38491120679001,168
2020-01-01_2020-03-31,z500,NeuralGCM,1 days,37.604688430031125,0.9988709644015883,28.308860523861625,-6.652296498024446,180
2020-01-01_2020-03-31,z500,NeuralGCM,3 days,113.13379936915607,0.9897224990721802,71.2371286304146,-7.002764159401928,176
2020-01-01_2020-03-31,z500,NeuralGCM,5 days,259.36767043019944,0.9457188104839934,152.13044598668804,-5.511367669576477,172
2020-01-01_2020-03-31,z500,NeuralGCM,7 days,458.7340897372735,0.8302327459484566,265.7780584753302,-4.182991047265059,168
2020-01-01_2020-03-31,t850,HRES,1 days,0.7261307730740122,0.9797821434342555,0.5098589329878696,-0.027599953631355343,180
2020-01-01_2020-03-31,t850,HRES,3 days,1.1514246195842035,0.9492335387012095,0.7965391737361803,-0.01710335649928811,176
2020-01-01_2020-03-31,t850,HRES,5 days,1.8134550573234556,0.8741582207655013,1.2039822471574118,-0.043252844106080796,172
2020-01-01_2020-03-31,t850,HRES,7 days,2.6535219099225933,0.7326405764215791,1.7303316531998476,-0.08128048450203085,168
2020-01-01_2020-03-31,t850,GraphCast,1 days,0.510717386334233,0.9900563916929852,0.36657960229483566,-0.018597444595883576,180
2020-01-01_2020-03-31,t850,GraphCast,3 days,0.9365880469808232,0.9661047490614539,0.6464680771066761,-0.04313585305748064,176
2020-01-01_2020-03-31,t850,GraphCast,5 days,1.5621494567286895,0.904200257514367,1.020895777771418,-0.08632183392084879,172
2020-01-01_2020-03-31,t850,GraphCast,7 days,2.369928178250923,0.7781518434255543,1.510228409424965,-0.12302955674203335,168
2020-01-01_2020-03-31,t850,NeuralGCM,1 days,0.5392626394818161,0.9889212393124531,0.38745661761987565,-0.007423887641357912,180
2020-01-01_2020-03-31,t850,NeuralGCM,3 days,0.9533919892283937,0.9648939728533013,0.6601577792314051,0.002140699225903649,176
2020-01-01_2020-03-31,t850,NeuralGCM,5 days,1.5674897470215468,0.9041190698132644,1.0310791325655588,0.026081258582858476,172
2020-01-01_2020-03-31,t850,NeuralGCM,7 days,2.3660261425641558,0.7818631234434198,1.5205364525034017,0.04073806386680653,168
2020-01-01_2020-03-31,u850,HRES,1 days,1.2980396429461325,0.9729494020638938,0.9531783252037875,0.004748883220176936,180
2020-01-01_2020-03-31,u850,HRES,3 days,2.327959116401122,0.912427268241403,1.6313444067843803,0.002682022581164942,176
2020-01-01_2020-03-31,u850,HRES,5 days,3.6519628874183074,0.7839081637983533,2.491281082012915,-0.04217806749567769,172
2020-01-01_2020-03-31,u850,HRES,7 days,4.97735168137199,0.5994990434249828,3.4146445519727653,-0.08073776554730076,168
2020-01-01_2020-03-31,u850,GraphCast,1 days,0.9949547572131918,0.9841366101948568,0.728319489721507,0.003282392889923887,180
2020-01-01_2020-03-31,u850,GraphCast,3 days,1.9222753707809561,0.9394054095567672,1.3418951188172192,0.04156931383763224,176
2020-01-01_2020-03-31,u850,GraphCast,5 days,3.106646792738498,0.8359881502208817,2.099962168285345,0.0619290192345805,172
2020-01-01_2020-03-31,u850,GraphCast,7 days,4.334604503666067,0.6738395620032394,2.939041631391523,0.08080658920378583,168
2020-01-01_2020-03-31,u850,NeuralGCM,1 days,1.0440808877342167,0.982527872120019,0.7693567564302892,-0.003999275203892396,180
2020-01-01_2020-03-31,u850,NeuralGCM,3 days,1.9514707926625783,0.9378469568527538,1.367958644187986,0.018529352671336777,176
2020-01-01_2020-03-31,u850,NeuralGCM,5 days,3.1629063451911006,0.834963793661074,2.1376026749716406,0.050109775771561484,172
2020-01-01_2020-03-31,u850,NeuralGCM,7 days,4.469206698794904,0.6709020179906526,3.0207969826293075,0.06772293855906347,168
2020-01-01_2020-03-31,v850,HRES,1 days,1.3137505383401284,0.9702971460064173,0.9588988097221054,-0.009365117657066479,180
2020-01-01_2020-03-31,v850,HRES,3 days,2.344187785747962,0.9043549496272455,1.6122682031634767,-0.018279691926920888,176
2020-01-01_2020-03-31,v850,HRES,5 days,3.6761143281218014,0.7650137320208067,2.4556858250076843,-0.013751122782552796,172
2020-01-01_2020-03-31,v850,HRES,7 days,5.043733733296008,0.5590587415374374,3.3613909066196004,-0.018339925604652415,168
2020-01-01_2020-03-31,v850,GraphCast,1 days,1.0147149042681,0.9823091317432657,0.7387600538865808,-0.004002836675675788,180
2020-01-01_2020-03-31,v850,GraphCast,3 days,1.9489100558226105,0.9330652522967476,1.3369593560806583,0.005944823259401376,176
2020-01-01_2020-03-31,v850,GraphCast,5 days,3.157340861485541,0.8171125949061623,2.0815438284920496,0.006989050265550403,172
2020-01-01_2020-03-31,v850,GraphCast,7 days,4.42253780023192,0.6271547811888573,2.895648210811298,-0.002267693737180331,168
2020-01-01_2020-03-31,v850,NeuralGCM,1 days,1.0666196607277485,0.9804475206019924,0.7825539348218353,-0.013045030972709372,180
2020-01-01_2020-03-31,v850,NeuralGCM,3 days,1.979561082793612,0.9312738542355933,1.3652683732351696,0.008380660107353454,176
2020-01-01_2020-03-31,v850,NeuralGCM,5 days,3.224477640801118,0.8153775574714707,2.130300202185708,0.009166217831966476,172
2020-01-01_2020-03-31,v850,NeuralGCM,7 days,4.5791372805778225,0.6240043651577998,3.004523844753986,0.01229331607913231,168
2020-01-01_2020-03-31,mslp,HRES,1 days,63.52185332376984,0.9959509576665264,45.40734675684917,-1.7147226626489864,180
2020-01-01_2020-03-31,mslp,HRES,3 days,149.41403039121036,0.9774081683958904,95.49344133384962,-2.1427421760065886,176
2020-01-01_2020-03-31,mslp,HRES,5 days,306.7418530351412,0.9050470283467132,184.13156397085888,-1.9217590111142708,172
2020-01-01_2020-03-31,mslp,HRES,7 days,507.1488245158969,0.7444517751936989,301.62425477577955,-1.514964655070494,168
2020-01-01_2020-03-31,mslp,GraphCast,1 days,48.32570736988356,0.9976550363616752,35.21788927796335,-4.52714736317635,180
2020-01-01_2020-03-31,mslp,GraphCast,3 days,130.3054119374421,0.9829057155863868,83.12244239762062,-12.112565966300936,176
2020-01-01_2020-03-31,mslp,GraphCast,5 days,272.9215698295786,0.9236589668240849,163.48342240146835,-18.27831518247482,172
2020-01-01_2020-03-31,mslp,GraphCast,7 days,455.4767962196585,0.7858174541187928,269.4459436104993,-22.210494452737375,168
