window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2020-01-01_2020-03-31,z500,HRES,1 days,0,RMSE,40,50.09313051172205,49.394433155615936,50.80305674437986,50.198383328144885,1.793333293023475
2020-01-01_2020-03-31,z500,HRES,1 days,1,RMSE,22,48.47979478628886,47.55385091566793,49.73024130868695,47.53449455366114,2.2197653343900843
2020-01-01_2020-03-31,z500,HRES,1 days,2,RMSE,64,50.4074854735527,49.56101752418888,51.313714648447146,50.09304352401594,2.538761869557183
2020-01-01_2020-03-31,z500,HRES,1 days,3,RMSE,54,49.18570054664712,48.64395183784955,49.894636756794505,48.87425325342781,1.995137539676042
2020-01-01_2020-03-31,z500,HRES,3 days,0,RMSE,40,134.8635484882362,130.01978986632344,140.6439365962344,132.91203984926236,10.476333032670661
2020-01-01_2020-03-31,z500,HRES,3 days,1,RMSE,22,131.29872469620526,126.04334085287962,135.8730485026611,132.59121552969518,8.937020525472326
2020-01-01_2020-03-31,z500,HRES,3 days,2,RMSE,60,136.45281586170972,132.97795574849786,139.15785550049065,135.95774751821472,8.870057465541946
2020-01-01_2020-03-31,z500,HRES,3 days,3,RMSE,54,144.15743796496886,139.33409025244893,150.59526825675837,142.1997076380966,15.40574415871492
2020-01-01_2020-03-31,z500,HRES,5 days,0,RMSE,40,297.30141087358186,279.1395325325393,319.46920774803436,293.40226359585154,39.9144192475192
2020-01-01_2020-03-31,z500,HRES,5 days,1,RMSE,22,287.02863421934705,278.1147832478561,290.27239332874285,283.9482853197663,21.02520709538292
2020-01-01_2020-03-31,z500,HRES,5 days,2,RMSE,56,288.052244590829,276.7082311708772,295.3953882586584,285.1629063424358,27.325602085047603
2020-01-01_2020-03-31,z500,HRES,5 days,3,RMSE,54,325.61706628209316,307.8567180925107,346.1882680896215,318.9922903966734,47.69016550439355
2020-01-01_2020-03-31,z500,HRES,7 days,0,RMSE,40,506.0978410386606,465.9926676223788,547.0710626932078,505.4431548904665,79.28463833081128
2020-01-01_2020-03-31,z500,HRES,7 days,1,RMSE,22,480.07542474848015,467.6891664893279,492.21380215854094,483.13523834719433,26.141983474419977
2020-01-01_2020-03-31,z500,HRES,7 days,2,RMSE,52,502.1279352181715,481.91895794899744,526.3282804989905,494.7738731734429,56.71173309373329
2020-01-01_2020-03-31,z500,HRES,7 days,3,RMSE,54,552.3917238544732,525.5126073756547,582.645574060997,550.1194749996837,69.61612420140511
2020-01-01_2020-03-31,z500,GraphCast,1 days,0,RMSE,40,38.782537172683,38.30642156929517,39.32060815973082,38.58563013577467,1.5143089489364605
2020-01-01_2020-03-31,z500,GraphCast,1 days,1,RMSE,22,38.65839918577712,38.04277546725972,39.455308363927436,38.11508424260457,1.4521673317015042
2020-01-01_2020-03-31,z500,GraphCast,1 days,2,RMSE,64,40.16901175073964,39.406013435390356,40.967482902380375,40.04993356319142,2.1260606072887
2020-01-01_2020-03-31,z500,GraphCast,1 days,3,RMSE,54,39.74531797540704,39.09733247313905,40.44450081169317,39.822336147956726,1.93138619833317
2020-01-01_2020-03-31,z500,GraphCast,3 days,0,RMSE,40,119.78082590509743,115.23479305615679,124.89052381765352,117.75662124241435,10.799090588188067
2020-01-01_2020-03-31,z500,GraphCast,3 days,1,RMSE,22,118.59550442285376,114.43241691326392,121.81881080684387,118.29937273947786,7.949513531421516
2020-01-01_2020-03-31,z500,GraphCast,3 days,2,RMSE,60,121.89384602494692,117.93495324463696,125.31308039981971,121.00676438857903,8.863940843187738
