window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-01-01_2020-03-31,z500,HRES,1 days,0.5,1.0170805346567708,0.015766933188817542
2020-01-01_2020-03-31,z500,HRES,1 days,1.5,0.9885882766893682,293523.50120002823
2020-01-01_2020-03-31,z500,HRES,1 days,2.5,0.989978430223427,128685.20244631202
2020-01-01_2020-03-31,z500,HRES,1 days,3.5,0.9830398112777298,111970.00072905334
2020-01-01_2020-03-31,z500,HRES,1 days,4.5,0.9810318009994252,89404.8455134284
2020-01-01_2020-03-31,z500,HRES,1 days,5.5,0.9847121567234459,71107.87950552994
2020-01-01_2020-03-31,z500,HRES,1 days,6.5,0.982014116946463,61950.15318593506
2020-01-01_2020-03-31,z500,HRES,1 days,7.5,0.983219499733424,54073.81198374989
2020-01-01_2020-03-31,z500,HRES,1 days,8.5,0.9810764297670926,48067.2355922491
2020-01-01_2020-03-31,z500,HRES,1 days,9.5,0.9774314196727052,42012.408665369454
2020-01-01_2020-03-31,z500,HRES,1 days,10.5,0.9710291449625558,37325.74223568899
2020-01-01_2020-03-31,z500,HRES,1 days,11.5,0.97180426564431,34796.2561071662
2020-01-01_2020-03-31,z500,HRES,1 days,12.5,0.9731774470523641,30355.06932123233
2020-01-01_2020-03-31,z500,HRES,1 days,13.5,0.9731374092055849,26964.61690413224
2020-01-01_2020-03-31,z500,HRES,1 days,14.5,0.9773322604369891,24379.299391841258
2020-01-01_2020-03-31,z500,HRES,1 days,15.5,0.9698840121561552,22360.456351975517
2020-01-01_2020-03-31,z500,HRES,1 days,16.5,0.9740465493849426,20353.806688527136
2020-01-01_2020-03-31,z500,HRES,1 days,17.5,0.9734388222888358,18560.878525109365
2020-01-01_2020-03-31,z500,HRES,1 days,18.5,0.9715601540273714,17026.08058871824
2020-01-01_2020-03-31,z500,HRES,1 days,19.5,0.975371595801599,15795.43769990407
2020-01-01_2020-03-31,z500,HRES,1 days,20.5,0.9748786615251839,14679.390549659
2020-01-01_2020-03-31,z500,HRES,1 days,21.5,0.9766429017482017,13413.050804424462
2020-01-01_2020-03-31,z500,HRES,1 days,22.5,0.9734577535733179,12568.423002809555
2020-01-01_2020-03-31,z500,HRES,1 days,23.5,0.9791342694519488,11588.139760940727
2020-01-01_2020-03-31,z500,HRES,1 days,24.5,0.982012396257497,10785.143837984253
2020-01-01_2020-03-31,z500,HRES,1 days,25.5,0.9863477979762628,10013.367053362348
2020-01-01_2020-03-31,z500,HRES,1 days,26.5,0.9875247174450759,9324.192239889806
2020-01-01_2020-03-31,z500,HRES,1 days,27.5,0.9899156610715786,8772.770432438709
2020-01-01_2020-03-31,z500,HRES,1 days,28.5,0.9940095288389851,8303.713484375676
2020-01-01_2020-03-31,z500,HRES,1 days,29.5,0.9925532761546163,7744.623812248439
2020-01-01_2020-03-31,z500,HRES,1 days,30.5,0.9848808942641722,7364.592663798965
2020-01-01_2020-03-31,z500,HRES,1 days,31.5,0.9831309278401728,6911.357239007849
2020-01-01_2020-03-31,z500,HRES,1 days,32.5,0.9810737455085475,6578.344268106205
2020-01-01_2020-03-31,z500,HRES,1 days,33.5,0.9876833567523027,6182.95693076563
2020-01-01_2020-03-31,z500,HRES,1 days,34.5,0.9908903893662435,5828.101185114255
2020-01-01_2020-03-31,z500,HRES,1 days,35.5,0.9888592410970938,5610.258352678604
2020-01-01_2020-03-31,z500,HRES,1 days,36.5,0.9906370219241292,5262.208471655402
2020-01-01_2020-03-31,z500,HRES,1 days,37.5,0.9952617152434832,5055.677334901419
2020-01-01_2020-03-31,z500,HRES,1 days,38.5,0.9966379455272011,4742.981327737895
2020-01-01_2020-03-31,z500,HRES,1 days,39.5,0.9955222170388534,4586.284867838936
2020-01-01_2020-03-31,z500,HRES,1 days,40.5,0.9953056029895836,4421.173795854687
2020-01-01_2020-03-31,z500,HRES,1 days,41.5,0.9943331511887825,4119.556100722255
2020-01-01_2020-03-31,z500,HRES,1 days,42.5,0.9959853526694205,4004.991790879303
2020-01-01_2020-03-31,z500,HRES,1 days,43.5,1.0019135648100281,3773.7361897115907
2020-01-01_2020-03-31,z500,HRES,1 days,44.5,0.997249653197061,3663.3869162410538
2020-01-01_2020-03-31,z500,HRES,1 days,45.5,0.9975875438925681,3517.139543747634
2020-01-01_2020-03-31,z500,HRES,1 days,46.5,0.9985561838166,3338.375170954177
2020-01-01_2020-03-31,z500,HRES,1 days,47.5,1.0006882358396865,3266.2745508443763
2020-01-01_2020-03-31,z500,HRES,1 days,48.5,0.9982715320763633,3102.8941849335233
2020-01-01_2020-03-31,z500,HRES,1 days,49.5,0.9994913720659366,3030.1288200731747
2020-01-01_2020-03-31,z500,HRES,1 days,50.5,1.0011001881601937,2895.7606138455426
2020-01-01_2020-03-31,z500,HRES,1 days,51.5,1.001709534084162,2787.0493485664174
2020-01-01_2020-03-31,z500,HRES,1 days,52.5,1.0018935323337916,2741.8356012360186
2020-01-01_2020-03-31,z500,HRES,1 days,53.5,1.000416575630457,2608.3396648203125
2020-01-01_2020-03-31,z500,HRES,1 days,54.5,1.0006843611499459,2563.945380968696
2020-01-01_2020-03-31,z500,HRES,1 days,55.5,1.0015385246864394,2436.248751798453
2020-01-01_2020-03-31,z500,HRES,1 days,56.5,1.0007539515658899,2410.9876611237814
2020-01-01_2020-03-31,z500,HRES,1 days,57.5,1.0002623347357809,2334.335687694115
2020-01-01_2020-03-31,z500,HRES,1 days,58.5,0.9997270419433106,2270.427577895171
2020-01-01_2020-03-31,z500,HRES,1 days,59.5,1.0020626711352316,2219.3441386344307
2020-01-01_2020-03-31,z500,HRES,1 days,60.5,1.003291825093842,2150.022694915146
2020-01-01_2020-03-31,z500,HRES,1 days,61.5,1.0309849034456655,1809.1650455157
2020-01-01_2020-03-31,z500,HRES,1 days,62.5,1.0452157224649214,1743.0621639296708
2020-01-01_2020-03-31,z500,HRES,1 days,63.5,1.0431346776491228,1707.2821729781565
2020-01-01_2020-03-31,z500,HRES,1 days,64.5,1.045994496575573,1669.7322343903359
2020-01-01_2020-03-31,z500,HRES,1 days,65.5,1.0519115359259235,1612.5731099144057
2020-01-01_2020-03-31,z500,HRES,1 days,66.5,1.0392518665607533,1607.3221915753704
2020-01-01_2020-03-31,z500,HRES,1 days,67.5,1.0415066132839956,1544.0445938572198
2020-01-01_2020-03-31,z500,HRES,1 days,68.5,1.049765142728621,1524.6453545962172
2020-01-01_2020-03-31,z500,HRES,1 days,69.5,1.0413550324880751,1490.6892843834455
2020-01-01_2020-03-31,z500,HRES,1 days,70.5,1.0459916083357477,1442.200196917841
2020-01-01_2020-03-31,z500,HRES,1 days,71.5,1.0482886261321,1423.3914566446251
2020-01-01_2020-03-31,z500,HRES,1 days,72.5,1.0403941536248817,1382.3605228597926
2020-01-01_2020-03-31,z500,HRES,1 days,73.5,1.0303363156935221,1361.3811165672184
2020-01-01_2020-03-31,z500,HRES,1 days,74.5,1.035449240169941,1330.128893144196
2020-01-01_2020-03-31,z500,HRES,1 days,75.5,1.0332216460916301,1286.4484773539818
2020-01-01_2020-03-31,z500,HRES,1 days,76.5,1.0439454755052535,1277.9761919897219
2020-01-01_2020-03-31,z500,HRES,1 days,77.5,1.0593856692401775,1221.7208305289262
2020-01-01_2020-03-31,z500,HRES,1 days,78.5,1.0468197260870813,1223.798909566165
2020-01-01_2020-03-31,z500,HRES,1 days,79.5,1.038320629257568,1177.6411432010311
2020-01-01_2020-03-31,z500,HRES,1 days,80.5,1.0430625778108598,1170.0376869705972
2020-01-01_2020-03-31,z500,HRES,1 days,81.5,1.041234355535529,1142.059926359023
2020-01-01_2020-03-31,z500,HRES,1 days,82.5,1.0490749034707747,1113.7719054587485
2020-01-01_2020-03-31,z500,HRES,1 days,83.5,1.0558733706181989,1098.4719567192078
2020-01-01_2020-03-31,z500,HRES,1 days,84.5,1.0753268290442621,1064.155304622377
