window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2020-01-01_2020-03-31,HRES,1 days,0,369.499782510323,50.09313051172205,40
2020-01-01_2020-03-31,HRES,1 days,1,353.84857962710794,48.47979478628886,22
2020-01-01_2020-03-31,HRES,1 days,2,380.692226154446,50.4074854735527,63
2020-01-01_2020-03-31,HRES,1 days,3,397.97995023058616,49.18570054664712,54
2020-01-01_2020-03-31,HRES,3 days,0,370.59502537253746,134.8635484882362,40
2020-01-01_2020-03-31,HRES,3 days,1,358.50121542467036,131.29872469620526,22
2020-01-01_2020-03-31,HRES,3 days,2,383.1702908453454,136.45281586170972,59
2020-01-01_2020-03-31,HRES,3 days,3,404.7748443355159,144.15743796496886,54
2020-01-01_2020-03-31,HRES,5 days,0,403.66939523488884,297.30141087358186,40
2020-01-01_2020-03-31,HRES,5 days,1,387.4836969286444,287.02863421934705,22
2020-01-01_2020-03-31,HRES,5 days,2,415.7144523951014,288.052244590829,55
2020-01-01_2020-03-31,HRES,5 days,3,439.4767080667152,325.61706628209316,54
2020-01-01_2020-03-31,HRES,7 days,0,490.7684743188549,506.0978410386606,40
2020-01-01_2020-03-31,HRES,7 days,1,462.4313990733527,480.07542474848015,22
2020-01-01_2020-03-31,HRES,7 days,2,499.5622497567308,502.1279352181715,51
2020-01-01_2020-03-31,HRES,7 days,3,544.5465200354807,552.3917238544732,54
2020-01-01_2020-03-31,GraphCast,1 days,0,370.9388130411447,38.782537172683,40
2020-01-01_2020-03-31,GraphCast,1 days,1,354.87950902676926,38.65839918577712,22
2020-01-01_2020-03-31,GraphCast,1 days,2,381.52147834822154,40.16901175073964,63
2020-01-01_2020-03-31,GraphCast,1 days,3,399.11210459999046,39.74531797540704,54
2020-01-01_2020-03-31,GraphCast,3 days,0,357.7860455640369,119.78082590509743,40
2020-01-01_2020-03-31,GraphCast,3 days,1,348.54813292487967,118.59550442285376,22
2020-01-01_2020-03-31,GraphCast,3 days,2,371.3425346428777,121.89384602494692,59
2020-01-01_2020-03-31,GraphCast,3 days,3,385.3850563048906,125.37065755391951,54
2020-01-01_2020-03-31,GraphCast,5 days,0,353.68128999976705,262.89430490673055,40
2020-01-01_2020-03-31,GraphCast,5 days,1,353.52043732725707,251.3757446644092,22
2020-01-01_2020-03-31,GraphCast,5 days,2,374.8601802994324,263.08414744301416,55
2020-01-01_2020-03-31,GraphCast,5 days,3,390.71409251362167,288.4693587765002,54
2020-01-01_2020-03-31,GraphCast,7 days,0,385.3018279760501,456.1219947056661,40
2020-01-01_2020-03-31,GraphCast,7 days,1,396.6381762612038,420.5794038729999,22
2020-01-01_2020-03-31,GraphCast,7 days,2,415.4668146906753,456.32480337793766,51
2020-01-01_2020-03-31,GraphCast,7 days,3,435.38683797334573,506.55535873083744,54
2020-01-01_2020-03-31,NeuralGCM,1 days,0,369.3620643079568,37.077751005351885,40
2020-01-01_2020-03-31,NeuralGCM,1 days,1,353.40742291096274,36.04269627896983,22
2020-01-01_2020-03-31,NeuralGCM,1 days,2,379.9813471237784,38.26628944941856,63
2020-01-01_2020-03-31,NeuralGCM,1 days,3,397.61804975819757,37.847259894285266,54
2020-01-01_2020-03-31,NeuralGCM,3 days,0,366.08181515649244,111.11405859303497,40
2020-01-01_2020-03-31,NeuralGCM,3 days,1,353.7403843907365,108.36949596220674,22
2020-01-01_2020-03-31,NeuralGCM,3 days,2,379.699483788215,113.73782987854875,59
2020-01-01_2020-03-31,NeuralGCM,3 days,3,394.3709300930729,115.89977113645548,54
2020-01-01_2020-03-31,NeuralGCM,5 days,0,383.25874608673746,251.70761324442088,40
2020-01-01_2020-03-31,NeuralGCM,5 days,1,365.024740879478,240.0291595179755,22
2020-01-01_2020-03-31,NeuralGCM,5 days,2,399.94961277492257,254.2672582578598,55
2020-01-01_2020-03-31,NeuralGCM,5 days,3,412.5790022718981,278.2097557848491,54
2020-01-01_2020-03-31,NeuralGCM,7 days,0,435.66898543115275,443.50308337835577,40
2020-01-01_2020-03-31,NeuralGCM,7 days,1,431.45868285786213,425.86173157778956,22
2020-01-01_2020-03-31,NeuralGCM,7 days,2,467.7094324554505,446.01879636762294,51
2020-01-01_2020-03-31,NeuralGCM,7 days,3,488.51203638085656,495.6531154611104,54
