window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2018-01-01_2018-12-31,6,3,0,440,0.3013698630136986,0.6090080738067627
2018-01-01_2018-12-31,6,3,1,629,0.43082191780821916,0.6090080738067627
2018-01-01_2018-12-31,6,3,2,391,0.2678082191780822,0.6090080738067627
2018-01-01_2018-12-31,6,4,0,386,0.26438356164383564,0.6090080738067627
2018-01-01_2018-12-31,6,4,1,227,0.15547945205479452,0.6090080738067627
2018-01-01_2018-12-31,6,4,2,407,0.2787671232876712,0.6090080738067627
2018-01-01_2018-12-31,6,4,3,440,0.3013698630136986,0.6090080738067627
2018-01-01_2018-12-31,6,5,0,371,0.2541095890410959,0.6090080738067627
2018-01-01_2018-12-31,6,5,1,263,0.18013698630136987,0.6090080738067627
2018-01-01_2018-12-31,6,5,2,227,0.15547945205479452,0.6090080738067627
2018-01-01_2018-12-31,6,5,3,319,0.2184931506849315,0.6090080738067627
2018-01-01_2018-12-31,6,5,4,280,0.1917808219178082,0.6090080738067627
2018-01-01_2018-12-31,6,6,0,275,0.18835616438356165,0.6090080738067627
2018-01-01_2018-12-31,6,6,1,228,0.15616438356164383,0.6090080738067627
2018-01-01_2018-12-31,6,6,2,248,0.16986301369863013,0.6090080738067627
2018-01-01_2018-12-31,6,6,3,346,0.236986301369863,0.6090080738067627
2018-01-01_2018-12-31,6,6,4,173,0.1184931506849315,0.6090080738067627
2018-01-01_2018-12-31,6,6,5,190,0.13013698630136986,0.6090080738067627
2018-01-01_2018-12-31,8,3,0,384,0.26301369863013696,0.6488175988197327
2018-01-01_2018-12-31,8,3,1,617,0.4226027397260274,0.6488175988197327
2018-01-01_2018-12-31,8,3,2,459,0.31438356164383563,0.6488175988197327
2018-01-01_2018-12-31,8,4,0,231,0.15821917808219177,0.6488175988197327
2018-01-01_2018-12-31,8,4,1,460,0.3150684931506849,0.6488175988197327
2018-01-01_2018-12-31,8,4,2,396,0.27123287671232876,0.6488175988197327
2018-01-01_2018-12-31,8,4,3,373,0.2554794520547945,0.6488175988197327
2018-01-01_2018-12-31,8,5,0,182,0.12465753424657534,0.6488175988197327
2018-01-01_2018-12-31,8,5,1,231,0.15821917808219177,0.6488175988197327
2018-01-01_2018-12-31,8,5,2,396,0.27123287671232876,0.6488175988197327
2018-01-01_2018-12-31,8,5,3,374,0.25616438356164384,0.6488175988197327
2018-01-01_2018-12-31,8,5,4,277,0.18972602739726027,0.6488175988197327
2018-01-01_2018-12-31,8,6,0,269,0.18424657534246575,0.6488175988197327
2018-01-01_2018-12-31,8,6,1,239,0.1636986301369863,0.6488175988197327
