window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2019-01-01_2019-12-31,HRES,1 days,49.88358455632438,48.22615094830362,219,509
2019-01-01_2019-12-31,HRES,3 days,145.26809063826067,141.09045840605845,218,506
2019-01-01_2019-12-31,HRES,5 days,318.9948066982419,303.8722922163735,215,505
2019-01-01_2019-12-31,HRES,7 days,525.9912332507586,515.0494361558248,211,505
2019-01-01_2019-12-31,GraphCast,1 days,36.96066335041904,36.184813763381776,20,70
2019-01-01_2019-12-31,GraphCast,3 days,120.62740307123424,113.36516429422001,20,66
2019-01-01_2019-12-31,GraphCast,5 days,257.2224754807975,249.23882901174096,19,63
2019-01-01_2019-12-31,GraphCast,7 days,461.476170081974,438.5547506594402,15,63
2019-01-01_2019-12-31,NeuralGCM,1 days,,,0,0
2019-01-01_2019-12-31,NeuralGCM,3 days,,,0,0
2019-01-01_2019-12-31,NeuralGCM,5 days,,,0,0
2019-01-01_2019-12-31,NeuralGCM,7 days,,,0,0
