window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2019-01-01_2019-12-31,z500,HRES,1 days,48.72474704741976,0.9989139568167814,36.49543506802028,-4.367078467313472,728
2019-01-01_2019-12-31,z500,HRES,3 days,142.3483642439315,0.990628246544715,91.5282493505151,-7.602288924232362,724
2019-01-01_2019-12-31,z500,HRES,5 days,308.3880430685981,0.9554798779955036,185.28461085562486,-12.024581856944218,720
2019-01-01_2019-12-31,z500,HRES,7 days,518.2739042941364,0.872724762743475,308.0927668815211,-17.46121161543333,716
2019-01-01_2019-12-31,z500,GraphCast,1 days,36.35722478272339,0.9988954126621994,26.776102888790753,-2.344834612985932,90
2019-01-01_2019-12-31,z500,GraphCast,3 days,115.05405703306052,0.9888461816991321,72.37830160768588,-4.467814534946351,86
2019-01-01_2019-12-31,z500,GraphCast,5 days,251.08869831554676,0.9459285851382092,148.60227887032042,-7.954192785733989,82
2019-01-01_2019-12-31,z500,GraphCast,7 days,442.9627159330044,0.8281870922809731,257.8322101005375,-12.61578005567665,78
2019-01-01_2019-12-31,z500,NeuralGCM,1 days,,,,,0
2019-01-01_2019-12-31,z500,NeuralGCM,3 days,,,,,0
2019-01-01_2019-12-31,z500,NeuralGCM,5 days,,,,,0
2019-01-01_2019-12-31,z500,NeuralGCM,7 days,,,,,0
2019-01-01_2019-12-31,t850,HRES,1 days,0.7392143592024186,0.9890447850441378,0.5132517973568107,-0.02816449758383051,728
2019-01-01_2019-12-31,t850,HRES,3 days,1.185006880902247,0.9718497170988623,0.8088156295126654,-0.024591431300654193,724
2019-01-01_2019-12-31,t850,HRES,5 days,1.8464716875970313,0.9311212042321917,1.2155016631602724,-0.04827358276547652,720
2019-01-01_2019-12-31,t850,HRES,7 days,2.639013959175392,0.85795236711217,1.720977418668474,-0.08404854801077236,716
2019-01-01_2019-12-31,t850,GraphCast,1 days,0.5019354655178728,0.9886637094826107,0.3598227518173889,-0.015898224824209623,90
2019-01-01_2019-12-31,t850,GraphCast,3 days,0.8910407987582429,0.963827441688792,0.6201135130391123,-0.02676521055704235,86
