window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2019-01-01_2019-12-31,HRES,1 days,0,375.02066036698284,48.894251106590545,167
2019-01-01_2019-12-31,HRES,1 days,1,375.7591902467236,49.27946223599269,252
2019-01-01_2019-12-31,HRES,1 days,2,370.07399669153483,47.79641981461358,147
2019-01-01_2019-12-31,HRES,1 days,3,341.81333129214045,48.52483389606593,161
2019-01-01_2019-12-31,HRES,3 days,0,381.8120052182719,144.26141853681185,167
2019-01-01_2019-12-31,HRES,3 days,1,379.54355463343853,143.75485672660005,248
2019-01-01_2019-12-31,HRES,3 days,2,374.7369110242359,138.2895616969366,147
2019-01-01_2019-12-31,HRES,3 days,3,348.6140419825938,141.8946206371785,161
2019-01-01_2019-12-31,HRES,5 days,0,418.9374784467202,316.08840285420706,167
2019-01-01_2019-12-31,HRES,5 days,1,413.9328577871532,308.42075624800566,244
2019-01-01_2019-12-31,HRES,5 days,2,410.41165683445104,300.5667073888738,147
2019-01-01_2019-12-31,HRES,5 days,3,391.45410352327974,307.4921519615665,161
2019-01-01_2019-12-31,HRES,7 days,0,527.2192920216548,540.1539049603678,167
2019-01-01_2019-12-31,HRES,7 days,1,504.3318502000714,509.28716403032684,240
2019-01-01_2019-12-31,HRES,7 days,2,513.779420306468,514.1778627175007,147
2019-01-01_2019-12-31,HRES,7 days,3,502.79883635556615,512.7705651890609,161
2019-01-01_2019-12-31,GraphCast,1 days,1,358.4283189058224,36.35851276430098,80
2019-01-01_2019-12-31,GraphCast,1 days,2,364.20859738847844,36.346920930102684,9
2019-01-01_2019-12-31,GraphCast,3 days,1,346.8689995743189,115.22662887255456,80
2019-01-01_2019-12-31,GraphCast,3 days,2,350.4441021475761,112.75309917314024,5
2019-01-01_2019-12-31,GraphCast,5 days,1,344.47292224081986,250.6009131431881,80
2019-01-01_2019-12-31,GraphCast,5 days,2,394.156627874246,270.6001052098934,1
2019-01-01_2019-12-31,GraphCast,7 days,1,389.8715617030675,442.9627159330045,77
