dataset,variable_key,lead_hours,n_valid_times,forecast_shape,truth_shape,status
graphcast_2020_240,z500,24,730,730x240x121,730x240x121,ok
graphcast_2020_240,z500,72,726,726x240x121,726x240x121,ok
graphcast_2020_240,z500,120,722,722x240x121,722x240x121,ok
graphcast_2020_240,z500,168,718,718x240x121,718x240x121,ok
graphcast_2020_240,t850,24,730,730x240x121,730x240x121,ok
graphcast_2020_240,t850,72,726,726x240x121,726x240x121,ok
graphcast_2020_240,t850,120,722,722x240x121,722x240x121,ok
graphcast_2020_240,t850,168,718,718x240x121,718x240x121,ok
graphcast_2020_240,u850,24,730,730x240x121,730x240x121,ok
graphcast_2020_240,u850,72,726,726x240x121,726x240x121,ok
graphcast_2020_240,u850,120,722,722x240x121,722x240x121,ok
graphcast_2020_240,u850,168,718,718x240x121,718x240x121,ok
graphcast_2020_240,v850,24,730,730x240x121,730x240x121,ok
graphcast_2020_240,v850,72,726,726x240x121,726x240x121,ok
graphcast_2020_240,v850,120,722,722x240x121,722x240x121,ok
graphcast_2020_240,v850,168,718,718x240x121,718x240x121,ok
graphcast_2020_240,mslp,24,730,730x240x121,730x240x121,ok
graphcast_2020_240,mslp,72,726,726x240x121,726x240x121,ok
graphcast_2020_240,mslp,120,722,722x240x121,722x240x121,ok
graphcast_2020_240,mslp,168,718,718x240x121,718x240x121,ok
hres_0012_240,z500,24,730,730x240x121,730x240x121,ok
hres_0012_240,z500,72,726,726x240x121,726x240x121,ok
hres_0012_240,z500,120,722,722x240x121,722x240x121,ok
hres_0012_240,z500,168,718,718x240x121,718x240x121,ok
hres_0012_240,t850,24,730,730x240x121,730x240x121,ok
hres_0012_240,t850,72,726,726x240x121,726x240x121,ok
hres_0012_240,t850,120,722,722x240x121,722x240x121,ok
hres_0012_240,t850,168,718,718x240x121,718x240x121,ok
hres_0012_240,u850,24,730,730x240x121,730x240x121,ok
hres_0012_240,u850,72,726,726x240x121,726x240x121,ok
hres_0012_240,u850,120,722,722x240x121,722x240x121,ok
hres_0012_240,u850,168,718,718x240x121,718x240x121,ok
hres_0012_240,v850,24,730,730x240x121,730x240x121,ok
hres_0012_240,v850,72,726,726x240x121,726x240x121,ok
hres_0012_240,v850,120,722,722x240x121,722x240x121,ok
hres_0012_240,v850,168,718,718x240x121,718x240x121,ok
hres_0012_240,mslp,24,730,730x240x121,730x240x121,ok
hres_0012_240,mslp,72,726,726x240x121,726x240x121,ok
hres_0012_240,mslp,120,722,722x240x121,722x240x121,ok
hres_0012_240,mslp,168,718,718x240x121,718x240x121,ok
neuralgcm_det_2020_240,z500,24,730,730x240x121,730x240x121,ok
neuralgcm_det_2020_240,z500,72,726,726x240x121,726x240x121,ok
neuralgcm_det_2020_240,z500,120,722,722x240x121,722x240x121,ok
neuralgcm_det_2020_240,z500,168,718,718x240x121,718x240x121,ok
neuralgcm_det_2020_240,t850,24,730,730x240x121,730x240x121,ok
neuralgcm_det_2020_240,t850,72,726,726x240x121,726x240x121,ok
neuralgcm_det_2020_240,t850,120,722,722x240x121,722x240x121,ok
neuralgcm_det_2020_240,t850,168,718,718x240x121,718x240x121,ok
neuralgcm_det_2020_240,u850,24,730,730x240x121,730x240x121,ok
neuralgcm_det_2020_240,u850,72,726,726x240x121,726x240x121,ok
neuralgcm_det_2020_240,u850,120,722,722x240x121,722x240x121,ok
neuralgcm_det_2020_240,u850,168,718,718x240x121,718x240x121,ok
neuralgcm_det_2020_240,v850,24,730,730x240x121,730x240x121,ok
neuralgcm_det_2020_240,v850,72,726,726x240x121,726x240x121,ok
neuralgcm_det_2020_240,v850,120,722,722x240x121,722x240x121,ok
neuralgcm_det_2020_240,v850,168,718,718x240x121,718x240x121,ok
