window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2020-01-01_2020-12-31,HRES,1 days,EuroAtlantic,0.060667808219178075,0.2125,0.3125,0.475,730
2020-01-01_2020-12-31,HRES,1 days,Pacific,0.020513698630136988,0.07625000000000028,0.1375,0.5,730
2020-01-01_2020-12-31,HRES,3 days,EuroAtlantic,0.06100206611570247,0.2125,0.3125,0.475,726
2020-01-01_2020-12-31,HRES,3 days,Pacific,0.0206267217630854,0.08124999999999999,0.1375,0.5,726
2020-01-01_2020-12-31,HRES,5 days,EuroAtlantic,0.06128808864265928,0.2125,0.3125,0.475,722
2020-01-01_2020-12-31,HRES,5 days,Pacific,0.0207409972299169,0.08624999999999972,0.1375,0.5,722
2020-01-01_2020-12-31,HRES,7 days,EuroAtlantic,0.06114206128133705,0.2125,0.3125,0.475,718
2020-01-01_2020-12-31,HRES,7 days,Pacific,0.020699860724233986,0.07875000000000085,0.1375,0.5,718
2020-01-01_2020-12-31,GraphCast,1 days,EuroAtlantic,0.060667808219178075,0.2125,0.3125,0.475,730
2020-01-01_2020-12-31,GraphCast,1 days,Pacific,0.020513698630136988,0.07625000000000028,0.1375,0.5,730
2020-01-01_2020-12-31,GraphCast,3 days,EuroAtlantic,0.06100206611570247,0.2125,0.3125,0.475,726
2020-01-01_2020-12-31,GraphCast,3 days,Pacific,0.0206267217630854,0.08124999999999999,0.1375,0.5,726
2020-01-01_2020-12-31,GraphCast,5 days,EuroAtlantic,0.06128808864265928,0.2125,0.3125,0.475,722
2020-01-01_2020-12-31,GraphCast,5 days,Pacific,0.0207409972299169,0.08624999999999972,0.1375,0.5,722
2020-01-01_2020-12-31,GraphCast,7 days,EuroAtlantic,0.06114206128133705,0.2125,0.3125,0.475,718
2020-01-01_2020-12-31,GraphCast,7 days,Pacific,0.020699860724233986,0.07875000000000085,0.1375,0.5,718
2020-01-01_2020-12-31,NeuralGCM,1 days,EuroAtlantic,0.060667808219178075,0.2125,0.3125,0.475,730
2020-01-01_2020-12-31,NeuralGCM,1 days,Pacific,0.020513698630136988,0.07625000000000028,0.1375,0.5,730
2020-01-01_2020-12-31,NeuralGCM,3 days,EuroAtlantic,0.06100206611570247,0.2125,0.3125,0.475,726
2020-01-01_2020-12-31,NeuralGCM,3 days,Pacific,0.0206267217630854,0.08124999999999999,0.1375,0.5,726
2020-01-01_2020-12-31,NeuralGCM,5 days,EuroAtlantic,0.06128808864265928,0.2125,0.3125,0.475,722
2020-01-01_2020-12-31,NeuralGCM,5 days,Pacific,0.0207409972299169,0.08624999999999972,0.1375,0.5,722
2020-01-01_2020-12-31,NeuralGCM,7 days,EuroAtlantic,0.06114206128133705,0.2125,0.3125,0.475,718
2020-01-01_2020-12-31,NeuralGCM,7 days,Pacific,0.020699860724233986,0.07875000000000085,0.1375,0.5,718
