window,model,lead,div_rmse_mean,vort_rmse_mean
2020-01-01_2020-12-31,HRES,1 days,6.287311019154306e-06,1.0188239933312393e-05
2020-01-01_2020-12-31,HRES,3 days,8.293609035320304e-06,1.780013028687118e-05
2020-01-01_2020-12-31,HRES,5 days,9.65181597301745e-06,2.4121528474284853e-05
2020-01-01_2020-12-31,HRES,7 days,1.0546719966845346e-05,2.8276283309285833e-05
2020-01-01_2020-12-31,GraphCast,1 days,4.756987823898896e-06,7.6016181560620125e-06
2020-01-01_2020-12-31,GraphCast,3 days,6.588919685038142e-06,1.4395387073379618e-05
2020-01-01_2020-12-31,GraphCast,5 days,7.836575575549366e-06,1.9920850034471592e-05
2020-01-01_2020-12-31,GraphCast,7 days,8.831256604677506e-06,2.395167554379452e-05
2020-01-01_2020-12-31,NeuralGCM,1 days,5.164909467598086e-06,8.03296565747935e-06
2020-01-01_2020-12-31,NeuralGCM,3 days,6.983757257217419e-06,1.5107653112233462e-05
2020-01-01_2020-12-31,NeuralGCM,5 days,8.319429731304819e-06,2.134501509536016e-05
2020-01-01_2020-12-31,NeuralGCM,7 days,9.288743476480965e-06,2.5888013663769064e-05
