window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2020-01-01_2020-12-31,z500,HRES,1 days,0,RMSE,154,46.388320359472544,45.86419301641247,46.91520285736111,46.08125582870659,2.1884284075771814
2020-01-01_2020-12-31,z500,HRES,1 days,1,RMSE,208,46.94542780407217,46.50358797994446,47.462170742150484,46.63572117051198,2.3289116599051862
2020-01-01_2020-12-31,z500,HRES,1 days,2,RMSE,183,49.00696170257076,48.2449180700935,49.73180804827059,49.23720394282991,2.915837757435223
2020-01-01_2020-12-31,z500,HRES,1 days,3,RMSE,185,45.995123065138095,45.432976055444676,46.57611820237558,45.873862600387206,2.5024419447253328
2020-01-01_2020-12-31,z500,HRES,3 days,0,RMSE,154,136.7672471460281,134.1504247100947,139.8174709352115,135.8946956906551,12.466072951889931
2020-01-01_2020-12-31,z500,HRES,3 days,1,RMSE,208,138.6782396006756,135.9730106354123,142.03517418614112,137.7848505440597,13.473806791345917
2020-01-01_2020-12-31,z500,HRES,3 days,2,RMSE,179,133.2537975775318,130.46475713485654,135.9058954997318,132.88133631093217,12.027301433575676
2020-01-01_2020-12-31,z500,HRES,3 days,3,RMSE,185,137.4911120777627,134.19277923180735,141.3324148977453,136.65484536583728,13.56810718642462
2020-01-01_2020-12-31,z500,HRES,5 days,0,RMSE,154,302.80868523033945,295.6521941694825,308.7618311321396,297.0736797968579,32.9656212361226
2020-01-01_2020-12-31,z500,HRES,5 days,1,RMSE,208,313.6987544791748,304.83317248270635,324.00001677734315,310.65159448954296,42.40827649903193
2020-01-01_2020-12-31,z500,HRES,5 days,2,RMSE,175,287.41670092110274,278.5235578569027,296.1249040382342,283.14468963736095,35.13556537902156
2020-01-01_2020-12-31,z500,HRES,5 days,3,RMSE,185,308.0092517725968,301.51362578523253,315.59727205786845,303.62410898354113,32.9306614236292
2020-01-01_2020-12-31,z500,HRES,7 days,0,RMSE,154,511.9514938215595,499.50904789708454,523.6384943244553,504.01507657456773,50.47137458390048
2020-01-01_2020-12-31,z500,HRES,7 days,1,RMSE,208,539.5594354465352,524.130935239935,556.5520847522308,533.943485173784,74.01223199203777
2020-01-01_2020-12-31,z500,HRES,7 days,2,RMSE,171,488.4424118327929,472.0889696646023,506.9183860547264,487.17831228884256,62.690637360848896
2020-01-01_2020-12-31,z500,HRES,7 days,3,RMSE,185,527.9540169059608,515.2983973731227,539.7834782771806,525.2641299204209,59.67105574123017
2020-01-01_2020-12-31,z500,GraphCast,1 days,0,RMSE,154,40.728134797487535,40.29654152942743,41.163339375774925,40.55101441591893,1.992897805175189
2020-01-01_2020-12-31,z500,GraphCast,1 days,1,RMSE,208,39.82982734123899,39.386889751493634,40.225977289208565,39.85201203430753,2.138866105032216
2020-01-01_2020-12-31,z500,GraphCast,1 days,2,RMSE,183,39.12728339019676,38.67217396820952,39.63283458326789,38.97254623342004,2.0455441084160286
2020-01-01_2020-12-31,z500,GraphCast,1 days,3,RMSE,185,39.33274976729845,38.949066777911085,39.73825832994697,39.36613928587678,1.980155324170125
2020-01-01_2020-12-31,z500,GraphCast,3 days,0,RMSE,154,127.01588109803532,124.57373836402576,129.14719715103902,126.07766728325521,10.748152270155213
2020-01-01_2020-12-31,z500,GraphCast,3 days,1,RMSE,208,125.88120963418116,123.0937560008636,129.06767751698794,125.47552099881314,13.209258027464763
2020-01-01_2020-12-31,z500,GraphCast,3 days,2,RMSE,179,118.28514155977402,115.55859281369212,120.7303220240017,117.85228497586269,10.500078343774724
2020-01-01_2020-12-31,z500,GraphCast,3 days,3,RMSE,185,123.62603243664749,120.83221141048925,126.50810269935934,122.16128909410946,11.416631987546394
2020-01-01_2020-12-31,z500,GraphCast,5 days,0,RMSE,154,278.36581290694176,270.78772255320257,284.55627544930087,276.35994966561634,28.367364034164787
2020-01-01_2020-12-31,z500,GraphCast,5 days,1,RMSE,208,280.7170265091971,270.91840825131675,291.73612201670494,276.44481881563115,42.85258155815776
