hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
185,7,3,533,0.9635416666666666,0.015957446808510637,0.9487179487179487,0.9791666666666666,192,188,2021-01-01_2021-12-31,HRES,1 days,EuroAtlantic
43,2,3,680,0.9555555555555556,0.06521739130434782,0.8958333333333334,1.0222222222222221,45,46,2021-01-01_2021-12-31,HRES,1 days,Pacific
177,13,9,525,0.9315789473684211,0.04838709677419355,0.8894472361809045,0.9789473684210527,190,186,2021-01-01_2021-12-31,HRES,3 days,EuroAtlantic
35,10,9,670,0.7777777777777778,0.20454545454545456,0.6481481481481481,0.9777777777777777,45,44,2021-01-01_2021-12-31,HRES,3 days,Pacific
155,31,24,510,0.8333333333333334,0.1340782122905028,0.7380952380952381,0.9623655913978495,186,179,2021-01-01_2021-12-31,HRES,5 days,EuroAtlantic
32,13,19,656,0.7111111111111111,0.37254901960784315,0.5,1.1333333333333333,45,51,2021-01-01_2021-12-31,HRES,5 days,Pacific
117,65,43,491,0.6428571428571429,0.26875,0.52,0.8791208791208791,182,160,2021-01-01_2021-12-31,HRES,7 days,EuroAtlantic
22,23,31,640,0.4888888888888889,0.5849056603773585,0.2894736842105263,1.1777777777777778,45,53,2021-01-01_2021-12-31,HRES,7 days,Pacific
10,1,1,50,0.9090909090909091,0.09090909090909091,0.8333333333333334,1.0,11,11,2021-01-01_2021-12-31,GraphCast,1 days,EuroAtlantic
0,0,0,62,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,GraphCast,1 days,Pacific
9,0,3,50,1.0,0.25,0.75,1.3333333333333333,9,12,2021-01-01_2021-12-31,GraphCast,3 days,EuroAtlantic
0,0,0,62,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,GraphCast,3 days,Pacific
5,0,4,53,1.0,0.4444444444444444,0.5555555555555556,1.8,5,9,2021-01-01_2021-12-31,GraphCast,5 days,EuroAtlantic
0,0,0,62,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,GraphCast,5 days,Pacific
1,0,4,57,1.0,0.8,0.2,5.0,1,5,2021-01-01_2021-12-31,GraphCast,7 days,EuroAtlantic
1,0,1,60,1.0,0.5,0.5,2.0,1,2,2021-01-01_2021-12-31,GraphCast,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,NeuralGCM,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,NeuralGCM,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,NeuralGCM,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,NeuralGCM,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,NeuralGCM,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,NeuralGCM,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,NeuralGCM,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2021-01-01_2021-12-31,NeuralGCM,7 days,Pacific
