window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2022-01-01_2022-12-31,HRES,1 days,0.02,403,0.5535714285714286
2022-01-01_2022-12-31,HRES,1 days,0.05,371,0.5096153846153846
2022-01-01_2022-12-31,HRES,1 days,0.1,271,0.37225274725274726
2022-01-01_2022-12-31,HRES,1 days,0.2,113,0.15521978021978022
2022-01-01_2022-12-31,HRES,1 days,0.5,4,0.005494505494505495
2022-01-01_2022-12-31,HRES,3 days,0.02,399,0.5511049723756906
2022-01-01_2022-12-31,HRES,3 days,0.05,367,0.5069060773480663
2022-01-01_2022-12-31,HRES,3 days,0.1,268,0.3701657458563536
2022-01-01_2022-12-31,HRES,3 days,0.2,113,0.15607734806629833
2022-01-01_2022-12-31,HRES,3 days,0.5,4,0.0055248618784530384
2022-01-01_2022-12-31,HRES,5 days,0.02,395,0.5486111111111112
2022-01-01_2022-12-31,HRES,5 days,0.05,363,0.5041666666666667
2022-01-01_2022-12-31,HRES,5 days,0.1,265,0.3680555555555556
2022-01-01_2022-12-31,HRES,5 days,0.2,110,0.1527777777777778
2022-01-01_2022-12-31,HRES,5 days,0.5,4,0.005555555555555556
2022-01-01_2022-12-31,HRES,7 days,0.02,392,0.547486033519553
2022-01-01_2022-12-31,HRES,7 days,0.05,361,0.5041899441340782
2022-01-01_2022-12-31,HRES,7 days,0.1,263,0.36731843575418993
2022-01-01_2022-12-31,HRES,7 days,0.2,110,0.15363128491620112
2022-01-01_2022-12-31,HRES,7 days,0.5,4,0.00558659217877095
2022-01-01_2022-12-31,GraphCast,1 days,0.02,0,
2022-01-01_2022-12-31,GraphCast,1 days,0.05,0,
2022-01-01_2022-12-31,GraphCast,1 days,0.1,0,
2022-01-01_2022-12-31,GraphCast,1 days,0.2,0,
2022-01-01_2022-12-31,GraphCast,1 days,0.5,0,
2022-01-01_2022-12-31,GraphCast,3 days,0.02,0,
2022-01-01_2022-12-31,GraphCast,3 days,0.05,0,
2022-01-01_2022-12-31,GraphCast,3 days,0.1,0,
2022-01-01_2022-12-31,GraphCast,3 days,0.2,0,
2022-01-01_2022-12-31,GraphCast,3 days,0.5,0,
2022-01-01_2022-12-31,GraphCast,5 days,0.02,0,
2022-01-01_2022-12-31,GraphCast,5 days,0.05,0,
2022-01-01_2022-12-31,GraphCast,5 days,0.1,0,
2022-01-01_2022-12-31,GraphCast,5 days,0.2,0,
2022-01-01_2022-12-31,GraphCast,5 days,0.5,0,
2022-01-01_2022-12-31,GraphCast,7 days,0.02,0,
2022-01-01_2022-12-31,GraphCast,7 days,0.05,0,
2022-01-01_2022-12-31,GraphCast,7 days,0.1,0,
2022-01-01_2022-12-31,GraphCast,7 days,0.2,0,
2022-01-01_2022-12-31,GraphCast,7 days,0.5,0,
2022-01-01_2022-12-31,NeuralGCM,1 days,0.02,0,
2022-01-01_2022-12-31,NeuralGCM,1 days,0.05,0,
2022-01-01_2022-12-31,NeuralGCM,1 days,0.1,0,
2022-01-01_2022-12-31,NeuralGCM,1 days,0.2,0,
2022-01-01_2022-12-31,NeuralGCM,1 days,0.5,0,
2022-01-01_2022-12-31,NeuralGCM,3 days,0.02,0,
2022-01-01_2022-12-31,NeuralGCM,3 days,0.05,0,
2022-01-01_2022-12-31,NeuralGCM,3 days,0.1,0,
2022-01-01_2022-12-31,NeuralGCM,3 days,0.2,0,
2022-01-01_2022-12-31,NeuralGCM,3 days,0.5,0,
2022-01-01_2022-12-31,NeuralGCM,5 days,0.02,0,
2022-01-01_2022-12-31,NeuralGCM,5 days,0.05,0,
2022-01-01_2022-12-31,NeuralGCM,5 days,0.1,0,
2022-01-01_2022-12-31,NeuralGCM,5 days,0.2,0,
2022-01-01_2022-12-31,NeuralGCM,5 days,0.5,0,
2022-01-01_2022-12-31,NeuralGCM,7 days,0.02,0,
2022-01-01_2022-12-31,NeuralGCM,7 days,0.05,0,
2022-01-01_2022-12-31,NeuralGCM,7 days,0.1,0,
2022-01-01_2022-12-31,NeuralGCM,7 days,0.2,0,
2022-01-01_2022-12-31,NeuralGCM,7 days,0.5,0,
