window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2022-01-01_2022-12-31,z500,HRES,1 days,0.5,1.012346228129784,0.023390993729842137
2022-01-01_2022-12-31,z500,HRES,1 days,1.5,0.9923831180941106,221805.35991084314
2022-01-01_2022-12-31,z500,HRES,1 days,2.5,0.9915741235523091,118005.1726986183
2022-01-01_2022-12-31,z500,HRES,1 days,3.5,0.9841056775555814,107208.80780829984
2022-01-01_2022-12-31,z500,HRES,1 days,4.5,0.9861788316851795,83080.30085833918
2022-01-01_2022-12-31,z500,HRES,1 days,5.5,0.9852667845398221,71174.78859303893
2022-01-01_2022-12-31,z500,HRES,1 days,6.5,0.9886233221006426,64011.15428354925
2022-01-01_2022-12-31,z500,HRES,1 days,7.5,0.9866688394587415,52847.502069447444
2022-01-01_2022-12-31,z500,HRES,1 days,8.5,0.9884988894483573,46988.02741711459
2022-01-01_2022-12-31,z500,HRES,1 days,9.5,0.9882460824111621,42151.799912579714
2022-01-01_2022-12-31,z500,HRES,1 days,10.5,0.9892117208773583,37169.1711462353
2022-01-01_2022-12-31,z500,HRES,1 days,11.5,0.9924545983834624,34664.49907062401
2022-01-01_2022-12-31,z500,HRES,1 days,12.5,0.9926908220621329,30249.81078083505
2022-01-01_2022-12-31,z500,HRES,1 days,13.5,0.9936010083751781,27039.43346169128
2022-01-01_2022-12-31,z500,HRES,1 days,14.5,0.9992804817949257,24505.049154775683
2022-01-01_2022-12-31,z500,HRES,1 days,15.5,0.9991640054013233,22210.358393054063
2022-01-01_2022-12-31,z500,HRES,1 days,16.5,0.9997611216067737,20445.496100579945
2022-01-01_2022-12-31,z500,HRES,1 days,17.5,0.999707269892413,18585.69354320283
2022-01-01_2022-12-31,z500,HRES,1 days,18.5,1.0022666442217643,17065.288912431814
2022-01-01_2022-12-31,z500,HRES,1 days,19.5,1.0022420988490746,15760.601092333778
2022-01-01_2022-12-31,z500,HRES,1 days,20.5,1.0044308058651124,14662.479895887114
2022-01-01_2022-12-31,z500,HRES,1 days,21.5,1.0027212308185705,13387.21655689536
2022-01-01_2022-12-31,z500,HRES,1 days,22.5,1.0038705179708065,12476.626244964775
2022-01-01_2022-12-31,z500,HRES,1 days,23.5,1.0034478176284294,11543.426252449179
2022-01-01_2022-12-31,z500,HRES,1 days,24.5,1.0035319133532905,10764.678388965318
2022-01-01_2022-12-31,z500,HRES,1 days,25.5,1.0038932232539362,9970.420039531107
2022-01-01_2022-12-31,z500,HRES,1 days,26.5,1.003855978813326,9294.222072157789
2022-01-01_2022-12-31,z500,HRES,1 days,27.5,1.0018887939607806,8808.975389596077
2022-01-01_2022-12-31,z500,HRES,1 days,28.5,1.0014723144091804,8344.881469267679
2022-01-01_2022-12-31,z500,HRES,1 days,29.5,1.0026786502005276,7776.339376748366
2022-01-01_2022-12-31,z500,HRES,1 days,30.5,1.0044843692566423,7336.32957187782
2022-01-01_2022-12-31,z500,HRES,1 days,31.5,1.004808693349628,6858.081598721964
2022-01-01_2022-12-31,z500,HRES,1 days,32.5,1.005661222830836,6567.510315978192
2022-01-01_2022-12-31,z500,HRES,1 days,33.5,1.0046564066138255,6203.922963228778
2022-01-01_2022-12-31,z500,HRES,1 days,34.5,1.0057389538910204,5836.067714661126
2022-01-01_2022-12-31,z500,HRES,1 days,35.5,1.0064985733252372,5634.114167927556
2022-01-01_2022-12-31,z500,HRES,1 days,36.5,1.0088836175726559,5294.574256356825
2022-01-01_2022-12-31,z500,HRES,1 days,37.5,1.0068502326516782,5081.910633574123
2022-01-01_2022-12-31,z500,HRES,1 days,38.5,1.0077830899280242,4766.829936098768
2022-01-01_2022-12-31,z500,HRES,1 days,39.5,1.0062700418176598,4579.848882930925
2022-01-01_2022-12-31,z500,HRES,1 days,40.5,1.0073004894472537,4423.79452031348
2022-01-01_2022-12-31,z500,HRES,1 days,41.5,1.0069198040422664,4148.409832673175
2022-01-01_2022-12-31,z500,HRES,1 days,42.5,1.0081653515479159,4013.275071574657
2022-01-01_2022-12-31,z500,HRES,1 days,43.5,1.0082674506726348,3792.8566388070767
2022-01-01_2022-12-31,z500,HRES,1 days,44.5,1.0076954475154265,3673.8038161533127
2022-01-01_2022-12-31,z500,HRES,1 days,45.5,1.007824801459738,3535.625381858831
2022-01-01_2022-12-31,z500,HRES,1 days,46.5,1.0077529660907731,3373.0643687368406
2022-01-01_2022-12-31,z500,HRES,1 days,47.5,1.0080976130586445,3264.114849292263
2022-01-01_2022-12-31,z500,HRES,1 days,48.5,1.0080992136797753,3118.0184014295937
2022-01-01_2022-12-31,z500,HRES,1 days,49.5,1.0087822154198114,3036.394479042775
2022-01-01_2022-12-31,z500,HRES,1 days,50.5,1.00801510618593,2902.6054949107224
2022-01-01_2022-12-31,z500,HRES,1 days,51.5,1.0077301652072412,2809.2135523193488
2022-01-01_2022-12-31,z500,HRES,1 days,52.5,1.0080879305205097,2749.7777710872
2022-01-01_2022-12-31,z500,HRES,1 days,53.5,1.0079409806812807,2622.6297115678512
2022-01-01_2022-12-31,z500,HRES,1 days,54.5,1.0076947504797074,2583.771050592785
2022-01-01_2022-12-31,z500,HRES,1 days,55.5,1.007954668668365,2443.3781285343944
2022-01-01_2022-12-31,z500,HRES,1 days,56.5,1.007641627762363,2416.8429788926865
2022-01-01_2022-12-31,z500,HRES,1 days,57.5,1.0070886321460062,2343.6142549332317
2022-01-01_2022-12-31,z500,HRES,1 days,58.5,1.0075793038454643,2275.4521853739593
2022-01-01_2022-12-31,z500,HRES,1 days,59.5,1.0079389731350543,2243.1717949321
2022-01-01_2022-12-31,z500,HRES,1 days,60.5,1.0076987019167873,2162.1365648979618
2022-01-01_2022-12-31,z500,HRES,1 days,61.5,1.0451897384400368,1797.7351472894716
2022-01-01_2022-12-31,z500,HRES,1 days,62.5,1.036306663733599,1736.2210570922575
2022-01-01_2022-12-31,z500,HRES,1 days,63.5,1.0348256493758288,1696.3883235699316
2022-01-01_2022-12-31,z500,HRES,1 days,64.5,1.0315097491758514,1660.3008903379962
2022-01-01_2022-12-31,z500,HRES,1 days,65.5,1.0322441692522677,1606.2560304434523
2022-01-01_2022-12-31,z500,HRES,1 days,66.5,1.0260720176459541,1579.433634161095
2022-01-01_2022-12-31,z500,HRES,1 days,67.5,1.0323916599343135,1536.1454919987275
2022-01-01_2022-12-31,z500,HRES,1 days,68.5,1.035442723146645,1510.2189004254656
2022-01-01_2022-12-31,z500,HRES,1 days,69.5,1.0286819809124212,1477.058683084239
2022-01-01_2022-12-31,z500,HRES,1 days,70.5,1.0264858528547631,1417.3032491903318
2022-01-01_2022-12-31,z500,HRES,1 days,71.5,1.0254893223678354,1400.8435965151457
2022-01-01_2022-12-31,z500,HRES,1 days,72.5,1.0354810906444367,1366.1940093290004
2022-01-01_2022-12-31,z500,HRES,1 days,73.5,1.024803837724967,1337.3971193845628
2022-01-01_2022-12-31,z500,HRES,1 days,74.5,1.0308448162932224,1304.5649076083062
2022-01-01_2022-12-31,z500,HRES,1 days,75.5,1.0196157368635035,1273.0254948836139
2022-01-01_2022-12-31,z500,HRES,1 days,76.5,1.0237381148286406,1249.4271435071971
2022-01-01_2022-12-31,z500,HRES,1 days,77.5,1.0305800767739062,1198.818144217102
2022-01-01_2022-12-31,z500,HRES,1 days,78.5,1.0302666149697866,1204.1138961453075
2022-01-01_2022-12-31,z500,HRES,1 days,79.5,1.0434112926560288,1154.7953477239755
2022-01-01_2022-12-31,z500,HRES,1 days,80.5,1.0370990461499852,1140.667408337755
2022-01-01_2022-12-31,z500,HRES,1 days,81.5,1.035990862947341,1120.069162613458
2022-01-01_2022-12-31,z500,HRES,1 days,82.5,1.0509812016894022,1081.7601535298802
2022-01-01_2022-12-31,z500,HRES,1 days,83.5,1.0309368405122745,1070.4159009843918
2022-01-01_2022-12-31,z500,HRES,1 days,84.5,1.051210767887043,1033.398016225862
2022-01-01_2022-12-31,z500,HRES,1 days,85.5,1.0504868742723639,1021.0750051711633
2022-01-01_2022-12-31,z500,HRES,1 days,86.5,1.0449301773025288,1003.631555601619
2022-01-01_2022-12-31,z500,HRES,1 days,87.5,1.0518770860192455,970.8395394245903
2022-01-01_2022-12-31,z500,HRES,1 days,88.5,1.0581785494346914,963.0482130812027
2022-01-01_2022-12-31,z500,HRES,1 days,89.5,1.0591484747261866,933.3946509673113
2022-01-01_2022-12-31,z500,HRES,1 days,90.5,1.066628031464872,915.6539651865098
2022-01-01_2022-12-31,z500,HRES,1 days,91.5,1.0577777334153253,901.6540535994859
2022-01-01_2022-12-31,z500,HRES,1 days,92.5,1.0598902343485848,881.6052287016728
2022-01-01_2022-12-31,z500,HRES,1 days,93.5,1.0692373603677465,868.455651941089
