hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
29,1,1,147,0.9666666666666667,0.03333333333333333,0.9354838709677419,1.0,30,30,2018-12-01_2019-02-28,HRES,1 days,EuroAtlantic
23,0,1,154,1.0,0.041666666666666664,0.9583333333333334,1.0434782608695652,23,24,2018-12-01_2019-02-28,HRES,1 days,Pacific
26,4,0,144,0.8666666666666667,0.0,0.8666666666666667,0.8666666666666667,30,26,2018-12-01_2019-02-28,HRES,3 days,EuroAtlantic
21,2,4,147,0.9130434782608695,0.16,0.7777777777777778,1.0869565217391304,23,25,2018-12-01_2019-02-28,HRES,3 days,Pacific
24,6,1,139,0.8,0.04,0.7741935483870968,0.8333333333333334,30,25,2018-12-01_2019-02-28,HRES,5 days,EuroAtlantic
17,6,4,143,0.7391304347826086,0.19047619047619047,0.6296296296296297,0.9130434782608695,23,21,2018-12-01_2019-02-28,HRES,5 days,Pacific
23,7,16,120,0.7666666666666667,0.41025641025641024,0.5,1.3,30,39,2018-12-01_2019-02-28,HRES,7 days,EuroAtlantic
10,13,6,137,0.43478260869565216,0.375,0.3448275862068966,0.6956521739130435,23,16,2018-12-01_2019-02-28,HRES,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,GraphCast,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,GraphCast,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,GraphCast,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,GraphCast,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,GraphCast,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,GraphCast,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,GraphCast,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,GraphCast,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,NeuralGCM,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,NeuralGCM,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,NeuralGCM,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,NeuralGCM,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,NeuralGCM,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,NeuralGCM,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,NeuralGCM,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-12-01_2019-02-28,NeuralGCM,7 days,Pacific
