window,model,lead,div_rmse_mean,vort_rmse_mean
2018-12-01_2019-02-28,HRES,1 days,6.208965460723152e-06,1.0256132820223168e-05
2018-12-01_2019-02-28,HRES,3 days,8.220349079165079e-06,1.7888088328955602e-05
2018-12-01_2019-02-28,HRES,5 days,9.587856343951641e-06,2.402633768367244e-05
2018-12-01_2019-02-28,HRES,7 days,1.0442507701387437e-05,2.7984510305935968e-05
2018-12-01_2019-02-28,GraphCast,1 days,,
2018-12-01_2019-02-28,GraphCast,3 days,,
2018-12-01_2019-02-28,GraphCast,5 days,,
2018-12-01_2019-02-28,GraphCast,7 days,,
2018-12-01_2019-02-28,NeuralGCM,1 days,,
2018-12-01_2019-02-28,NeuralGCM,3 days,,
2018-12-01_2019-02-28,NeuralGCM,5 days,,
2018-12-01_2019-02-28,NeuralGCM,7 days,,
