window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2018-12-01_2019-02-28,z500,HRES,1 days,49.85582556316126,0.9979030305018458,37.39736711914432,-5.943505989953606,178
2018-12-01_2019-02-28,z500,HRES,3 days,144.3280733201154,0.9821734047377092,94.20657493162946,-10.772839586131159,174
2018-12-01_2019-02-28,z500,HRES,5 days,309.7024473487794,0.9168885170757676,189.38107726610951,-15.595994416106054,170
2018-12-01_2019-02-28,z500,HRES,7 days,515.3357885343573,0.7704296006825475,312.6792702863923,-21.357711756970264,166
2018-12-01_2019-02-28,z500,GraphCast,1 days,,,,,0
2018-12-01_2019-02-28,z500,GraphCast,3 days,,,,,0
2018-12-01_2019-02-28,z500,GraphCast,5 days,,,,,0
2018-12-01_2019-02-28,z500,GraphCast,7 days,,,,,0
2018-12-01_2019-02-28,z500,NeuralGCM,1 days,,,,,0
2018-12-01_2019-02-28,z500,NeuralGCM,3 days,,,,,0
2018-12-01_2019-02-28,z500,NeuralGCM,5 days,,,,,0
2018-12-01_2019-02-28,z500,NeuralGCM,7 days,,,,,0
2018-12-01_2019-02-28,t850,HRES,1 days,0.7378309192913957,0.9773229963389579,0.5164578977795901,-0.046786095824356166,178
2018-12-01_2019-02-28,t850,HRES,3 days,1.174754394105938,0.9423931462886129,0.8107221219834988,-0.0426066085844248,174
2018-12-01_2019-02-28,t850,HRES,5 days,1.8380532434884103,0.8585141829362342,1.218735643430806,-0.06880476719601195,170
2018-12-01_2019-02-28,t850,HRES,7 days,2.643288039084745,0.7088510297144998,1.7290037897191741,-0.10141737688159351,166
2018-12-01_2019-02-28,t850,GraphCast,1 days,,,,,0
2018-12-01_2019-02-28,t850,GraphCast,3 days,,,,,0
2018-12-01_2019-02-28,t850,GraphCast,5 days,,,,,0
2018-12-01_2019-02-28,t850,GraphCast,7 days,,,,,0
2018-12-01_2019-02-28,t850,NeuralGCM,1 days,,,,,0
2018-12-01_2019-02-28,t850,NeuralGCM,3 days,,,,,0
2018-12-01_2019-02-28,t850,NeuralGCM,5 days,,,,,0
2018-12-01_2019-02-28,t850,NeuralGCM,7 days,,,,,0
2018-12-01_2019-02-28,u850,HRES,1 days,1.3447438415183006,0.9695388577210844,0.9826122765399747,0.006948697246019183,178
2018-12-01_2019-02-28,u850,HRES,3 days,2.415376827973907,0.9005447821012049,1.6875774013865088,0.017204460512282173,174
2018-12-01_2019-02-28,u850,HRES,5 days,3.7308336011169794,0.7621393233362352,2.5536895952385286,-0.016300285553545367,170
2018-12-01_2019-02-28,u850,HRES,7 days,5.028058277650812,0.5707399604127729,3.4596153891834014,-0.0667989356620095,166
2018-12-01_2019-02-28,u850,GraphCast,1 days,,,,,0
2018-12-01_2019-02-28,u850,GraphCast,3 days,,,,,0
2018-12-01_2019-02-28,u850,GraphCast,5 days,,,,,0
2018-12-01_2019-02-28,u850,GraphCast,7 days,,,,,0
2018-12-01_2019-02-28,u850,NeuralGCM,1 days,,,,,0
2018-12-01_2019-02-28,u850,NeuralGCM,3 days,,,,,0
2018-12-01_2019-02-28,u850,NeuralGCM,5 days,,,,,0
2018-12-01_2019-02-28,u850,NeuralGCM,7 days,,,,,0
2018-12-01_2019-02-28,v850,HRES,1 days,1.3621827886929307,0.9680827682097398,0.9884618160237192,-0.009336143635074798,178
2018-12-01_2019-02-28,v850,HRES,3 days,2.4431453922385438,0.8960641861522616,1.6659025652721782,-0.027320915116812266,174
2018-12-01_2019-02-28,v850,HRES,5 days,3.7775484938263917,0.7507856034616885,2.5124311835441255,-0.016014644104302967,170
2018-12-01_2019-02-28,v850,HRES,7 days,5.05895986185052,0.5553817552250886,3.390100387132138,-0.017756529965258727,166
2018-12-01_2019-02-28,v850,GraphCast,1 days,,,,,0
2018-12-01_2019-02-28,v850,GraphCast,3 days,,,,,0
2018-12-01_2019-02-28,v850,GraphCast,5 days,,,,,0
2018-12-01_2019-02-28,v850,GraphCast,7 days,,,,,0
2018-12-01_2019-02-28,v850,NeuralGCM,1 days,,,,,0
2018-12-01_2019-02-28,v850,NeuralGCM,3 days,,,,,0
2018-12-01_2019-02-28,v850,NeuralGCM,5 days,,,,,0
2018-12-01_2019-02-28,v850,NeuralGCM,7 days,,,,,0
2018-12-01_2019-02-28,mslp,HRES,1 days,65.96002571612837,0.9953432397802603,47.10310167384071,-2.539679398251459,178
2018-12-01_2019-02-28,mslp,HRES,3 days,154.13231014676012,0.9743487808674536,98.97142962957545,-2.8952269823513945,174
2018-12-01_2019-02-28,mslp,HRES,5 days,308.34160358296515,0.8967087656197728,186.06313011457937,-2.7942079295084925,170
2018-12-01_2019-02-28,mslp,HRES,7 days,498.92610275229885,0.7300632017713153,301.86453463066977,-2.319331865377632,166
2018-12-01_2019-02-28,mslp,GraphCast,1 days,,,,,0
2018-12-01_2019-02-28,mslp,GraphCast,3 days,,,,,0
2018-12-01_2019-02-28,mslp,GraphCast,5 days,,,,,0
2018-12-01_2019-02-28,mslp,GraphCast,7 days,,,,,0
