window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2018-12-01_2019-02-28,z500,HRES,1 days,0.5,1.1988717885424156,0.012759162434390719
2018-12-01_2019-02-28,z500,HRES,1 days,1.5,0.9905483953622657,242457.12768578186
2018-12-01_2019-02-28,z500,HRES,1 days,2.5,0.9850547933350241,115508.49548217286
2018-12-01_2019-02-28,z500,HRES,1 days,3.5,0.9877089952877741,103039.74008831652
2018-12-01_2019-02-28,z500,HRES,1 days,4.5,0.9866338526179643,87762.93555497398
2018-12-01_2019-02-28,z500,HRES,1 days,5.5,0.9842376925941447,72450.40071763785
2018-12-01_2019-02-28,z500,HRES,1 days,6.5,0.9794072718694892,64469.59870821993
2018-12-01_2019-02-28,z500,HRES,1 days,7.5,0.9877462192998614,53888.02152653922
2018-12-01_2019-02-28,z500,HRES,1 days,8.5,0.9840656626012202,49278.73363241339
2018-12-01_2019-02-28,z500,HRES,1 days,9.5,0.9800257112825291,45523.92126755579
2018-12-01_2019-02-28,z500,HRES,1 days,10.5,0.9751132086885212,40197.79975789189
2018-12-01_2019-02-28,z500,HRES,1 days,11.5,0.9759950842878077,36802.5988630444
2018-12-01_2019-02-28,z500,HRES,1 days,12.5,0.9817978486554652,32438.36336711946
2018-12-01_2019-02-28,z500,HRES,1 days,13.5,0.9735441934001785,29208.96575912646
2018-12-01_2019-02-28,z500,HRES,1 days,14.5,0.969677189503478,26547.01491471405
2018-12-01_2019-02-28,z500,HRES,1 days,15.5,0.9714107001837975,24326.197513084742
2018-12-01_2019-02-28,z500,HRES,1 days,16.5,0.9740557118660808,22292.7566673788
2018-12-01_2019-02-28,z500,HRES,1 days,17.5,0.9691923544157578,19896.82890190452
2018-12-01_2019-02-28,z500,HRES,1 days,18.5,0.9673870751699651,18297.308326870923
2018-12-01_2019-02-28,z500,HRES,1 days,19.5,0.9719400948565331,16940.02267636839
2018-12-01_2019-02-28,z500,HRES,1 days,20.5,0.9771907767533252,15628.123753611788
2018-12-01_2019-02-28,z500,HRES,1 days,21.5,0.9765373250445035,14265.870516123106
2018-12-01_2019-02-28,z500,HRES,1 days,22.5,0.9732171604077917,13268.053247737878
2018-12-01_2019-02-28,z500,HRES,1 days,23.5,0.9711931183787698,12366.783497873557
2018-12-01_2019-02-28,z500,HRES,1 days,24.5,0.971745967724938,11511.832639830864
2018-12-01_2019-02-28,z500,HRES,1 days,25.5,0.9747434955899766,10636.26419378503
2018-12-01_2019-02-28,z500,HRES,1 days,26.5,0.9745873495904704,9931.003342382442
2018-12-01_2019-02-28,z500,HRES,1 days,27.5,0.976332663289055,9390.526011186186
2018-12-01_2019-02-28,z500,HRES,1 days,28.5,0.9769377591688363,8827.094219412704
2018-12-01_2019-02-28,z500,HRES,1 days,29.5,0.9749173743152117,8159.725909518373
2018-12-01_2019-02-28,z500,HRES,1 days,30.5,0.9749509173480334,7820.004252297251
2018-12-01_2019-02-28,z500,HRES,1 days,31.5,0.9753185047589248,7262.987630846785
2018-12-01_2019-02-28,z500,HRES,1 days,32.5,0.971155341155792,6934.880026758312
2018-12-01_2019-02-28,z500,HRES,1 days,33.5,0.9724003420475512,6548.193526880255
2018-12-01_2019-02-28,z500,HRES,1 days,34.5,0.9718214755029372,6108.290423347939
2018-12-01_2019-02-28,z500,HRES,1 days,35.5,0.9723504454891736,5926.159345224063
2018-12-01_2019-02-28,z500,HRES,1 days,36.5,0.9709035372588931,5571.037282436721
2018-12-01_2019-02-28,z500,HRES,1 days,37.5,0.9693354690422022,5278.981379688554
