window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2019-12-01_2020-02-29,HRES,1 days,0.02,68,0.37777777777777777
2019-12-01_2020-02-29,HRES,1 days,0.05,55,0.3055555555555556
2019-12-01_2020-02-29,HRES,1 days,0.1,29,0.16111111111111112
2019-12-01_2020-02-29,HRES,1 days,0.2,4,0.022222222222222223
2019-12-01_2020-02-29,HRES,1 days,0.5,0,0.0
2019-12-01_2020-02-29,HRES,3 days,0.02,64,0.36363636363636365
2019-12-01_2020-02-29,HRES,3 days,0.05,51,0.2897727272727273
2019-12-01_2020-02-29,HRES,3 days,0.1,29,0.16477272727272727
2019-12-01_2020-02-29,HRES,3 days,0.2,4,0.022727272727272728
2019-12-01_2020-02-29,HRES,3 days,0.5,0,0.0
2019-12-01_2020-02-29,HRES,5 days,0.02,63,0.36627906976744184
2019-12-01_2020-02-29,HRES,5 days,0.05,51,0.29651162790697677
2019-12-01_2020-02-29,HRES,5 days,0.1,29,0.1686046511627907
2019-12-01_2020-02-29,HRES,5 days,0.2,4,0.023255813953488372
2019-12-01_2020-02-29,HRES,5 days,0.5,0,0.0
2019-12-01_2020-02-29,HRES,7 days,0.02,63,0.375
2019-12-01_2020-02-29,HRES,7 days,0.05,51,0.30357142857142855
2019-12-01_2020-02-29,HRES,7 days,0.1,29,0.17261904761904762
2019-12-01_2020-02-29,HRES,7 days,0.2,4,0.023809523809523808
2019-12-01_2020-02-29,HRES,7 days,0.5,0,0.0
2019-12-01_2020-02-29,GraphCast,1 days,0.02,68,0.37777777777777777
2019-12-01_2020-02-29,GraphCast,1 days,0.05,55,0.3055555555555556
2019-12-01_2020-02-29,GraphCast,1 days,0.1,29,0.16111111111111112
2019-12-01_2020-02-29,GraphCast,1 days,0.2,4,0.022222222222222223
2019-12-01_2020-02-29,GraphCast,1 days,0.5,0,0.0
2019-12-01_2020-02-29,GraphCast,3 days,0.02,64,0.36363636363636365
2019-12-01_2020-02-29,GraphCast,3 days,0.05,51,0.2897727272727273
2019-12-01_2020-02-29,GraphCast,3 days,0.1,29,0.16477272727272727
2019-12-01_2020-02-29,GraphCast,3 days,0.2,4,0.022727272727272728
2019-12-01_2020-02-29,GraphCast,3 days,0.5,0,0.0
2019-12-01_2020-02-29,GraphCast,5 days,0.02,63,0.36627906976744184
2019-12-01_2020-02-29,GraphCast,5 days,0.05,51,0.29651162790697677
2019-12-01_2020-02-29,GraphCast,5 days,0.1,29,0.1686046511627907
2019-12-01_2020-02-29,GraphCast,5 days,0.2,4,0.023255813953488372
2019-12-01_2020-02-29,GraphCast,5 days,0.5,0,0.0
2019-12-01_2020-02-29,GraphCast,7 days,0.02,63,0.375
2019-12-01_2020-02-29,GraphCast,7 days,0.05,51,0.30357142857142855
2019-12-01_2020-02-29,GraphCast,7 days,0.1,29,0.17261904761904762
2019-12-01_2020-02-29,GraphCast,7 days,0.2,4,0.023809523809523808
2019-12-01_2020-02-29,GraphCast,7 days,0.5,0,0.0
2019-12-01_2020-02-29,NeuralGCM,1 days,0.02,53,0.4491525423728814
2019-12-01_2020-02-29,NeuralGCM,1 days,0.05,43,0.3644067796610169
2019-12-01_2020-02-29,NeuralGCM,1 days,0.1,24,0.2033898305084746
2019-12-01_2020-02-29,NeuralGCM,1 days,0.2,2,0.01694915254237288
2019-12-01_2020-02-29,NeuralGCM,1 days,0.5,0,0.0
2019-12-01_2020-02-29,NeuralGCM,3 days,0.02,53,0.4649122807017544
2019-12-01_2020-02-29,NeuralGCM,3 days,0.05,43,0.37719298245614036
2019-12-01_2020-02-29,NeuralGCM,3 days,0.1,24,0.21052631578947367
2019-12-01_2020-02-29,NeuralGCM,3 days,0.2,2,0.017543859649122806
2019-12-01_2020-02-29,NeuralGCM,3 days,0.5,0,0.0
2019-12-01_2020-02-29,NeuralGCM,5 days,0.02,52,0.4727272727272727
2019-12-01_2020-02-29,NeuralGCM,5 days,0.05,43,0.39090909090909093
2019-12-01_2020-02-29,NeuralGCM,5 days,0.1,24,0.21818181818181817
2019-12-01_2020-02-29,NeuralGCM,5 days,0.2,2,0.01818181818181818
2019-12-01_2020-02-29,NeuralGCM,5 days,0.5,0,0.0
2019-12-01_2020-02-29,NeuralGCM,7 days,0.02,48,0.4528301886792453
2019-12-01_2020-02-29,NeuralGCM,7 days,0.05,39,0.36792452830188677
2019-12-01_2020-02-29,NeuralGCM,7 days,0.1,24,0.22641509433962265
2019-12-01_2020-02-29,NeuralGCM,7 days,0.2,2,0.018867924528301886
2019-12-01_2020-02-29,NeuralGCM,7 days,0.5,0,0.0
