window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2019-12-01_2020-02-29,z500,HRES,1 days,0,RMSE,32,50.23182082366769,49.563192917399086,51.02577275292962,50.198383328144885,1.6750316715794322
2019-12-01_2020-02-29,z500,HRES,1 days,1,RMSE,39,48.18518850533297,47.44407399117282,49.369711911073644,47.47868096799717,2.280801467943549
2019-12-01_2020-02-29,z500,HRES,1 days,2,RMSE,45,46.49194620194327,45.81570630460565,47.140581950490464,46.05357958953987,1.876678171095645
2019-12-01_2020-02-29,z500,HRES,1 days,3,RMSE,64,50.412399334155644,49.57059955236462,51.31772267036889,50.11295045715329,2.5384436897788394
2019-12-01_2020-02-29,z500,HRES,3 days,0,RMSE,32,134.58631038840332,129.94610845242426,141.20751113834163,133.4320209439739,10.869482820599075
2019-12-01_2020-02-29,z500,HRES,3 days,1,RMSE,39,135.3309149799172,130.2503163880727,139.48481094599506,136.70097129835477,9.490492211362977
2019-12-01_2020-02-29,z500,HRES,3 days,2,RMSE,41,135.8038290030546,131.13460152708504,139.7597558432704,133.99907727880114,10.075169902123493
2019-12-01_2020-02-29,z500,HRES,3 days,3,RMSE,64,136.83143537858214,133.71587494711235,139.71881354876425,136.38789165205128,8.73882749258716
2019-12-01_2020-02-29,z500,HRES,5 days,0,RMSE,32,296.47740083524957,278.50066811842447,321.8963496840594,289.7530913038668,41.97289669409128
2019-12-01_2020-02-29,z500,HRES,5 days,1,RMSE,39,290.9773644468284,281.34653483619337,300.9128471550125,296.26359809811174,24.947849154098773
2019-12-01_2020-02-29,z500,HRES,5 days,2,RMSE,37,276.21482708324675,265.6554555199502,284.30268258096123,277.58736528587303,21.582585341582472
2019-12-01_2020-02-29,z500,HRES,5 days,3,RMSE,64,293.1840892086843,281.32546558064496,303.54572526712934,291.77799010060926,29.851821327197253
2019-12-01_2020-02-29,z500,HRES,7 days,0,RMSE,32,481.0122540369441,452.4010117191591,508.6240098814471,468.63097582323576,62.79471916424668
2019-12-01_2020-02-29,z500,HRES,7 days,1,RMSE,39,489.94909567369,475.4463349666432,515.508723613878,490.88636036015424,49.65165203334911
2019-12-01_2020-02-29,z500,HRES,7 days,2,RMSE,33,460.36589693301215,432.7772739296901,484.62145131959943,454.71702688730875,48.876672164247175
2019-12-01_2020-02-29,z500,HRES,7 days,3,RMSE,64,506.2614637022177,488.15745088015393,526.8594600967762,512.61475296568,53.568070822132555
2019-12-01_2020-02-29,z500,GraphCast,1 days,0,RMSE,32,38.690698310062395,38.28154213995096,39.10323103742223,38.60243838104481,1.384213800108461
2019-12-01_2020-02-29,z500,GraphCast,1 days,1,RMSE,39,38.1096753287217,37.54171212386296,38.85552940421293,37.92083824336564,1.6389189552888972
2019-12-01_2020-02-29,z500,GraphCast,1 days,2,RMSE,45,35.85521230569614,35.27718700977376,36.380644182514295,35.99600936871975,1.550983883358776
2019-12-01_2020-02-29,z500,GraphCast,1 days,3,RMSE,64,40.16069259223077,39.389375118372605,40.967482902380375,40.04993356319142,2.131412273937573
2019-12-01_2020-02-29,z500,GraphCast,3 days,0,RMSE,32,117.8970661148725,114.27207671068527,123.30702445101225,116.01720350934019,8.931707512840186
2019-12-01_2020-02-29,z500,GraphCast,3 days,1,RMSE,39,117.83904514389396,115.44983731206275,120.02554672354066,117.09887753265401,7.120426674932631
2019-12-01_2020-02-29,z500,GraphCast,3 days,2,RMSE,41,110.00789250565289,106.38546614067462,112.94726710849386,109.20982311351189,7.9629447956286405
2019-12-01_2020-02-29,z500,GraphCast,3 days,3,RMSE,64,121.49638323852065,118.29468618092109,125.3816216250418,121.00676438857903,8.921524478777409
2019-12-01_2020-02-29,z500,GraphCast,5 days,0,RMSE,32,255.17276743567277,244.0637039632219,268.50888045433123,252.04801846436447,25.96798490822767
2019-12-01_2020-02-29,z500,GraphCast,5 days,1,RMSE,39,250.25675205019243,239.34164551944465,260.33764892898876,244.93584759785446,21.872690739769176
2019-12-01_2020-02-29,z500,GraphCast,5 days,2,RMSE,37,232.8476352042369,220.97354924465284,241.6923410085541,228.51975857400862,22.121716688842604
2019-12-01_2020-02-29,z500,GraphCast,5 days,3,RMSE,64,263.29201272978764,251.74308269741758,274.30404210467975,258.7335083809428,29.226624545312184
2019-12-01_2020-02-29,z500,GraphCast,7 days,0,RMSE,32,451.85467029507697,430.15747554374747,474.67882457763614,452.34096362463924,47.75260894269268
2019-12-01_2020-02-29,z500,GraphCast,7 days,1,RMSE,39,429.2288190040737,406.9019216351363,458.99355194942746,431.35446376008326,53.79199539848163
2019-12-01_2020-02-29,z500,GraphCast,7 days,2,RMSE,33,407.9504737765856,388.08943267166586,429.40717745315953,401.4070774809905,39.41189854145063
2019-12-01_2020-02-29,z500,GraphCast,7 days,3,RMSE,64,448.0098334617844,429.02921530556443,472.82382062648225,441.11847639559994,56.57132582151441
2019-12-01_2020-02-29,z500,NeuralGCM,1 days,0,RMSE,32,37.05135748600243,36.52269017158824,37.685822824576015,37.27314704091097,1.3768184574915423
2019-12-01_2020-02-29,z500,NeuralGCM,1 days,1,RMSE,22,36.04106556691481,35.452442938271574,36.579290637875935,36.03361417984512,1.2444169238834637
2019-12-01_2020-02-29,z500,NeuralGCM,1 days,3,RMSE,64,38.22508836847564,37.46550975255939,38.937841087566,38.10596017498593,1.7008564842160634
2019-12-01_2020-02-29,z500,NeuralGCM,3 days,0,RMSE,32,109.20755953621781,104.71502596097922,114.81790718768474,108.15953404239426,9.726565281885797
2019-12-01_2020-02-29,z500,NeuralGCM,3 days,1,RMSE,22,108.3773447558358,102.80876876380721,112.08512943385104,107.69846669085328,8.959270769178042
2019-12-01_2020-02-29,z500,NeuralGCM,3 days,3,RMSE,60,113.61597431610922,109.44309623306437,117.5610391637313,114.04545778831837,9.305467246705502
2019-12-01_2020-02-29,z500,NeuralGCM,5 days,0,RMSE,32,244.89966232929822,234.3774465300693,257.22543879853737,238.03354482781225,25.79004665392293
2019-12-01_2020-02-29,z500,NeuralGCM,5 days,1,RMSE,22,239.10069473313072,228.03969065537623,248.32980322247863,233.73810898204567,18.99883739761481
2019-12-01_2020-02-29,z500,NeuralGCM,5 days,3,RMSE,56,254.26295134206651,239.5838262207388,263.68941552334724,249.2962119319646,34.760200940751304
2019-12-01_2020-02-29,z500,NeuralGCM,7 days,0,RMSE,32,435.73303322240315,401.2432437634116,470.9989159529043,428.34034660756697,63.46071714472628
2019-12-01_2020-02-29,z500,NeuralGCM,7 days,1,RMSE,22,427.66371738576487,416.2006597558151,448.5336045452981,429.95900121600243,38.28253650670604
