dataset,variable_key,lead_hours,n_valid_times,forecast_shape,truth_shape,status
graphcast_2020_240,z500,24,124,124x240x121,124x240x121,ok
graphcast_2020_240,z500,72,124,124x240x121,124x240x121,ok
graphcast_2020_240,z500,120,124,124x240x121,124x240x121,ok
graphcast_2020_240,z500,168,124,124x240x121,124x240x121,ok
graphcast_2020_240,t850,24,124,124x240x121,124x240x121,ok
graphcast_2020_240,t850,72,124,124x240x121,124x240x121,ok
graphcast_2020_240,t850,120,124,124x240x121,124x240x121,ok
graphcast_2020_240,t850,168,124,124x240x121,124x240x121,ok
graphcast_2020_240,u850,24,124,124x240x121,124x240x121,ok
graphcast_2020_240,u850,72,124,124x240x121,124x240x121,ok
graphcast_2020_240,u850,120,124,124x240x121,124x240x121,ok
graphcast_2020_240,u850,168,124,124x240x121,124x240x121,ok
graphcast_2020_240,v850,24,124,124x240x121,124x240x121,ok
graphcast_2020_240,v850,72,124,124x240x121,124x240x121,ok
graphcast_2020_240,v850,120,124,124x240x121,124x240x121,ok
graphcast_2020_240,v850,168,124,124x240x121,124x240x121,ok
graphcast_2020_240,mslp,24,124,124x240x121,124x240x121,ok
graphcast_2020_240,mslp,72,124,124x240x121,124x240x121,ok
graphcast_2020_240,mslp,120,124,124x240x121,124x240x121,ok
graphcast_2020_240,mslp,168,124,124x240x121,124x240x121,ok
hres_0012_240,z500,24,178,178x240x121,178x240x121,ok
hres_0012_240,z500,72,174,174x240x121,174x240x121,ok
hres_0012_240,z500,120,170,170x240x121,170x240x121,ok
hres_0012_240,z500,168,166,166x240x121,166x240x121,ok
hres_0012_240,t850,24,178,178x240x121,178x240x121,ok
hres_0012_240,t850,72,174,174x240x121,174x240x121,ok
hres_0012_240,t850,120,170,170x240x121,170x240x121,ok
hres_0012_240,t850,168,166,166x240x121,166x240x121,ok
hres_0012_240,u850,24,178,178x240x121,178x240x121,ok
hres_0012_240,u850,72,174,174x240x121,174x240x121,ok
hres_0012_240,u850,120,170,170x240x121,170x240x121,ok
hres_0012_240,u850,168,166,166x240x121,166x240x121,ok
hres_0012_240,v850,24,178,178x240x121,178x240x121,ok
hres_0012_240,v850,72,174,174x240x121,174x240x121,ok
hres_0012_240,v850,120,170,170x240x121,170x240x121,ok
hres_0012_240,v850,168,166,166x240x121,166x240x121,ok
hres_0012_240,mslp,24,178,178x240x121,178x240x121,ok
hres_0012_240,mslp,72,174,174x240x121,174x240x121,ok
hres_0012_240,mslp,120,170,170x240x121,170x240x121,ok
hres_0012_240,mslp,168,166,166x240x121,166x240x121,ok
neuralgcm_det_2020_240,z500,24,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,z500,72,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,z500,120,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,z500,168,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,t850,24,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,t850,72,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,t850,120,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,t850,168,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,u850,24,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,u850,72,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,u850,120,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,u850,168,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,v850,24,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,v850,72,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,v850,120,62,62x240x121,62x240x121,ok
neuralgcm_det_2020_240,v850,168,62,62x240x121,62x240x121,ok
