window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2020-12-01_2021-02-28,HRES,1 days,46.4628171991866,47.18167003327241,32,146
2020-12-01_2021-02-28,HRES,3 days,133.3619890918652,134.49980835614784,31,143
2020-12-01_2021-02-28,HRES,5 days,290.32768076201813,296.2640671794825,30,140
2020-12-01_2021-02-28,HRES,7 days,500.3537304168273,501.39265921997054,26,140
2020-12-01_2021-02-28,GraphCast,1 days,39.314812992949015,38.81459644501938,27,97
2020-12-01_2021-02-28,GraphCast,3 days,118.12144383947685,116.75981287484305,26,98
2020-12-01_2021-02-28,GraphCast,5 days,249.91931533915965,250.88701504324845,25,99
2020-12-01_2021-02-28,GraphCast,7 days,440.20277381202027,429.2600888568996,22,102
2020-12-01_2021-02-28,NeuralGCM,1 days,36.90896953736711,36.343101780469276,16,46
2020-12-01_2021-02-28,NeuralGCM,3 days,113.73233330384319,104.36895648361339,17,45
2020-12-01_2021-02-28,NeuralGCM,5 days,243.58987880936675,228.79685134840443,20,42
2020-12-01_2021-02-28,NeuralGCM,7 days,434.56831843236125,394.69956505862257,20,42
