window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2020-12-01_2021-02-28,HRES,1 days,0,371.59385315360237,48.62873419107847,32
2020-12-01_2021-02-28,HRES,1 days,1,363.2634186518197,46.39901036449357,51
2020-12-01_2021-02-28,HRES,1 days,2,359.7616661675397,46.839831099874466,63
2020-12-01_2021-02-28,HRES,1 days,3,372.1352909274521,46.93921813342234,31
2020-12-01_2021-02-28,HRES,3 days,0,372.5321556672883,138.5314772160874,32
2020-12-01_2021-02-28,HRES,3 days,1,367.9384148371201,134.13346650997923,51
2020-12-01_2021-02-28,HRES,3 days,2,357.8087542504973,129.46657063514715,59
2020-12-01_2021-02-28,HRES,3 days,3,369.51601251524926,139.54470824981922,31
2020-12-01_2021-02-28,HRES,5 days,0,410.534279915452,306.7566635367876,32
2020-12-01_2021-02-28,HRES,5 days,1,393.52781698193695,305.9677417316706,51
2020-12-01_2021-02-28,HRES,5 days,2,381.6110594285238,277.02855755695725,55
2020-12-01_2021-02-28,HRES,5 days,3,403.36053166948085,298.47201752600307,31
2020-12-01_2021-02-28,HRES,7 days,0,508.43458165360784,524.0131355753746,32
2020-12-01_2021-02-28,HRES,7 days,1,473.06584100857606,520.2851320437026,51
2020-12-01_2021-02-28,HRES,7 days,2,469.1892071992154,467.61875542302045,51
2020-12-01_2021-02-28,HRES,7 days,3,497.03015520298965,502.7429653869515,31
2020-12-01_2021-02-28,GraphCast,1 days,0,359.6864978190454,39.798361660981264,20
2020-12-01_2021-02-28,GraphCast,1 days,1,355.78520914402,38.20275431052977,40
2020-12-01_2021-02-28,GraphCast,1 days,2,361.0728792374202,39.10060000524513,63
2020-12-01_2021-02-28,GraphCast,3 days,0,351.12441945213743,121.34201761562022,20
2020-12-01_2021-02-28,GraphCast,3 days,1,352.8652593712267,116.12518106479884,44
2020-12-01_2021-02-28,GraphCast,3 days,2,347.10455887872115,116.28784803995772,59
2020-12-01_2021-02-28,GraphCast,5 days,0,351.71457151427,249.54193006674433,20
2020-12-01_2021-02-28,GraphCast,5 days,1,354.73172944979024,255.66338340217817,48
2020-12-01_2021-02-28,GraphCast,5 days,2,347.3387234455751,246.84136371644917,55
2020-12-01_2021-02-28,GraphCast,7 days,0,394.3952780949401,422.9698473442669,21
2020-12-01_2021-02-28,GraphCast,7 days,1,392.51105584133785,440.2510965298045,51
2020-12-01_2021-02-28,GraphCast,7 days,2,388.15229667384017,425.6503340388186,51
2020-12-01_2021-02-28,NeuralGCM,1 days,1,342.2501043623721,35.689996976547796,20
2020-12-01_2021-02-28,NeuralGCM,1 days,2,372.7357250800055,36.86967273734536,41
2020-12-01_2021-02-28,NeuralGCM,3 days,1,340.5846540678316,104.88084423942325,20
2020-12-01_2021-02-28,NeuralGCM,3 days,2,366.2776392576534,107.91513864617788,41
2020-12-01_2021-02-28,NeuralGCM,5 days,1,362.80636571705577,229.70085175246382,20
2020-12-01_2021-02-28,NeuralGCM,5 days,2,379.8361910095107,235.41067375645343,41
2020-12-01_2021-02-28,NeuralGCM,7 days,1,409.7081654034616,382.3927612583537,20
2020-12-01_2021-02-28,NeuralGCM,7 days,2,443.89363506307785,419.54506847481673,41
