window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2021-12-01_2022-02-28,HRES,1 days,EuroAtlantic,0.03778089887640449,0.1625,0.23937500000000006,0.575,178
2021-12-01_2022-02-28,HRES,1 days,Pacific,0.0321629213483146,0.11625000000000014,0.13937500000000008,0.3625,178
2021-12-01_2022-02-28,HRES,3 days,EuroAtlantic,0.03864942528735632,0.1625,0.24187499999999992,0.575,174
2021-12-01_2022-02-28,HRES,3 days,Pacific,0.03290229885057471,0.12125000000000022,0.14187499999999995,0.3625,174
2021-12-01_2022-02-28,HRES,5 days,EuroAtlantic,0.039558823529411764,0.16374999999999992,0.2443749999999998,0.575,170
2021-12-01_2022-02-28,HRES,5 days,Pacific,0.033676470588235294,0.125,0.14437499999999978,0.3625,170
2021-12-01_2022-02-28,HRES,7 days,EuroAtlantic,0.04051204819277108,0.16875,0.246875,0.575,166
2021-12-01_2022-02-28,HRES,7 days,Pacific,0.03448795180722891,0.125,0.146875,0.3625,166
2021-12-01_2022-02-28,GraphCast,1 days,EuroAtlantic,,,,,0
2021-12-01_2022-02-28,GraphCast,1 days,Pacific,,,,,0
2021-12-01_2022-02-28,GraphCast,3 days,EuroAtlantic,,,,,0
2021-12-01_2022-02-28,GraphCast,3 days,Pacific,,,,,0
2021-12-01_2022-02-28,GraphCast,5 days,EuroAtlantic,,,,,0
2021-12-01_2022-02-28,GraphCast,5 days,Pacific,,,,,0
2021-12-01_2022-02-28,GraphCast,7 days,EuroAtlantic,,,,,0
2021-12-01_2022-02-28,GraphCast,7 days,Pacific,,,,,0
2021-12-01_2022-02-28,NeuralGCM,1 days,EuroAtlantic,,,,,0
2021-12-01_2022-02-28,NeuralGCM,1 days,Pacific,,,,,0
2021-12-01_2022-02-28,NeuralGCM,3 days,EuroAtlantic,,,,,0
2021-12-01_2022-02-28,NeuralGCM,3 days,Pacific,,,,,0
2021-12-01_2022-02-28,NeuralGCM,5 days,EuroAtlantic,,,,,0
2021-12-01_2022-02-28,NeuralGCM,5 days,Pacific,,,,,0
2021-12-01_2022-02-28,NeuralGCM,7 days,EuroAtlantic,,,,,0
2021-12-01_2022-02-28,NeuralGCM,7 days,Pacific,,,,,0
