window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2018-06-01_2018-08-31,HRES,1 days,0,363.63234022583305,49.80441043258604,47
2018-06-01_2018-08-31,HRES,1 days,1,348.7478112191433,48.96442884114897,59
2018-06-01_2018-08-31,HRES,1 days,2,352.4657676587778,50.5343864806393,28
2018-06-01_2018-08-31,HRES,1 days,3,353.72470297420597,48.68262820587072,47
2018-06-01_2018-08-31,HRES,3 days,0,367.21010713298693,145.52656342021936,47
2018-06-01_2018-08-31,HRES,3 days,1,353.29090637566196,147.16216988518747,59
2018-06-01_2018-08-31,HRES,3 days,2,353.15778499786984,160.31059922855914,24
2018-06-01_2018-08-31,HRES,3 days,3,363.4046811075684,143.2654144394979,47
2018-06-01_2018-08-31,HRES,5 days,0,406.5158651297463,306.8391689943255,47
2018-06-01_2018-08-31,HRES,5 days,1,396.51798982796015,323.4087702209211,59
2018-06-01_2018-08-31,HRES,5 days,2,392.9155147805035,354.24138462414834,20
2018-06-01_2018-08-31,HRES,5 days,3,409.4480164038203,323.5873808861678,47
2018-06-01_2018-08-31,HRES,7 days,0,529.7007245615138,516.0476291719884,47
2018-06-01_2018-08-31,HRES,7 days,1,517.0010283654905,539.3784640638405,59
2018-06-01_2018-08-31,HRES,7 days,2,508.23228704960223,569.07203825775,16
2018-06-01_2018-08-31,HRES,7 days,3,507.26371458710685,524.8976576793722,47
