hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
14,2,1,165,0.875,0.06666666666666667,0.8235294117647058,0.9375,16,15,2019-06-01_2019-08-31,HRES,1 days,EuroAtlantic
48,2,1,131,0.96,0.02040816326530612,0.9411764705882353,0.98,50,49,2019-06-01_2019-08-31,HRES,1 days,Pacific
15,1,1,161,0.9375,0.0625,0.8823529411764706,1.0,16,16,2019-06-01_2019-08-31,HRES,3 days,EuroAtlantic
43,7,3,125,0.86,0.06521739130434782,0.8113207547169812,0.92,50,46,2019-06-01_2019-08-31,HRES,3 days,Pacific
15,0,4,155,1.0,0.21052631578947367,0.7894736842105263,1.2666666666666666,15,19,2019-06-01_2019-08-31,HRES,5 days,EuroAtlantic
32,18,1,123,0.64,0.030303030303030304,0.6274509803921569,0.66,50,33,2019-06-01_2019-08-31,HRES,5 days,Pacific
7,4,16,143,0.6363636363636364,0.6956521739130435,0.25925925925925924,2.090909090909091,11,23,2019-06-01_2019-08-31,HRES,7 days,EuroAtlantic
19,31,10,110,0.38,0.3448275862068966,0.31666666666666665,0.58,50,29,2019-06-01_2019-08-31,HRES,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,GraphCast,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,GraphCast,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,GraphCast,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,GraphCast,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,GraphCast,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,GraphCast,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,GraphCast,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,GraphCast,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,NeuralGCM,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,NeuralGCM,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,NeuralGCM,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,NeuralGCM,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,NeuralGCM,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,NeuralGCM,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,NeuralGCM,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2019-06-01_2019-08-31,NeuralGCM,7 days,Pacific
