window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2019-06-01_2019-08-31,HRES,1 days,EuroAtlantic,0.021909340659340658,0.09875000000000007,0.1375,0.3875,182
2019-06-01_2019-08-31,HRES,1 days,Pacific,0.05556318681318682,0.1625,0.21187499999999984,0.325,182
2019-06-01_2019-08-31,HRES,3 days,EuroAtlantic,0.022050561797752808,0.1,0.13937500000000008,0.3875,178
2019-06-01_2019-08-31,HRES,3 days,Pacific,0.05681179775280899,0.1625,0.21437500000000007,0.325,178
2019-06-01_2019-08-31,HRES,5 days,EuroAtlantic,0.020330459770114943,0.0875,0.14187499999999995,0.3875,174
2019-06-01_2019-08-31,HRES,5 days,Pacific,0.05811781609195403,0.1625,0.21687499999999993,0.325,174
2019-06-01_2019-08-31,HRES,7 days,EuroAtlantic,0.017426470588235297,0.075,0.1125,0.3875,170
2019-06-01_2019-08-31,HRES,7 days,Pacific,0.05948529411764706,0.1625,0.2193749999999998,0.325,170
2019-06-01_2019-08-31,GraphCast,1 days,EuroAtlantic,,,,,0
2019-06-01_2019-08-31,GraphCast,1 days,Pacific,,,,,0
2019-06-01_2019-08-31,GraphCast,3 days,EuroAtlantic,,,,,0
2019-06-01_2019-08-31,GraphCast,3 days,Pacific,,,,,0
2019-06-01_2019-08-31,GraphCast,5 days,EuroAtlantic,,,,,0
2019-06-01_2019-08-31,GraphCast,5 days,Pacific,,,,,0
2019-06-01_2019-08-31,GraphCast,7 days,EuroAtlantic,,,,,0
2019-06-01_2019-08-31,GraphCast,7 days,Pacific,,,,,0
2019-06-01_2019-08-31,NeuralGCM,1 days,EuroAtlantic,,,,,0
2019-06-01_2019-08-31,NeuralGCM,1 days,Pacific,,,,,0
2019-06-01_2019-08-31,NeuralGCM,3 days,EuroAtlantic,,,,,0
2019-06-01_2019-08-31,NeuralGCM,3 days,Pacific,,,,,0
2019-06-01_2019-08-31,NeuralGCM,5 days,EuroAtlantic,,,,,0
2019-06-01_2019-08-31,NeuralGCM,5 days,Pacific,,,,,0
2019-06-01_2019-08-31,NeuralGCM,7 days,EuroAtlantic,,,,,0
2019-06-01_2019-08-31,NeuralGCM,7 days,Pacific,,,,,0
