window,model,lead,div_rmse_mean,vort_rmse_mean
2020-06-01_2020-08-31,HRES,1 days,6.479292049271723e-06,1.0649387444600976e-05
2020-06-01_2020-08-31,HRES,3 days,8.518995037620681e-06,1.8505478724910933e-05
2020-06-01_2020-08-31,HRES,5 days,9.818856208728395e-06,2.482793395189572e-05
2020-06-01_2020-08-31,HRES,7 days,1.0611227618406156e-05,2.8769361227414376e-05
2020-06-01_2020-08-31,GraphCast,1 days,4.868336120110943e-06,7.900963308696944e-06
2020-06-01_2020-08-31,GraphCast,3 days,6.744917409806607e-06,1.500369100881335e-05
2020-06-01_2020-08-31,GraphCast,5 days,7.921606986931853e-06,2.0512398456702738e-05
2020-06-01_2020-08-31,GraphCast,7 days,8.851048004987911e-06,2.440071922636756e-05
2020-06-01_2020-08-31,NeuralGCM,1 days,5.283045939118846e-06,8.348475309494177e-06
2020-06-01_2020-08-31,NeuralGCM,3 days,7.152593701428212e-06,1.5730412603763713e-05
2020-06-01_2020-08-31,NeuralGCM,5 days,8.420553058809057e-06,2.2015845996601486e-05
2020-06-01_2020-08-31,NeuralGCM,7 days,9.289434682065306e-06,2.6333506929021123e-05
