window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-06-01_2020-08-31,z500,HRES,1 days,0.5,0.8444248362926715,0.01264399450807283
2020-06-01_2020-08-31,z500,HRES,1 days,1.5,0.9961077408223414,184819.46600205914
2020-06-01_2020-08-31,z500,HRES,1 days,2.5,0.9991709462204472,119053.5925886693
2020-06-01_2020-08-31,z500,HRES,1 days,3.5,0.9912095233887201,106219.54151772315
2020-06-01_2020-08-31,z500,HRES,1 days,4.5,0.9972417185557563,83058.14511206314
2020-06-01_2020-08-31,z500,HRES,1 days,5.5,1.0021307659326602,73030.83434063407
2020-06-01_2020-08-31,z500,HRES,1 days,6.5,1.0102936422902509,67307.88376511585
2020-06-01_2020-08-31,z500,HRES,1 days,7.5,1.0021035027897,53515.015659356104
2020-06-01_2020-08-31,z500,HRES,1 days,8.5,1.0050914193670863,48527.78747327951
2020-06-01_2020-08-31,z500,HRES,1 days,9.5,1.000781032178601,42530.9239113566
2020-06-01_2020-08-31,z500,HRES,1 days,10.5,1.0006447161300116,37418.84889060111
2020-06-01_2020-08-31,z500,HRES,1 days,11.5,1.0039222724037327,35068.24637234151
2020-06-01_2020-08-31,z500,HRES,1 days,12.5,1.0075082209722541,31214.00751976586
2020-06-01_2020-08-31,z500,HRES,1 days,13.5,1.011049259746665,27961.71891919179
2020-06-01_2020-08-31,z500,HRES,1 days,14.5,1.0120735782461674,25654.053576656865
2020-06-01_2020-08-31,z500,HRES,1 days,15.5,1.009167147190396,23105.49735865329
2020-06-01_2020-08-31,z500,HRES,1 days,16.5,1.0092196623792131,21696.689396389054
2020-06-01_2020-08-31,z500,HRES,1 days,17.5,1.0071081096817833,19227.95050689075
2020-06-01_2020-08-31,z500,HRES,1 days,18.5,1.0073871848291378,17738.289511856998
2020-06-01_2020-08-31,z500,HRES,1 days,19.5,1.007903184553279,16473.156818118314
2020-06-01_2020-08-31,z500,HRES,1 days,20.5,1.0075783741363766,15290.969851470527
2020-06-01_2020-08-31,z500,HRES,1 days,21.5,1.0073625711286798,13911.52643609918
2020-06-01_2020-08-31,z500,HRES,1 days,22.5,1.0068090658729774,13014.340788479638
2020-06-01_2020-08-31,z500,HRES,1 days,23.5,1.0073934792872445,11985.226870232742
2020-06-01_2020-08-31,z500,HRES,1 days,24.5,1.0089641441029256,11060.431997641383
2020-06-01_2020-08-31,z500,HRES,1 days,25.5,1.0092514651370206,10217.988196468303
2020-06-01_2020-08-31,z500,HRES,1 days,26.5,1.0106142596857721,9628.302593482756
2020-06-01_2020-08-31,z500,HRES,1 days,27.5,1.0097164504662013,9012.215357915311
2020-06-01_2020-08-31,z500,HRES,1 days,28.5,1.0084989921575958,8562.575854402134
2020-06-01_2020-08-31,z500,HRES,1 days,29.5,1.0095115740970846,7986.7471111443465
2020-06-01_2020-08-31,z500,HRES,1 days,30.5,1.0095902629349118,7562.191368292203
2020-06-01_2020-08-31,z500,HRES,1 days,31.5,1.0097815251649793,7065.8808349231
2020-06-01_2020-08-31,z500,HRES,1 days,32.5,1.0107099585124384,6801.731120818458
2020-06-01_2020-08-31,z500,HRES,1 days,33.5,1.0116151479537838,6406.6746164661345
2020-06-01_2020-08-31,z500,HRES,1 days,34.5,1.013340423287045,6048.748702003269
2020-06-01_2020-08-31,z500,HRES,1 days,35.5,1.0124082854584084,5771.040741004392
2020-06-01_2020-08-31,z500,HRES,1 days,36.5,1.0120683527688819,5404.500302193491
2020-06-01_2020-08-31,z500,HRES,1 days,37.5,1.0103227926154275,5231.859889397098
2020-06-01_2020-08-31,z500,HRES,1 days,38.5,1.0101057284231245,4901.923984040891
2020-06-01_2020-08-31,z500,HRES,1 days,39.5,1.0104712589255707,4702.748486429495
2020-06-01_2020-08-31,z500,HRES,1 days,40.5,1.0117519977182634,4541.703099337267
2020-06-01_2020-08-31,z500,HRES,1 days,41.5,1.0112898357738682,4277.759544790467
2020-06-01_2020-08-31,z500,HRES,1 days,42.5,1.0115426432572245,4106.127966242646
2020-06-01_2020-08-31,z500,HRES,1 days,43.5,1.0114350978657378,3909.184721895714
2020-06-01_2020-08-31,z500,HRES,1 days,44.5,1.0121827886253463,3776.6267475534587
2020-06-01_2020-08-31,z500,HRES,1 days,45.5,1.0129110944029749,3641.5120088997783
2020-06-01_2020-08-31,z500,HRES,1 days,46.5,1.0121446683290216,3454.8272472713793
2020-06-01_2020-08-31,z500,HRES,1 days,47.5,1.0120643372164155,3361.287271875424
2020-06-01_2020-08-31,z500,HRES,1 days,48.5,1.0116287869448566,3191.038838071042
2020-06-01_2020-08-31,z500,HRES,1 days,49.5,1.0115024785265798,3120.0254574247965
2020-06-01_2020-08-31,z500,HRES,1 days,50.5,1.0110828548288013,2972.4774745734417
2020-06-01_2020-08-31,z500,HRES,1 days,51.5,1.0112864893094597,2873.9937001447124
2020-06-01_2020-08-31,z500,HRES,1 days,52.5,1.0118668769713086,2816.588202033797
2020-06-01_2020-08-31,z500,HRES,1 days,53.5,1.012017153123256,2679.7450300303276
2020-06-01_2020-08-31,z500,HRES,1 days,54.5,1.0110640898423866,2632.44992043984
2020-06-01_2020-08-31,z500,HRES,1 days,55.5,1.0113694624939797,2501.7719881250273
2020-06-01_2020-08-31,z500,HRES,1 days,56.5,1.0118802171608925,2481.517771092491
2020-06-01_2020-08-31,z500,HRES,1 days,57.5,1.0114917653536752,2409.6157674045885
2020-06-01_2020-08-31,z500,HRES,1 days,58.5,1.0113297288005347,2336.8070845412435
2020-06-01_2020-08-31,z500,HRES,1 days,59.5,1.012362156655579,2305.6519684648256
2020-06-01_2020-08-31,z500,HRES,1 days,60.5,1.011936524035885,2226.9652332600326
2020-06-01_2020-08-31,z500,HRES,1 days,61.5,1.057278546328435,1830.5070555614423
