window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2021-06-01_2021-08-31,HRES,1 days,0.02,111,0.6098901098901099
2021-06-01_2021-08-31,HRES,1 days,0.05,98,0.5384615384615384
2021-06-01_2021-08-31,HRES,1 days,0.1,74,0.4065934065934066
2021-06-01_2021-08-31,HRES,1 days,0.2,14,0.07692307692307693
2021-06-01_2021-08-31,HRES,1 days,0.5,0,0.0
2021-06-01_2021-08-31,HRES,3 days,0.02,107,0.601123595505618
2021-06-01_2021-08-31,HRES,3 days,0.05,94,0.5280898876404494
2021-06-01_2021-08-31,HRES,3 days,0.1,70,0.39325842696629215
2021-06-01_2021-08-31,HRES,3 days,0.2,11,0.06179775280898876
2021-06-01_2021-08-31,HRES,3 days,0.5,0,0.0
2021-06-01_2021-08-31,HRES,5 days,0.02,103,0.5919540229885057
2021-06-01_2021-08-31,HRES,5 days,0.05,90,0.5172413793103449
2021-06-01_2021-08-31,HRES,5 days,0.1,66,0.3793103448275862
2021-06-01_2021-08-31,HRES,5 days,0.2,10,0.05747126436781609
2021-06-01_2021-08-31,HRES,5 days,0.5,0,0.0
2021-06-01_2021-08-31,HRES,7 days,0.02,101,0.5941176470588235
2021-06-01_2021-08-31,HRES,7 days,0.05,89,0.5235294117647059
2021-06-01_2021-08-31,HRES,7 days,0.1,66,0.38823529411764707
2021-06-01_2021-08-31,HRES,7 days,0.2,10,0.058823529411764705
2021-06-01_2021-08-31,HRES,7 days,0.5,0,0.0
2021-06-01_2021-08-31,GraphCast,1 days,0.02,0,
2021-06-01_2021-08-31,GraphCast,1 days,0.05,0,
2021-06-01_2021-08-31,GraphCast,1 days,0.1,0,
2021-06-01_2021-08-31,GraphCast,1 days,0.2,0,
2021-06-01_2021-08-31,GraphCast,1 days,0.5,0,
2021-06-01_2021-08-31,GraphCast,3 days,0.02,0,
2021-06-01_2021-08-31,GraphCast,3 days,0.05,0,
2021-06-01_2021-08-31,GraphCast,3 days,0.1,0,
2021-06-01_2021-08-31,GraphCast,3 days,0.2,0,
2021-06-01_2021-08-31,GraphCast,3 days,0.5,0,
2021-06-01_2021-08-31,GraphCast,5 days,0.02,0,
2021-06-01_2021-08-31,GraphCast,5 days,0.05,0,
2021-06-01_2021-08-31,GraphCast,5 days,0.1,0,
2021-06-01_2021-08-31,GraphCast,5 days,0.2,0,
2021-06-01_2021-08-31,GraphCast,5 days,0.5,0,
2021-06-01_2021-08-31,GraphCast,7 days,0.02,0,
2021-06-01_2021-08-31,GraphCast,7 days,0.05,0,
2021-06-01_2021-08-31,GraphCast,7 days,0.1,0,
2021-06-01_2021-08-31,GraphCast,7 days,0.2,0,
2021-06-01_2021-08-31,GraphCast,7 days,0.5,0,
2021-06-01_2021-08-31,NeuralGCM,1 days,0.02,0,
2021-06-01_2021-08-31,NeuralGCM,1 days,0.05,0,
2021-06-01_2021-08-31,NeuralGCM,1 days,0.1,0,
2021-06-01_2021-08-31,NeuralGCM,1 days,0.2,0,
2021-06-01_2021-08-31,NeuralGCM,1 days,0.5,0,
2021-06-01_2021-08-31,NeuralGCM,3 days,0.02,0,
2021-06-01_2021-08-31,NeuralGCM,3 days,0.05,0,
2021-06-01_2021-08-31,NeuralGCM,3 days,0.1,0,
2021-06-01_2021-08-31,NeuralGCM,3 days,0.2,0,
2021-06-01_2021-08-31,NeuralGCM,3 days,0.5,0,
2021-06-01_2021-08-31,NeuralGCM,5 days,0.02,0,
2021-06-01_2021-08-31,NeuralGCM,5 days,0.05,0,
2021-06-01_2021-08-31,NeuralGCM,5 days,0.1,0,
2021-06-01_2021-08-31,NeuralGCM,5 days,0.2,0,
2021-06-01_2021-08-31,NeuralGCM,5 days,0.5,0,
2021-06-01_2021-08-31,NeuralGCM,7 days,0.02,0,
2021-06-01_2021-08-31,NeuralGCM,7 days,0.05,0,
2021-06-01_2021-08-31,NeuralGCM,7 days,0.1,0,
2021-06-01_2021-08-31,NeuralGCM,7 days,0.2,0,
2021-06-01_2021-08-31,NeuralGCM,7 days,0.5,0,
