window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2022-06-01_2022-08-31,HRES,1 days,47.7153061514028,46.85896729152107,66,116
2022-06-01_2022-08-31,HRES,3 days,139.45206671074325,137.15269066682583,62,116
2022-06-01_2022-08-31,HRES,5 days,313.0896594790307,297.52710383372994,60,114
2022-06-01_2022-08-31,HRES,7 days,518.8734374387625,501.7761437272344,60,110
2022-06-01_2022-08-31,GraphCast,1 days,,,0,0
2022-06-01_2022-08-31,GraphCast,3 days,,,0,0
2022-06-01_2022-08-31,GraphCast,5 days,,,0,0
2022-06-01_2022-08-31,GraphCast,7 days,,,0,0
2022-06-01_2022-08-31,NeuralGCM,1 days,,,0,0
2022-06-01_2022-08-31,NeuralGCM,3 days,,,0,0
2022-06-01_2022-08-31,NeuralGCM,5 days,,,0,0
2022-06-01_2022-08-31,NeuralGCM,7 days,,,0,0
