window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2022-06-01_2022-08-31,z500,HRES,1 days,47.16950775719246,0.9980816114407493,34.4687886559478,8.654038883166518,182
2022-06-01_2022-08-31,z500,HRES,3 days,137.9535969293139,0.9831555871658239,85.8823566558993,17.999724918465393,178
2022-06-01_2022-08-31,z500,HRES,5 days,302.89350233210945,0.9174111230232765,175.63540132127014,25.536722452390425,174
2022-06-01_2022-08-31,z500,HRES,7 days,507.8104826842442,0.7668187710016134,292.8098689593707,30.926096862446876,170
2022-06-01_2022-08-31,z500,GraphCast,1 days,,,,,0
2022-06-01_2022-08-31,z500,GraphCast,3 days,,,,,0
2022-06-01_2022-08-31,z500,GraphCast,5 days,,,,,0
2022-06-01_2022-08-31,z500,GraphCast,7 days,,,,,0
2022-06-01_2022-08-31,z500,NeuralGCM,1 days,,,,,0
2022-06-01_2022-08-31,z500,NeuralGCM,3 days,,,,,0
2022-06-01_2022-08-31,z500,NeuralGCM,5 days,,,,,0
2022-06-01_2022-08-31,z500,NeuralGCM,7 days,,,,,0
2022-06-01_2022-08-31,t850,HRES,1 days,0.8369269124399621,0.9656071165041353,0.5541401872718263,-0.04268663288782414,182
2022-06-01_2022-08-31,t850,HRES,3 days,1.2718295519056884,0.9206153820306328,0.8534825883633714,-0.003373893340746695,178
2022-06-01_2022-08-31,t850,HRES,5 days,1.8775635984013028,0.8276214973967837,1.2420789064707622,0.01437584780933965,174
2022-06-01_2022-08-31,t850,HRES,7 days,2.6171843564601467,0.6645253611823373,1.7199876718047953,0.023332482584411594,170
2022-06-01_2022-08-31,t850,GraphCast,1 days,,,,,0
2022-06-01_2022-08-31,t850,GraphCast,3 days,,,,,0
2022-06-01_2022-08-31,t850,GraphCast,5 days,,,,,0
2022-06-01_2022-08-31,t850,GraphCast,7 days,,,,,0
2022-06-01_2022-08-31,t850,NeuralGCM,1 days,,,,,0
2022-06-01_2022-08-31,t850,NeuralGCM,3 days,,,,,0
2022-06-01_2022-08-31,t850,NeuralGCM,5 days,,,,,0
2022-06-01_2022-08-31,t850,NeuralGCM,7 days,,,,,0
2022-06-01_2022-08-31,u850,HRES,1 days,1.332413917006073,0.9699006401403446,0.9801932769913151,0.018323177097452636,182
2022-06-01_2022-08-31,u850,HRES,3 days,2.3490341712441865,0.904876330455437,1.6468018564834868,0.0010105614887883211,178
2022-06-01_2022-08-31,u850,HRES,5 days,3.6603310197311805,0.766767629631913,2.495483127175469,-0.020983652148971823,174
2022-06-01_2022-08-31,u850,HRES,7 days,4.992906603955746,0.5668905414279528,3.4020992283247984,-0.04111841773082162,170
2022-06-01_2022-08-31,u850,GraphCast,1 days,,,,,0
2022-06-01_2022-08-31,u850,GraphCast,3 days,,,,,0
2022-06-01_2022-08-31,u850,GraphCast,5 days,,,,,0
2022-06-01_2022-08-31,u850,GraphCast,7 days,,,,,0
2022-06-01_2022-08-31,u850,NeuralGCM,1 days,,,,,0
2022-06-01_2022-08-31,u850,NeuralGCM,3 days,,,,,0
2022-06-01_2022-08-31,u850,NeuralGCM,5 days,,,,,0
2022-06-01_2022-08-31,u850,NeuralGCM,7 days,,,,,0
2022-06-01_2022-08-31,v850,HRES,1 days,1.3494373410772569,0.9684828659991429,0.9863758592710121,-0.015837143345313068,182
2022-06-01_2022-08-31,v850,HRES,3 days,2.3994822025971443,0.8991953816665766,1.6468170151903083,0.04143040100979107,178
2022-06-01_2022-08-31,v850,HRES,5 days,3.730409758230832,0.754542825940607,2.4858583711205915,0.012852131325832478,174
2022-06-01_2022-08-31,v850,HRES,7 days,5.088644353061975,0.5426233627902016,3.385623163603812,0.022242395577583837,170
2022-06-01_2022-08-31,v850,GraphCast,1 days,,,,,0
2022-06-01_2022-08-31,v850,GraphCast,3 days,,,,,0
2022-06-01_2022-08-31,v850,GraphCast,5 days,,,,,0
2022-06-01_2022-08-31,v850,GraphCast,7 days,,,,,0
2022-06-01_2022-08-31,v850,NeuralGCM,1 days,,,,,0
2022-06-01_2022-08-31,v850,NeuralGCM,3 days,,,,,0
2022-06-01_2022-08-31,v850,NeuralGCM,5 days,,,,,0
2022-06-01_2022-08-31,v850,NeuralGCM,7 days,,,,,0
2022-06-01_2022-08-31,mslp,HRES,1 days,64.43460226564076,0.9953737439831801,45.21163959316552,3.514353652162424,182
2022-06-01_2022-08-31,mslp,HRES,3 days,153.57618346611346,0.9732434298834037,96.65786742815973,3.0196503630301543,178
2022-06-01_2022-08-31,mslp,HRES,5 days,310.2154573330037,0.8896096211613792,183.04957502475727,3.005409459853172,174
2022-06-01_2022-08-31,mslp,HRES,7 days,503.16274508515676,0.7100430286831907,292.71812155274006,2.8765266942297933,170
2022-06-01_2022-08-31,mslp,GraphCast,1 days,,,,,0
2022-06-01_2022-08-31,mslp,GraphCast,3 days,,,,,0
2022-06-01_2022-08-31,mslp,GraphCast,5 days,,,,,0
2022-06-01_2022-08-31,mslp,GraphCast,7 days,,,,,0
