window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-06-01_2022-08-31,z500,HRES,1 days,0,RMSE,40,46.65651414316151,45.91898896435639,47.34628777801231,46.69044808975195,1.9640840586309192
2022-06-01_2022-08-31,z500,HRES,1 days,1,RMSE,40,46.96377861201309,46.48095934659183,47.5545844421313,46.74951212080623,1.8315410493704392
2022-06-01_2022-08-31,z500,HRES,1 days,2,RMSE,31,46.46144442085188,45.31426778612551,47.50372158066198,47.06061278419591,2.176070499785769
2022-06-01_2022-08-31,z500,HRES,1 days,3,RMSE,71,47.88357640219208,47.095750206395145,48.81258454636812,47.970796647206846,2.5801635015627817
2022-06-01_2022-08-31,z500,HRES,3 days,0,RMSE,40,135.78926582386242,128.33786168625488,141.62920251457132,132.5330286966933,14.17537354762241
2022-06-01_2022-08-31,z500,HRES,3 days,1,RMSE,40,141.2974408915497,135.47037914434608,145.89840741740525,141.5350680902617,11.036320962684359
2022-06-01_2022-08-31,z500,HRES,3 days,2,RMSE,27,133.67668316624176,127.48308193859695,138.4172422501899,136.42146222670527,9.879567259950454
2022-06-01_2022-08-31,z500,HRES,3 days,3,RMSE,71,138.91551463820934,134.66873336450192,142.87540699531166,138.7878447290677,11.89753582997891
2022-06-01_2022-08-31,z500,HRES,5 days,0,RMSE,40,304.0353175450851,289.626345881203,324.5459605910885,294.5904127809887,35.920955883692
2022-06-01_2022-08-31,z500,HRES,5 days,1,RMSE,40,310.50492671697214,298.90357943412147,327.2002372361786,307.8517523973989,34.90602471302291
2022-06-01_2022-08-31,z500,HRES,5 days,2,RMSE,23,294.38643801031844,284.57407499950307,302.5382102344519,291.91603416993877,31.302169604726018
2022-06-01_2022-08-31,z500,HRES,5 days,3,RMSE,71,300.717909310809,286.1422888868236,313.6369541335731,296.4807656799968,40.39369642139134
2022-06-01_2022-08-31,z500,HRES,7 days,0,RMSE,40,513.166398974453,490.8427793847763,539.8857922338138,502.4062549421197,57.69464267778124
2022-06-01_2022-08-31,z500,HRES,7 days,1,RMSE,40,499.3778868216803,472.32799263033655,523.6405163436656,505.5579765865185,59.77097917981231
2022-06-01_2022-08-31,z500,HRES,7 days,2,RMSE,19,483.4307020213207,470.12859342480186,492.750044664282,481.00083197936084,32.206401138926225
