window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2019-03-01_2019-05-31,z500,HRES,1 days,50.495510494341104,0.998365648628105,37.999333739795354,-5.834971090737679,182
2019-03-01_2019-05-31,z500,HRES,3 days,148.04145525440526,0.9858080000374485,94.83661632429545,-8.614673616883026,178
2019-03-01_2019-05-31,z500,HRES,5 days,322.3628987463525,0.9319150872536336,192.6076336468349,-13.094315995699521,174
2019-03-01_2019-05-31,z500,HRES,7 days,544.2166194781474,0.8022102083513102,322.47056183848576,-19.786106963275365,170
2019-03-01_2019-05-31,z500,GraphCast,1 days,,,,,0
2019-03-01_2019-05-31,z500,GraphCast,3 days,,,,,0
2019-03-01_2019-05-31,z500,GraphCast,5 days,,,,,0
2019-03-01_2019-05-31,z500,GraphCast,7 days,,,,,0
2019-03-01_2019-05-31,z500,NeuralGCM,1 days,,,,,0
2019-03-01_2019-05-31,z500,NeuralGCM,3 days,,,,,0
2019-03-01_2019-05-31,z500,NeuralGCM,5 days,,,,,0
2019-03-01_2019-05-31,z500,NeuralGCM,7 days,,,,,0
2019-03-01_2019-05-31,t850,HRES,1 days,0.7396931364728059,0.9821874632362657,0.5148201664897096,-0.05293225342821767,182
2019-03-01_2019-05-31,t850,HRES,3 days,1.2054875890438266,0.9524416211650314,0.8189811250871369,-0.055628801044105,178
2019-03-01_2019-05-31,t850,HRES,5 days,1.9034080384391563,0.8806520803772936,1.246768055974708,-0.07278007096928617,174
2019-03-01_2019-05-31,t850,HRES,7 days,2.7484711375224875,0.7480132936795629,1.7869809692701035,-0.10526519774847655,170
2019-03-01_2019-05-31,t850,GraphCast,1 days,,,,,0
2019-03-01_2019-05-31,t850,GraphCast,3 days,,,,,0
2019-03-01_2019-05-31,t850,GraphCast,5 days,,,,,0
2019-03-01_2019-05-31,t850,GraphCast,7 days,,,,,0
2019-03-01_2019-05-31,t850,NeuralGCM,1 days,,,,,0
2019-03-01_2019-05-31,t850,NeuralGCM,3 days,,,,,0
2019-03-01_2019-05-31,t850,NeuralGCM,5 days,,,,,0
2019-03-01_2019-05-31,t850,NeuralGCM,7 days,,,,,0
2019-03-01_2019-05-31,u850,HRES,1 days,1.3362006869461556,0.9707842868030478,0.9846784019897908,0.03017438350433092,182
2019-03-01_2019-05-31,u850,HRES,3 days,2.4172867823146333,0.9036506796531523,1.6916690538805015,0.015239048721750168,178
2019-03-01_2019-05-31,u850,HRES,5 days,3.7990766224609898,0.7611353418182675,2.5890768812707807,-0.006763629817375081,174
2019-03-01_2019-05-31,u850,HRES,7 days,5.151802750777772,0.5613351359719334,3.5323732333460787,-0.031310716820987156,170
2019-03-01_2019-05-31,u850,GraphCast,1 days,,,,,0
2019-03-01_2019-05-31,u850,GraphCast,3 days,,,,,0
2019-03-01_2019-05-31,u850,GraphCast,5 days,,,,,0
2019-03-01_2019-05-31,u850,GraphCast,7 days,,,,,0
2019-03-01_2019-05-31,u850,NeuralGCM,1 days,,,,,0
2019-03-01_2019-05-31,u850,NeuralGCM,3 days,,,,,0
2019-03-01_2019-05-31,u850,NeuralGCM,5 days,,,,,0
2019-03-01_2019-05-31,u850,NeuralGCM,7 days,,,,,0
2019-03-01_2019-05-31,v850,HRES,1 days,1.3599764658696645,0.96827729862029,0.991874293854916,-0.017198805418703243,182
2019-03-01_2019-05-31,v850,HRES,3 days,2.4395580666265557,0.896982377181171,1.6749848784607058,-0.01211737181110932,178
2019-03-01_2019-05-31,v850,HRES,5 days,3.838902794001538,0.7439243888694247,2.5566907565421015,-0.010334692139228916,174
2019-03-01_2019-05-31,v850,HRES,7 days,5.241773864440422,0.5219323804111833,3.486141973442009,-0.016693949206229606,170
2019-03-01_2019-05-31,v850,GraphCast,1 days,,,,,0
2019-03-01_2019-05-31,v850,GraphCast,3 days,,,,,0
2019-03-01_2019-05-31,v850,GraphCast,5 days,,,,,0
2019-03-01_2019-05-31,v850,GraphCast,7 days,,,,,0
2019-03-01_2019-05-31,v850,NeuralGCM,1 days,,,,,0
2019-03-01_2019-05-31,v850,NeuralGCM,3 days,,,,,0
2019-03-01_2019-05-31,v850,NeuralGCM,5 days,,,,,0
2019-03-01_2019-05-31,v850,NeuralGCM,7 days,,,,,0
2019-03-01_2019-05-31,mslp,HRES,1 days,64.91261388762243,0.9955440094370833,46.321257572297746,-0.742121378502209,182
2019-03-01_2019-05-31,mslp,HRES,3 days,157.97010723968137,0.9733225648975485,100.05427739532207,-0.9850133556968723,178
2019-03-01_2019-05-31,mslp,HRES,5 days,321.1709384777736,0.8888368456392549,190.79076728202935,-1.0514733172071653,174
2019-03-01_2019-05-31,mslp,HRES,7 days,523.6082268225867,0.7049207926274074,310.28919876162047,-1.246047378429982,170
2019-03-01_2019-05-31,mslp,GraphCast,1 days,,,,,0
2019-03-01_2019-05-31,mslp,GraphCast,3 days,,,,,0
2019-03-01_2019-05-31,mslp,GraphCast,5 days,,,,,0
2019-03-01_2019-05-31,mslp,GraphCast,7 days,,,,,0
