window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2019-03-01_2019-05-31,HRES,1 days,0,327.89787764239986,49.306855290260195,24
2019-03-01_2019-05-31,HRES,1 days,1,390.20353924514063,50.3304372750416,61
2019-03-01_2019-05-31,HRES,1 days,2,387.14052313268115,51.01194782343577,39
2019-03-01_2019-05-31,HRES,1 days,3,386.9507151155639,50.822198365565995,57
2019-03-01_2019-05-31,HRES,3 days,0,335.22677216986034,152.7520132542235,24
2019-03-01_2019-05-31,HRES,3 days,1,396.1276881888947,149.0140395736426,57
2019-03-01_2019-05-31,HRES,3 days,2,395.251617289567,144.70773818400033,39
2019-03-01_2019-05-31,HRES,3 days,3,391.41975419598066,147.34937952167525,57
2019-03-01_2019-05-31,HRES,5 days,0,390.788488606823,334.59577414611357,24
2019-03-01_2019-05-31,HRES,5 days,1,434.365873696475,324.3884996621018,53
2019-03-01_2019-05-31,HRES,5 days,2,429.30013627065233,315.1593151336221,39
2019-03-01_2019-05-31,HRES,5 days,3,432.28314071668336,320.22199176129556,57
2019-03-01_2019-05-31,HRES,7 days,0,548.4025836562363,556.8830174282476,24
2019-03-01_2019-05-31,HRES,7 days,1,521.2831325010546,524.066942488031,49
2019-03-01_2019-05-31,HRES,7 days,2,532.152887048502,548.0062076721333,39
2019-03-01_2019-05-31,HRES,7 days,3,540.7941676204,553.9656784103928,57
