window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2020-03-01_2020-05-31,HRES,1 days,EuroAtlantic,0.09079670329670331,0.3237500000000001,0.37437499999999985,0.475,182
2020-03-01_2020-05-31,HRES,1 days,Pacific,0.04979395604395604,0.1612500000000001,0.22374999999999973,0.5,182
2020-03-01_2020-05-31,HRES,3 days,EuroAtlantic,0.0928370786516854,0.325,0.37687500000000007,0.475,178
2020-03-01_2020-05-31,HRES,3 days,Pacific,0.05077247191011237,0.1625,0.225,0.5,178
2020-03-01_2020-05-31,HRES,5 days,EuroAtlantic,0.09497126436781611,0.325,0.3793749999999999,0.475,174
2020-03-01_2020-05-31,HRES,5 days,Pacific,0.05172413793103448,0.1625,0.225,0.5,174
2020-03-01_2020-05-31,HRES,7 days,EuroAtlantic,0.09720588235294118,0.32624999999999993,0.3818749999999998,0.475,170
2020-03-01_2020-05-31,HRES,7 days,Pacific,0.052941176470588235,0.1625,0.225,0.5,170
2020-03-01_2020-05-31,GraphCast,1 days,EuroAtlantic,0.09079670329670331,0.3237500000000001,0.37437499999999985,0.475,182
2020-03-01_2020-05-31,GraphCast,1 days,Pacific,0.04979395604395604,0.1612500000000001,0.22374999999999973,0.5,182
2020-03-01_2020-05-31,GraphCast,3 days,EuroAtlantic,0.0928370786516854,0.325,0.37687500000000007,0.475,178
2020-03-01_2020-05-31,GraphCast,3 days,Pacific,0.05077247191011237,0.1625,0.225,0.5,178
2020-03-01_2020-05-31,GraphCast,5 days,EuroAtlantic,0.09497126436781611,0.325,0.3793749999999999,0.475,174
2020-03-01_2020-05-31,GraphCast,5 days,Pacific,0.05172413793103448,0.1625,0.225,0.5,174
2020-03-01_2020-05-31,GraphCast,7 days,EuroAtlantic,0.09720588235294118,0.32624999999999993,0.3818749999999998,0.475,170
2020-03-01_2020-05-31,GraphCast,7 days,Pacific,0.052941176470588235,0.1625,0.225,0.5,170
2020-03-01_2020-05-31,NeuralGCM,1 days,EuroAtlantic,0.09079670329670331,0.3237500000000001,0.37437499999999985,0.475,182
2020-03-01_2020-05-31,NeuralGCM,1 days,Pacific,0.04979395604395604,0.1612500000000001,0.22374999999999973,0.5,182
2020-03-01_2020-05-31,NeuralGCM,3 days,EuroAtlantic,0.0928370786516854,0.325,0.37687500000000007,0.475,178
2020-03-01_2020-05-31,NeuralGCM,3 days,Pacific,0.05077247191011237,0.1625,0.225,0.5,178
2020-03-01_2020-05-31,NeuralGCM,5 days,EuroAtlantic,0.09497126436781611,0.325,0.3793749999999999,0.475,174
2020-03-01_2020-05-31,NeuralGCM,5 days,Pacific,0.05172413793103448,0.1625,0.225,0.5,174
2020-03-01_2020-05-31,NeuralGCM,7 days,EuroAtlantic,0.09720588235294118,0.32624999999999993,0.3818749999999998,0.475,170
2020-03-01_2020-05-31,NeuralGCM,7 days,Pacific,0.052941176470588235,0.1625,0.225,0.5,170
