window,model,lead,div_rmse_mean,vort_rmse_mean
2020-03-01_2020-05-31,HRES,1 days,6.356341395641249e-06,1.0117984540038446e-05
2020-03-01_2020-05-31,HRES,3 days,8.427032414763694e-06,1.790631992872256e-05
2020-03-01_2020-05-31,HRES,5 days,9.867839683066563e-06,2.4515146231774416e-05
2020-03-01_2020-05-31,HRES,7 days,1.0808871021191197e-05,2.879617859664982e-05
2020-03-01_2020-05-31,GraphCast,1 days,4.810382417173528e-06,7.586763085604148e-06
2020-03-01_2020-05-31,GraphCast,3 days,6.707148722153051e-06,1.4456715486180538e-05
2020-03-01_2020-05-31,GraphCast,5 days,8.06074007867316e-06,2.037643877063892e-05
2020-03-01_2020-05-31,GraphCast,7 days,9.097409757632431e-06,2.457778135376281e-05
2020-03-01_2020-05-31,NeuralGCM,1 days,5.2424385028143045e-06,8.033222109469594e-06
2020-03-01_2020-05-31,NeuralGCM,3 days,7.11261737758767e-06,1.5197815070577622e-05
2020-03-01_2020-05-31,NeuralGCM,5 days,8.5559258078737e-06,2.187868050614831e-05
2020-03-01_2020-05-31,NeuralGCM,7 days,9.543686299726281e-06,2.6440272157360946e-05
