window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2022-03-01_2022-05-31,HRES,1 days,46.92234208450147,46.027743561345865,110,72
2022-03-01_2022-05-31,HRES,3 days,142.94682102467036,138.1415257987265,109,69
2022-03-01_2022-05-31,HRES,5 days,313.65810011385895,315.69029634278394,105,69
2022-03-01_2022-05-31,HRES,7 days,534.1801336489519,536.6056145558842,101,69
2022-03-01_2022-05-31,GraphCast,1 days,,,0,0
2022-03-01_2022-05-31,GraphCast,3 days,,,0,0
2022-03-01_2022-05-31,GraphCast,5 days,,,0,0
2022-03-01_2022-05-31,GraphCast,7 days,,,0,0
2022-03-01_2022-05-31,NeuralGCM,1 days,,,0,0
2022-03-01_2022-05-31,NeuralGCM,3 days,,,0,0
2022-03-01_2022-05-31,NeuralGCM,5 days,,,0,0
2022-03-01_2022-05-31,NeuralGCM,7 days,,,0,0
