window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2022-03-01_2022-05-31,HRES,1 days,0.02,145,0.7967032967032966
2022-03-01_2022-05-31,HRES,1 days,0.05,136,0.7472527472527473
2022-03-01_2022-05-31,HRES,1 days,0.1,110,0.6043956043956044
2022-03-01_2022-05-31,HRES,1 days,0.2,50,0.27472527472527475
2022-03-01_2022-05-31,HRES,1 days,0.5,3,0.016483516483516484
2022-03-01_2022-05-31,HRES,3 days,0.02,142,0.797752808988764
2022-03-01_2022-05-31,HRES,3 days,0.05,134,0.7528089887640449
2022-03-01_2022-05-31,HRES,3 days,0.1,109,0.6123595505617978
2022-03-01_2022-05-31,HRES,3 days,0.2,49,0.2752808988764045
2022-03-01_2022-05-31,HRES,3 days,0.5,3,0.016853932584269662
2022-03-01_2022-05-31,HRES,5 days,0.02,138,0.7931034482758621
2022-03-01_2022-05-31,HRES,5 days,0.05,130,0.7471264367816092
2022-03-01_2022-05-31,HRES,5 days,0.1,105,0.603448275862069
2022-03-01_2022-05-31,HRES,5 days,0.2,49,0.28160919540229884
2022-03-01_2022-05-31,HRES,5 days,0.5,3,0.017241379310344827
2022-03-01_2022-05-31,HRES,7 days,0.02,134,0.788235294117647
2022-03-01_2022-05-31,HRES,7 days,0.05,126,0.7411764705882353
2022-03-01_2022-05-31,HRES,7 days,0.1,101,0.5941176470588235
2022-03-01_2022-05-31,HRES,7 days,0.2,48,0.2823529411764706
2022-03-01_2022-05-31,HRES,7 days,0.5,3,0.01764705882352941
2022-03-01_2022-05-31,GraphCast,1 days,0.02,0,
2022-03-01_2022-05-31,GraphCast,1 days,0.05,0,
2022-03-01_2022-05-31,GraphCast,1 days,0.1,0,
2022-03-01_2022-05-31,GraphCast,1 days,0.2,0,
2022-03-01_2022-05-31,GraphCast,1 days,0.5,0,
2022-03-01_2022-05-31,GraphCast,3 days,0.02,0,
2022-03-01_2022-05-31,GraphCast,3 days,0.05,0,
2022-03-01_2022-05-31,GraphCast,3 days,0.1,0,
2022-03-01_2022-05-31,GraphCast,3 days,0.2,0,
2022-03-01_2022-05-31,GraphCast,3 days,0.5,0,
2022-03-01_2022-05-31,GraphCast,5 days,0.02,0,
2022-03-01_2022-05-31,GraphCast,5 days,0.05,0,
2022-03-01_2022-05-31,GraphCast,5 days,0.1,0,
2022-03-01_2022-05-31,GraphCast,5 days,0.2,0,
2022-03-01_2022-05-31,GraphCast,5 days,0.5,0,
2022-03-01_2022-05-31,GraphCast,7 days,0.02,0,
2022-03-01_2022-05-31,GraphCast,7 days,0.05,0,
2022-03-01_2022-05-31,GraphCast,7 days,0.1,0,
2022-03-01_2022-05-31,GraphCast,7 days,0.2,0,
2022-03-01_2022-05-31,GraphCast,7 days,0.5,0,
2022-03-01_2022-05-31,NeuralGCM,1 days,0.02,0,
2022-03-01_2022-05-31,NeuralGCM,1 days,0.05,0,
2022-03-01_2022-05-31,NeuralGCM,1 days,0.1,0,
2022-03-01_2022-05-31,NeuralGCM,1 days,0.2,0,
2022-03-01_2022-05-31,NeuralGCM,1 days,0.5,0,
2022-03-01_2022-05-31,NeuralGCM,3 days,0.02,0,
2022-03-01_2022-05-31,NeuralGCM,3 days,0.05,0,
2022-03-01_2022-05-31,NeuralGCM,3 days,0.1,0,
2022-03-01_2022-05-31,NeuralGCM,3 days,0.2,0,
2022-03-01_2022-05-31,NeuralGCM,3 days,0.5,0,
2022-03-01_2022-05-31,NeuralGCM,5 days,0.02,0,
2022-03-01_2022-05-31,NeuralGCM,5 days,0.05,0,
2022-03-01_2022-05-31,NeuralGCM,5 days,0.1,0,
2022-03-01_2022-05-31,NeuralGCM,5 days,0.2,0,
2022-03-01_2022-05-31,NeuralGCM,5 days,0.5,0,
2022-03-01_2022-05-31,NeuralGCM,7 days,0.02,0,
2022-03-01_2022-05-31,NeuralGCM,7 days,0.05,0,
2022-03-01_2022-05-31,NeuralGCM,7 days,0.1,0,
2022-03-01_2022-05-31,NeuralGCM,7 days,0.2,0,
2022-03-01_2022-05-31,NeuralGCM,7 days,0.5,0,
