window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-03-01_2022-05-31,z500,HRES,1 days,0,RMSE,35,47.2330570859399,46.20875856005766,48.511091750197075,47.18183899560736,2.597788726515695
2022-03-01_2022-05-31,z500,HRES,1 days,1,RMSE,91,46.487682670227635,45.97355038433889,47.02938086536403,46.082307694640576,2.101977255664064
2022-03-01_2022-05-31,z500,HRES,1 days,2,RMSE,42,46.55436719207076,45.54426903440136,48.121371512566384,45.849042741461076,2.666838249009554
2022-03-01_2022-05-31,z500,HRES,1 days,3,RMSE,14,45.47397304617727,44.77421087442857,46.85186401833356,45.365523871462415,1.837723643877618
2022-03-01_2022-05-31,z500,HRES,3 days,0,RMSE,35,147.44240944927216,140.52008858130944,157.24366260513702,147.56662037009355,16.863089874086228
2022-03-01_2022-05-31,z500,HRES,3 days,1,RMSE,91,138.95129886314604,136.23899149520196,142.2347546634362,138.37625409414875,10.659913549619162
2022-03-01_2022-05-31,z500,HRES,3 days,2,RMSE,38,141.28861458082199,134.87703189002605,152.32986601378303,138.22289482362106,15.725195458407727
2022-03-01_2022-05-31,z500,HRES,3 days,3,RMSE,14,138.49634931851043,134.23439667936907,143.08621164228913,137.16979700791688,8.613217645608962
2022-03-01_2022-05-31,z500,HRES,5 days,0,RMSE,35,334.1418849159092,317.4162081568594,359.80137161633684,331.972560813179,39.86184758333312
2022-03-01_2022-05-31,z500,HRES,5 days,1,RMSE,91,307.16764291843185,298.47318895342863,317.16491865579206,301.16380783521265,32.63828121468668
2022-03-01_2022-05-31,z500,HRES,5 days,2,RMSE,34,320.7052669907729,300.32751621774304,352.93136029597434,311.60367865297906,47.38199319197597
2022-03-01_2022-05-31,z500,HRES,5 days,3,RMSE,14,297.5378860204915,271.04308663123305,310.8554478612288,288.7358474206678,36.13514473251035
2022-03-01_2022-05-31,z500,HRES,7 days,0,RMSE,35,570.2309667999253,538.6423272586975,595.8569947536951,567.3716008023227,60.541570177444726
