window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2022-03-01_2022-05-31,z500,HRES,1 days,0.5,1.0725508027620958,0.020768151788430368
2022-03-01_2022-05-31,z500,HRES,1 days,1.5,0.991903070498476,231292.75619356043
2022-03-01_2022-05-31,z500,HRES,1 days,2.5,0.9945746976824061,115400.24339775831
2022-03-01_2022-05-31,z500,HRES,1 days,3.5,0.9856764837697342,106348.16670257814
2022-03-01_2022-05-31,z500,HRES,1 days,4.5,0.9926437575510692,83928.29513313294
2022-03-01_2022-05-31,z500,HRES,1 days,5.5,0.9868129001246829,73538.31296184749
2022-03-01_2022-05-31,z500,HRES,1 days,6.5,0.9899788491303958,66995.48308213815
2022-03-01_2022-05-31,z500,HRES,1 days,7.5,0.9829100101383221,55182.793823357046
2022-03-01_2022-05-31,z500,HRES,1 days,8.5,0.9808381011384261,49030.426765184
2022-03-01_2022-05-31,z500,HRES,1 days,9.5,0.9823428303004478,43767.29173834024
2022-03-01_2022-05-31,z500,HRES,1 days,10.5,0.9823355523592122,38539.210896483644
2022-03-01_2022-05-31,z500,HRES,1 days,11.5,0.985194346660585,36013.17675029707
2022-03-01_2022-05-31,z500,HRES,1 days,12.5,0.9923780595793946,31365.211113684385
2022-03-01_2022-05-31,z500,HRES,1 days,13.5,0.9954932868679776,28157.493238557887
2022-03-01_2022-05-31,z500,HRES,1 days,14.5,1.0028563408627327,25563.600680438238
2022-03-01_2022-05-31,z500,HRES,1 days,15.5,1.001966944792736,22997.338371046022
2022-03-01_2022-05-31,z500,HRES,1 days,16.5,0.9981592367088489,21031.716302610483
2022-03-01_2022-05-31,z500,HRES,1 days,17.5,1.0056682331575475,19033.616129637878
2022-03-01_2022-05-31,z500,HRES,1 days,18.5,1.0099798788291794,17439.980772376275
2022-03-01_2022-05-31,z500,HRES,1 days,19.5,1.0028285908361778,16065.491410472903
2022-03-01_2022-05-31,z500,HRES,1 days,20.5,1.0054400704976922,15048.351169146457
