hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector
33,1,1,145,0.9705882352941176,0.029411764705882353,0.9428571428571428,1.0,34,34,2018-09-01_2018-11-30,HRES,1 days,EuroAtlantic
24,0,0,156,1.0,0.0,1.0,1.0,24,24,2018-09-01_2018-11-30,HRES,1 days,Pacific
31,1,4,140,0.96875,0.11428571428571428,0.8611111111111112,1.09375,32,35,2018-09-01_2018-11-30,HRES,3 days,EuroAtlantic
24,0,1,151,1.0,0.04,0.96,1.0416666666666667,24,25,2018-09-01_2018-11-30,HRES,3 days,Pacific
30,2,9,131,0.9375,0.23076923076923078,0.7317073170731707,1.21875,32,39,2018-09-01_2018-11-30,HRES,5 days,EuroAtlantic
18,6,3,145,0.75,0.14285714285714285,0.6666666666666666,0.875,24,21,2018-09-01_2018-11-30,HRES,5 days,Pacific
26,6,12,124,0.8125,0.3157894736842105,0.5909090909090909,1.1875,32,38,2018-09-01_2018-11-30,HRES,7 days,EuroAtlantic
10,10,3,145,0.5,0.23076923076923078,0.43478260869565216,0.65,20,13,2018-09-01_2018-11-30,HRES,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,GraphCast,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,GraphCast,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,GraphCast,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,GraphCast,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,GraphCast,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,GraphCast,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,GraphCast,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,GraphCast,7 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,NeuralGCM,1 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,NeuralGCM,1 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,NeuralGCM,3 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,NeuralGCM,3 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,NeuralGCM,5 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,NeuralGCM,5 days,Pacific
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,NeuralGCM,7 days,EuroAtlantic
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-09-01_2018-11-30,NeuralGCM,7 days,Pacific
