window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked
2018-09-01_2018-11-30,HRES,1 days,47.53925934564886,46.91047298046521,56,124
2018-09-01_2018-11-30,HRES,3 days,141.45233657179529,138.78296802278896,54,122
2018-09-01_2018-11-30,HRES,5 days,303.16637825520803,304.8755156066547,54,118
2018-09-01_2018-11-30,HRES,7 days,513.8174029201414,518.8842739970457,50,118
2018-09-01_2018-11-30,GraphCast,1 days,,,0,0
2018-09-01_2018-11-30,GraphCast,3 days,,,0,0
2018-09-01_2018-11-30,GraphCast,5 days,,,0,0
2018-09-01_2018-11-30,GraphCast,7 days,,,0,0
2018-09-01_2018-11-30,NeuralGCM,1 days,,,0,0
2018-09-01_2018-11-30,NeuralGCM,3 days,,,0,0
2018-09-01_2018-11-30,NeuralGCM,5 days,,,0,0
2018-09-01_2018-11-30,NeuralGCM,7 days,,,0,0
