window,model,lead,div_rmse_mean,vort_rmse_mean
2018-09-01_2018-11-30,HRES,1 days,6.314814491314787e-06,1.0439916955405719e-05
2018-09-01_2018-11-30,HRES,3 days,8.311809218698762e-06,1.8172407630884598e-05
2018-09-01_2018-11-30,HRES,5 days,9.635332865493217e-06,2.4461626492341307e-05
2018-09-01_2018-11-30,HRES,7 days,1.0492173483400448e-05,2.8549001077159873e-05
2018-09-01_2018-11-30,GraphCast,1 days,,
2018-09-01_2018-11-30,GraphCast,3 days,,
2018-09-01_2018-11-30,GraphCast,5 days,,
2018-09-01_2018-11-30,GraphCast,7 days,,
2018-09-01_2018-11-30,NeuralGCM,1 days,,
2018-09-01_2018-11-30,NeuralGCM,3 days,,
2018-09-01_2018-11-30,NeuralGCM,5 days,,
2018-09-01_2018-11-30,NeuralGCM,7 days,,
