window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times
2019-09-01_2019-11-30,z500,HRES,1 days,46.13392938781206,0.9986532216855871,34.082409694571226,-0.6013662659655314,180
2019-09-01_2019-11-30,z500,HRES,3 days,134.5046277365372,0.9883620374998252,86.01615512393965,-2.3347772762107413,176
2019-09-01_2019-11-30,z500,HRES,5 days,296.39591780682383,0.9424363930199882,178.1131707850321,-6.36916439289055,172
2019-09-01_2019-11-30,z500,HRES,7 days,502.96254266099544,0.8333773099398203,299.5396360271438,-12.227693696101369,168
2019-09-01_2019-11-30,z500,GraphCast,1 days,36.62973773716921,0.9984955919930643,26.7919504746221,-1.1291790517245808,28
2019-09-01_2019-11-30,z500,GraphCast,3 days,119.2620175554268,0.9825919165901146,74.32975506187229,-0.791950029036968,24
2019-09-01_2019-11-30,z500,GraphCast,5 days,263.1195110059956,0.9091798832190777,154.8563778528203,-4.436089497195171,20
2019-09-01_2019-11-30,z500,GraphCast,7 days,457.02840267887666,0.6811643995841742,266.6127605206701,-13.797367519550365,16
2019-09-01_2019-11-30,z500,NeuralGCM,1 days,,,,,0
2019-09-01_2019-11-30,z500,NeuralGCM,3 days,,,,,0
2019-09-01_2019-11-30,z500,NeuralGCM,5 days,,,,,0
2019-09-01_2019-11-30,z500,NeuralGCM,7 days,,,,,0
2019-09-01_2019-11-30,t850,HRES,1 days,0.722467270877881,0.9843032698216615,0.5029766995113542,-0.010304987632635614,180
2019-09-01_2019-11-30,t850,HRES,3 days,1.1434161690243998,0.9604465632873197,0.7853181546506359,-0.003392196455204996,176
2019-09-01_2019-11-30,t850,HRES,5 days,1.78173260029672,0.9030552677458076,1.1806257325391236,-0.027919131285475816,172
2019-09-01_2019-11-30,t850,HRES,7 days,2.553814361129046,0.797848692535562,1.6764990862615763,-0.0677614209512445,168
2019-09-01_2019-11-30,t850,GraphCast,1 days,0.4984457320229629,0.9860846797134553,0.35580368484736685,-0.020663975964554722,28
2019-09-01_2019-11-30,t850,GraphCast,3 days,0.9019930718475457,0.9509821588625812,0.6227007391241478,-0.03590020012983217,24
2019-09-01_2019-11-30,t850,GraphCast,5 days,1.483491291098328,0.8557434581192161,0.9755837601360625,-0.06632792472745377,20
2019-09-01_2019-11-30,t850,GraphCast,7 days,2.1526434106225825,0.6711310627063206,1.402834911180211,-0.13906951637501383,16
2019-09-01_2019-11-30,t850,NeuralGCM,1 days,,,,,0
2019-09-01_2019-11-30,t850,NeuralGCM,3 days,,,,,0
2019-09-01_2019-11-30,t850,NeuralGCM,5 days,,,,,0
2019-09-01_2019-11-30,t850,NeuralGCM,7 days,,,,,0
2019-09-01_2019-11-30,u850,HRES,1 days,1.2937019809025705,0.9733811166422535,0.955350829318931,0.010204905060359594,180
2019-09-01_2019-11-30,u850,HRES,3 days,2.3253342806861634,0.9131954152025632,1.6406137423550475,0.024864611912042,176
2019-09-01_2019-11-30,u850,HRES,5 days,3.6065136017793313,0.7896824369557403,2.491454380648459,-0.0028658857444859775,172
2019-09-01_2019-11-30,u850,HRES,7 days,4.9419242512210175,0.6024159755676993,3.4164506449070355,-0.054980402344005815,168
2019-09-01_2019-11-30,u850,GraphCast,1 days,0.9643384808898328,0.9805560660118806,0.7091750517798757,-0.004057228980375714,28
2019-09-01_2019-11-30,u850,GraphCast,3 days,1.8657266592616144,0.9210364615444661,1.30755311541526,0.02542705176228652,24
2019-09-01_2019-11-30,u850,GraphCast,5 days,3.060117625020093,0.7714187788040952,2.06163961183424,0.0389425177235999,20
