window,model,lead,regime,mean_lagged_growth,mean_error_growth,n
2019-09-01_2019-11-30,HRES,1 days,0,355.79803620841056,45.03022352218691,37
2019-09-01_2019-11-30,HRES,1 days,1,371.5507112280538,47.10582195176207,44
2019-09-01_2019-11-30,HRES,1 days,2,354.93830930435985,46.58766074558867,51
2019-09-01_2019-11-30,HRES,1 days,3,380.0642819720042,45.579921992147675,47
2019-09-01_2019-11-30,HRES,3 days,0,356.0845971464638,126.06588265664969,37
2019-09-01_2019-11-30,HRES,3 days,1,379.3927456266591,136.96582213393944,40
2019-09-01_2019-11-30,HRES,3 days,2,359.9648919711476,134.82239902683196,51
2019-09-01_2019-11-30,HRES,3 days,3,390.4066491483492,138.6560801164801,47
2019-09-01_2019-11-30,HRES,5 days,0,382.787850215863,276.9875079763732,37
2019-09-01_2019-11-30,HRES,5 days,1,413.20360787948465,308.7339843923446,36
2019-09-01_2019-11-30,HRES,5 days,2,398.20861594234435,289.1036783352847,51
2019-09-01_2019-11-30,HRES,5 days,3,423.86676196011786,309.874788298545,47
2019-09-01_2019-11-30,HRES,7 days,0,485.393071677392,477.53543002661644,37
2019-09-01_2019-11-30,HRES,7 days,1,518.1600461690779,511.9443094588834,32
2019-09-01_2019-11-30,HRES,7 days,2,492.2297861656128,494.13727165489183,51
2019-09-01_2019-11-30,HRES,7 days,3,529.160283899446,526.2496423302081,47
2019-09-01_2019-11-30,GraphCast,1 days,2,359.30683466589716,36.6297377371692,27
2019-09-01_2019-11-30,GraphCast,3 days,2,346.2365259170367,119.2620175554268,23
2019-09-01_2019-11-30,GraphCast,5 days,2,343.349078570929,263.11951100599566,19
2019-09-01_2019-11-30,GraphCast,7 days,2,391.3425722459602,457.0284026788767,15
