window,model,lead,sector,truth_frac_mean,truth_frac_q90,truth_frac_q95,truth_frac_max,n_valid_times
2020-09-01_2020-11-30,HRES,1 days,EuroAtlantic,0.048125,0.2,0.23812499999999978,0.375,180
2020-09-01_2020-11-30,HRES,1 days,Pacific,0.007361111111111111,0.02624999999999993,0.0625,0.15,180
2020-09-01_2020-11-30,HRES,3 days,EuroAtlantic,0.04921875,0.2,0.24062499999999998,0.375,176
2020-09-01_2020-11-30,HRES,3 days,Pacific,0.007528409090909091,0.03125,0.0625,0.15,176
2020-09-01_2020-11-30,HRES,5 days,EuroAtlantic,0.05036337209302325,0.2,0.24312499999999984,0.375,172
2020-09-01_2020-11-30,HRES,5 days,Pacific,0.007703488372093023,0.03625000000000007,0.0625,0.15,172
2020-09-01_2020-11-30,HRES,7 days,EuroAtlantic,0.0515625,0.2,0.24562500000000007,0.375,168
2020-09-01_2020-11-30,HRES,7 days,Pacific,0.007886904761904762,0.0375,0.0625,0.15,168
2020-09-01_2020-11-30,GraphCast,1 days,EuroAtlantic,0.048125,0.2,0.23812499999999978,0.375,180
2020-09-01_2020-11-30,GraphCast,1 days,Pacific,0.007361111111111111,0.02624999999999993,0.0625,0.15,180
2020-09-01_2020-11-30,GraphCast,3 days,EuroAtlantic,0.04921875,0.2,0.24062499999999998,0.375,176
2020-09-01_2020-11-30,GraphCast,3 days,Pacific,0.007528409090909091,0.03125,0.0625,0.15,176
2020-09-01_2020-11-30,GraphCast,5 days,EuroAtlantic,0.05036337209302325,0.2,0.24312499999999984,0.375,172
2020-09-01_2020-11-30,GraphCast,5 days,Pacific,0.007703488372093023,0.03625000000000007,0.0625,0.15,172
2020-09-01_2020-11-30,GraphCast,7 days,EuroAtlantic,0.0515625,0.2,0.24562500000000007,0.375,168
2020-09-01_2020-11-30,GraphCast,7 days,Pacific,0.007886904761904762,0.0375,0.0625,0.15,168
2020-09-01_2020-11-30,NeuralGCM,1 days,EuroAtlantic,0.048125,0.2,0.23812499999999978,0.375,180
2020-09-01_2020-11-30,NeuralGCM,1 days,Pacific,0.007361111111111111,0.02624999999999993,0.0625,0.15,180
2020-09-01_2020-11-30,NeuralGCM,3 days,EuroAtlantic,0.04921875,0.2,0.24062499999999998,0.375,176
2020-09-01_2020-11-30,NeuralGCM,3 days,Pacific,0.007528409090909091,0.03125,0.0625,0.15,176
2020-09-01_2020-11-30,NeuralGCM,5 days,EuroAtlantic,0.05036337209302325,0.2,0.24312499999999984,0.375,172
2020-09-01_2020-11-30,NeuralGCM,5 days,Pacific,0.007703488372093023,0.03625000000000007,0.0625,0.15,172
2020-09-01_2020-11-30,NeuralGCM,7 days,EuroAtlantic,0.0515625,0.2,0.24562500000000007,0.375,168
2020-09-01_2020-11-30,NeuralGCM,7 days,Pacific,0.007886904761904762,0.0375,0.0625,0.15,168
