window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2021-09-01_2021-11-30,z500,HRES,1 days,0.5,0.8527460212980603,0.022801101153079116
2021-09-01_2021-11-30,z500,HRES,1 days,1.5,0.991810655557123,227723.05315491438
2021-09-01_2021-11-30,z500,HRES,1 days,2.5,0.9941313523915088,116288.11948008566
2021-09-01_2021-11-30,z500,HRES,1 days,3.5,0.9866704299084522,101091.80447900706
2021-09-01_2021-11-30,z500,HRES,1 days,4.5,0.9905903265096693,81623.18130748354
2021-09-01_2021-11-30,z500,HRES,1 days,5.5,0.9929143645302808,71022.24503471173
2021-09-01_2021-11-30,z500,HRES,1 days,6.5,1.00029168227509,60957.63400867981
2021-09-01_2021-11-30,z500,HRES,1 days,7.5,0.9942810309940561,49581.71721027951
2021-09-01_2021-11-30,z500,HRES,1 days,8.5,0.9979270427227921,43564.37978959683
2021-09-01_2021-11-30,z500,HRES,1 days,9.5,0.9948004545504817,39338.983176004076
2021-09-01_2021-11-30,z500,HRES,1 days,10.5,0.9911396001316574,35426.94634259502
2021-09-01_2021-11-30,z500,HRES,1 days,11.5,0.9942446591748533,33366.35728248426
2021-09-01_2021-11-30,z500,HRES,1 days,12.5,0.9961853488966904,29479.002632979602
2021-09-01_2021-11-30,z500,HRES,1 days,13.5,0.9952220246306733,26029.22840341643
2021-09-01_2021-11-30,z500,HRES,1 days,14.5,0.9980669418500837,23691.930638457452
2021-09-01_2021-11-30,z500,HRES,1 days,15.5,0.9999530705815742,21363.902640253884
2021-09-01_2021-11-30,z500,HRES,1 days,16.5,1.0044639283946644,19879.80321710933
2021-09-01_2021-11-30,z500,HRES,1 days,17.5,1.0030266716796938,17741.8689306788
2021-09-01_2021-11-30,z500,HRES,1 days,18.5,1.007924902535605,16380.600729822861
2021-09-01_2021-11-30,z500,HRES,1 days,19.5,1.0094500735221277,15169.054788718715
2021-09-01_2021-11-30,z500,HRES,1 days,20.5,1.0081533635517277,14127.966787609
2021-09-01_2021-11-30,z500,HRES,1 days,21.5,1.0071639334395959,12809.639698151266
2021-09-01_2021-11-30,z500,HRES,1 days,22.5,1.0075687369842936,11866.789018891843
2021-09-01_2021-11-30,z500,HRES,1 days,23.5,1.0069283634490094,11098.77922312743
2021-09-01_2021-11-30,z500,HRES,1 days,24.5,1.0093465767977927,10264.928192604311
2021-09-01_2021-11-30,z500,HRES,1 days,25.5,1.011424048626471,9709.188949809428
2021-09-01_2021-11-30,z500,HRES,1 days,26.5,1.0108473872747181,8933.011653105596
2021-09-01_2021-11-30,z500,HRES,1 days,27.5,1.0112670112739366,8471.19484326239
2021-09-01_2021-11-30,z500,HRES,1 days,28.5,1.0117609400174254,7998.7336423505085
2021-09-01_2021-11-30,z500,HRES,1 days,29.5,1.0119199299946342,7494.613347117997
2021-09-01_2021-11-30,z500,HRES,1 days,30.5,1.0124867404009799,7036.093190611509
2021-09-01_2021-11-30,z500,HRES,1 days,31.5,1.012713903769666,6581.213164594348
2021-09-01_2021-11-30,z500,HRES,1 days,32.5,1.0134803512538815,6278.252471050582
2021-09-01_2021-11-30,z500,HRES,1 days,33.5,1.013672410533875,5902.979898160707
2021-09-01_2021-11-30,z500,HRES,1 days,34.5,1.0135975731103104,5594.004172237092
2021-09-01_2021-11-30,z500,HRES,1 days,35.5,1.013732588943653,5400.089709860736
2021-09-01_2021-11-30,z500,HRES,1 days,36.5,1.015101100603756,5087.074744352075
2021-09-01_2021-11-30,z500,HRES,1 days,37.5,1.0126245264138765,4856.369154634045
2021-09-01_2021-11-30,z500,HRES,1 days,38.5,1.0134416306284864,4584.7109095141095
2021-09-01_2021-11-30,z500,HRES,1 days,39.5,1.0138193649747171,4370.808789043912
2021-09-01_2021-11-30,z500,HRES,1 days,40.5,1.0149301225339002,4199.619735756393
2021-09-01_2021-11-30,z500,HRES,1 days,41.5,1.0129428255960433,3946.3290087476157
2021-09-01_2021-11-30,z500,HRES,1 days,42.5,1.0126285962700174,3805.3392543821788
2021-09-01_2021-11-30,z500,HRES,1 days,43.5,1.014370797882513,3640.6238587941843
2021-09-01_2021-11-30,z500,HRES,1 days,44.5,1.012527451988342,3509.2275106381076
2021-09-01_2021-11-30,z500,HRES,1 days,45.5,1.0129302624743937,3361.6402100744135
2021-09-01_2021-11-30,z500,HRES,1 days,46.5,1.0131937727137363,3215.5283369675312
2021-09-01_2021-11-30,z500,HRES,1 days,47.5,1.0142367297545738,3096.571510792022
2021-09-01_2021-11-30,z500,HRES,1 days,48.5,1.014771512390413,2954.7359648005754
2021-09-01_2021-11-30,z500,HRES,1 days,49.5,1.0146969624193956,2878.9478333165835
2021-09-01_2021-11-30,z500,HRES,1 days,50.5,1.0134115578520295,2739.8388669610417
2021-09-01_2021-11-30,z500,HRES,1 days,51.5,1.0139649710074585,2643.8661090880883
2021-09-01_2021-11-30,z500,HRES,1 days,52.5,1.0148924212312485,2585.287998111829
2021-09-01_2021-11-30,z500,HRES,1 days,53.5,1.0155772659271212,2479.2907484371026
2021-09-01_2021-11-30,z500,HRES,1 days,54.5,1.0144263554251876,2421.7611050485234
2021-09-01_2021-11-30,z500,HRES,1 days,55.5,1.0135254166624794,2303.476699015159
2021-09-01_2021-11-30,z500,HRES,1 days,56.5,1.013488208863855,2260.446792042559
