window,model,lead,threshold,n_truth_blocked,fraction_truth_blocked
2022-09-01_2022-11-30,HRES,1 days,0.02,53,0.29444444444444445
2022-09-01_2022-11-30,HRES,1 days,0.05,46,0.25555555555555554
2022-09-01_2022-11-30,HRES,1 days,0.1,21,0.11666666666666667
2022-09-01_2022-11-30,HRES,1 days,0.2,5,0.027777777777777776
2022-09-01_2022-11-30,HRES,1 days,0.5,0,0.0
2022-09-01_2022-11-30,HRES,3 days,0.02,51,0.2897727272727273
2022-09-01_2022-11-30,HRES,3 days,0.05,46,0.26136363636363635
2022-09-01_2022-11-30,HRES,3 days,0.1,21,0.11931818181818182
2022-09-01_2022-11-30,HRES,3 days,0.2,5,0.028409090909090908
2022-09-01_2022-11-30,HRES,3 days,0.5,0,0.0
2022-09-01_2022-11-30,HRES,5 days,0.02,51,0.29651162790697677
2022-09-01_2022-11-30,HRES,5 days,0.05,46,0.26744186046511625
2022-09-01_2022-11-30,HRES,5 days,0.1,21,0.12209302325581395
2022-09-01_2022-11-30,HRES,5 days,0.2,5,0.029069767441860465
2022-09-01_2022-11-30,HRES,5 days,0.5,0,0.0
2022-09-01_2022-11-30,HRES,7 days,0.02,51,0.30357142857142855
2022-09-01_2022-11-30,HRES,7 days,0.05,46,0.27380952380952384
2022-09-01_2022-11-30,HRES,7 days,0.1,21,0.125
2022-09-01_2022-11-30,HRES,7 days,0.2,5,0.02976190476190476
2022-09-01_2022-11-30,HRES,7 days,0.5,0,0.0
2022-09-01_2022-11-30,GraphCast,1 days,0.02,0,
2022-09-01_2022-11-30,GraphCast,1 days,0.05,0,
2022-09-01_2022-11-30,GraphCast,1 days,0.1,0,
2022-09-01_2022-11-30,GraphCast,1 days,0.2,0,
2022-09-01_2022-11-30,GraphCast,1 days,0.5,0,
2022-09-01_2022-11-30,GraphCast,3 days,0.02,0,
2022-09-01_2022-11-30,GraphCast,3 days,0.05,0,
2022-09-01_2022-11-30,GraphCast,3 days,0.1,0,
2022-09-01_2022-11-30,GraphCast,3 days,0.2,0,
2022-09-01_2022-11-30,GraphCast,3 days,0.5,0,
2022-09-01_2022-11-30,GraphCast,5 days,0.02,0,
2022-09-01_2022-11-30,GraphCast,5 days,0.05,0,
2022-09-01_2022-11-30,GraphCast,5 days,0.1,0,
2022-09-01_2022-11-30,GraphCast,5 days,0.2,0,
2022-09-01_2022-11-30,GraphCast,5 days,0.5,0,
2022-09-01_2022-11-30,GraphCast,7 days,0.02,0,
2022-09-01_2022-11-30,GraphCast,7 days,0.05,0,
2022-09-01_2022-11-30,GraphCast,7 days,0.1,0,
2022-09-01_2022-11-30,GraphCast,7 days,0.2,0,
2022-09-01_2022-11-30,GraphCast,7 days,0.5,0,
2022-09-01_2022-11-30,NeuralGCM,1 days,0.02,0,
2022-09-01_2022-11-30,NeuralGCM,1 days,0.05,0,
2022-09-01_2022-11-30,NeuralGCM,1 days,0.1,0,
2022-09-01_2022-11-30,NeuralGCM,1 days,0.2,0,
2022-09-01_2022-11-30,NeuralGCM,1 days,0.5,0,
2022-09-01_2022-11-30,NeuralGCM,3 days,0.02,0,
2022-09-01_2022-11-30,NeuralGCM,3 days,0.05,0,
2022-09-01_2022-11-30,NeuralGCM,3 days,0.1,0,
2022-09-01_2022-11-30,NeuralGCM,3 days,0.2,0,
2022-09-01_2022-11-30,NeuralGCM,3 days,0.5,0,
2022-09-01_2022-11-30,NeuralGCM,5 days,0.02,0,
2022-09-01_2022-11-30,NeuralGCM,5 days,0.05,0,
2022-09-01_2022-11-30,NeuralGCM,5 days,0.1,0,
2022-09-01_2022-11-30,NeuralGCM,5 days,0.2,0,
2022-09-01_2022-11-30,NeuralGCM,5 days,0.5,0,
2022-09-01_2022-11-30,NeuralGCM,7 days,0.02,0,
2022-09-01_2022-11-30,NeuralGCM,7 days,0.05,0,
2022-09-01_2022-11-30,NeuralGCM,7 days,0.1,0,
2022-09-01_2022-11-30,NeuralGCM,7 days,0.2,0,
2022-09-01_2022-11-30,NeuralGCM,7 days,0.5,0,
