window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-09-01_2022-11-30,z500,HRES,1 days,0,RMSE,48,46.34274421221111,45.219765923834245,47.75853936225401,46.15857677925311,2.9233138929980087
2022-09-01_2022-11-30,z500,HRES,1 days,1,RMSE,42,47.14593743795622,46.11173845011066,48.25354661813023,46.81843565261974,2.2876526220682987
2022-09-01_2022-11-30,z500,HRES,1 days,2,RMSE,55,47.45287868644041,46.634209551064714,48.193488994743596,47.67722252240317,2.248130622868828
2022-09-01_2022-11-30,z500,HRES,1 days,3,RMSE,35,46.06240841589388,45.11471023821527,46.68985900458564,46.03320447444049,2.214839164113263
2022-09-01_2022-11-30,z500,HRES,3 days,0,RMSE,48,133.5889056917725,128.99337646483806,139.13083249891665,130.26572341337868,11.616471716885078
2022-09-01_2022-11-30,z500,HRES,3 days,1,RMSE,42,135.060929552257,130.73083461958814,138.38691086522263,134.99383061287048,10.207626375802676
2022-09-01_2022-11-30,z500,HRES,3 days,2,RMSE,51,143.70334064818027,138.9370684992212,149.31636437092237,140.9269742680979,12.681249409024659
2022-09-01_2022-11-30,z500,HRES,3 days,3,RMSE,35,136.63592267652453,135.21787026540886,139.27287543140346,136.1764930706068,8.077322326310627
2022-09-01_2022-11-30,z500,HRES,5 days,0,RMSE,48,294.24783375725434,281.88695044112336,309.87567032808187,290.3567145955712,31.741877259835956
2022-09-01_2022-11-30,z500,HRES,5 days,1,RMSE,42,303.55213240360615,289.8992297951749,317.33135097902925,309.0817288753146,29.396832178469616
2022-09-01_2022-11-30,z500,HRES,5 days,2,RMSE,47,327.58871684113757,313.5688600424623,340.6606966877882,327.38918809488746,30.92580590208535
2022-09-01_2022-11-30,z500,HRES,5 days,3,RMSE,35,305.5084846105445,288.05471769975696,328.7666695316248,292.801319925743,40.904282359589786
2022-09-01_2022-11-30,z500,HRES,7 days,0,RMSE,48,512.9781752169341,485.78183494842426,540.8530899980103,511.309602181832,61.2296619154689
2022-09-01_2022-11-30,z500,HRES,7 days,1,RMSE,42,524.3170050901206,495.13767415416305,553.2176223849106,517.8241692130965,62.62042710518342
2022-09-01_2022-11-30,z500,HRES,7 days,2,RMSE,43,547.3563528188787,512.4595819720494,582.5699818661683,539.6440509770035,68.9713641668793
2022-09-01_2022-11-30,z500,HRES,7 days,3,RMSE,35,517.9704448701319,478.7588466356452,561.362432509673,508.9837995418165,83.11300640571864
2022-09-01_2022-11-30,z500,HRES,1 days,0,ACC,48,0.9983981759568662,0.9983155835414079,0.9985013055011416,0.9984442794958669,0.00022687023670974103
2022-09-01_2022-11-30,z500,HRES,1 days,1,ACC,42,0.9981775252653838,0.99807777760078,0.9982938040133102,0.9981494485756051,0.00021259002596769576
2022-09-01_2022-11-30,z500,HRES,1 days,2,ACC,55,0.9985394835816861,0.9983909709234641,0.9986731665648514,0.9985416191208165,0.00028987716640432675
2022-09-01_2022-11-30,z500,HRES,1 days,3,ACC,35,0.998979129680638,0.9989203407741467,0.9990655339672176,0.9990163350281855,0.00018231433485608556
2022-09-01_2022-11-30,z500,HRES,3 days,0,ACC,48,0.9858835835116712,0.9849476054657939,0.9870290020955502,0.9860331433914742,0.002490341259166896
2022-09-01_2022-11-30,z500,HRES,3 days,1,ACC,42,0.984805533512986,0.9835845247760059,0.9862329596431582,0.9852296296661549,0.0028556148776704778
2022-09-01_2022-11-30,z500,HRES,3 days,2,ACC,51,0.9866998740888806,0.985385696296072,0.9876273108546744,0.9869282753910776,0.0028998360303916183
