dataset,variable_key,lead_hours,n_valid_times,forecast_shape,truth_shape,status
graphcast_2020_240,z500,24,886,886x240x121,886x240x121,ok
graphcast_2020_240,z500,72,886,886x240x121,886x240x121,ok
graphcast_2020_240,z500,120,886,886x240x121,886x240x121,ok
graphcast_2020_240,z500,168,886,886x240x121,886x240x121,ok
graphcast_2020_240,t850,24,886,886x240x121,886x240x121,ok
graphcast_2020_240,t850,72,886,886x240x121,886x240x121,ok
graphcast_2020_240,t850,120,886,886x240x121,886x240x121,ok
graphcast_2020_240,t850,168,886,886x240x121,886x240x121,ok
graphcast_2020_240,u850,24,886,886x240x121,886x240x121,ok
graphcast_2020_240,u850,72,886,886x240x121,886x240x121,ok
graphcast_2020_240,u850,120,886,886x240x121,886x240x121,ok
graphcast_2020_240,u850,168,886,886x240x121,886x240x121,ok
graphcast_2020_240,v850,24,886,886x240x121,886x240x121,ok
graphcast_2020_240,v850,72,886,886x240x121,886x240x121,ok
graphcast_2020_240,v850,120,886,886x240x121,886x240x121,ok
graphcast_2020_240,v850,168,886,886x240x121,886x240x121,ok
graphcast_2020_240,mslp,24,886,886x240x121,886x240x121,ok
graphcast_2020_240,mslp,72,886,886x240x121,886x240x121,ok
graphcast_2020_240,mslp,120,886,886x240x121,886x240x121,ok
graphcast_2020_240,mslp,168,886,886x240x121,886x240x121,ok
hres_0012_240,z500,24,3650,3650x240x121,3650x240x121,ok
hres_0012_240,z500,72,3646,3646x240x121,3646x240x121,ok
hres_0012_240,z500,120,3642,3642x240x121,3642x240x121,ok
hres_0012_240,z500,168,3638,3638x240x121,3638x240x121,ok
hres_0012_240,t850,24,3650,3650x240x121,3650x240x121,ok
hres_0012_240,t850,72,3646,3646x240x121,3646x240x121,ok
hres_0012_240,t850,120,3642,3642x240x121,3642x240x121,ok
hres_0012_240,t850,168,3638,3638x240x121,3638x240x121,ok
hres_0012_240,u850,24,3650,3650x240x121,3650x240x121,ok
hres_0012_240,u850,72,3646,3646x240x121,3646x240x121,ok
hres_0012_240,u850,120,3642,3642x240x121,3642x240x121,ok
hres_0012_240,u850,168,3638,3638x240x121,3638x240x121,ok
hres_0012_240,v850,24,3650,3650x240x121,3650x240x121,ok
hres_0012_240,v850,72,3646,3646x240x121,3646x240x121,ok
hres_0012_240,v850,120,3642,3642x240x121,3642x240x121,ok
hres_0012_240,v850,168,3638,3638x240x121,3638x240x121,ok
hres_0012_240,mslp,24,3650,3650x240x121,3650x240x121,ok
hres_0012_240,mslp,72,3646,3646x240x121,3646x240x121,ok
hres_0012_240,mslp,120,3642,3642x240x121,3642x240x121,ok
hres_0012_240,mslp,168,3638,3638x240x121,3638x240x121,ok
neuralgcm_det_2020_240,z500,24,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,z500,72,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,z500,120,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,z500,168,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,t850,24,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,t850,72,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,t850,120,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,t850,168,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,u850,24,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,u850,72,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,u850,120,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,u850,168,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,v850,24,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,v850,72,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,v850,120,732,732x240x121,732x240x121,ok
neuralgcm_det_2020_240,v850,168,732,732x240x121,732x240x121,ok
