primary_time_hash,n_tags,tags,starts,ends
32c7884aff0c60b3d023322636eddca8,8,JJA_2018|JJA_2019|JJA_2021|JJA_2022|MAM_2018|MAM_2019|MAM_2021|MAM_2022,1970-01-01 00:00:00,1970-01-01 00:00:00.000000182
0d3e051859654b97465480ec60ab1fc7,3,SON_2018|SON_2021|SON_2022,1970-01-01 00:00:00,1970-01-01 00:00:00.000000180
2ac8dc17c5eb71942a12dfb4c874a368,2,JJA_2020|MAM_2020,1970-01-01 00:00:00.000000170,1970-01-01 00:00:00.000000182
87c4cf41a4e1119aa0025d081d53ee7e,2,2018|2022,1970-01-01 00:00:00,1970-01-01 00:00:00.000000728
883deb2fcd62beb0605c767ef0455588,2,DJF_2019|DJF_2022,1970-01-01 00:00:00,1970-01-01 00:00:00.000000178
06b37e3365d58e14295e054a60b99c98,1,SON_2020,1970-01-01 00:00:00.000000168,1970-01-01 00:00:00.000000180
48af12719a332bb30f34791acd8c3457,1,SON_2019,1970-01-01 00:00:00,1970-01-01 00:00:00.000000180
5ce66ed4a8e1e168c6b47b94ae84dc7d,1,DJF_2020,1970-01-01 00:00:00.000000106,1970-01-01 00:00:00.000000180
887d2403be63d3e74211dc533c50f479,1,DJF_2021,1970-01-01 00:00:00.000000062,1970-01-01 00:00:00.000000178
95d5f81da2de2a960133b8b7644d057f,1,all_2018_2022,1970-01-01 00:00:00.000000732,1970-01-01 00:00:00.000003650
afcfcaf2d751644b02812d36d5358b78,1,2021,1970-01-01 00:00:00,1970-01-01 00:00:00.000000728
c50be76950e19ec3e144a2e21e73097d,1,2020,1970-01-01 00:00:00.000000718,1970-01-01 00:00:00.000000730
fae9f02307256c0be315f10d40922de6,1,2019,1970-01-01 00:00:00,1970-01-01 00:00:00.000000728
