hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,frequency_bias,truth_positive_count,forecast_positive_count,window,model,lead,sector,lead_h,tag,bucket,season,start,end
66,0,0,116,1.0,0.0,1.0,1.0,66,66,2018-03-01_2018-05-31,HRES,1 days,EuroAtlantic,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
25,0,2,155,1.0,0.074074074074074,0.925925925925926,1.08,25,27,2018-03-01_2018-05-31,HRES,1 days,Pacific,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
61,1,3,113,0.9838709677419356,0.046875,0.9384615384615383,1.032258064516129,62,64,2018-03-01_2018-05-31,HRES,3 days,EuroAtlantic,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
23,2,3,150,0.92,0.1153846153846153,0.8214285714285714,1.04,25,26,2018-03-01_2018-05-31,HRES,3 days,Pacific,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
52,7,9,106,0.8813559322033898,0.1475409836065573,0.7647058823529411,1.0338983050847457,59,61,2018-03-01_2018-05-31,HRES,5 days,EuroAtlantic,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
20,4,7,143,0.8333333333333334,0.2592592592592592,0.6451612903225806,1.125,24,27,2018-03-01_2018-05-31,HRES,5 days,Pacific,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
36,23,18,93,0.6101694915254238,0.3333333333333333,0.4675324675324675,0.9152542372881356,59,54,2018-03-01_2018-05-31,HRES,7 days,EuroAtlantic,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
11,13,16,130,0.4583333333333333,0.5925925925925926,0.275,1.125,24,27,2018-03-01_2018-05-31,HRES,7 days,Pacific,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,GraphCast,1 days,EuroAtlantic,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,GraphCast,1 days,Pacific,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,GraphCast,3 days,EuroAtlantic,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,GraphCast,3 days,Pacific,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,GraphCast,5 days,EuroAtlantic,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,GraphCast,5 days,Pacific,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,GraphCast,7 days,EuroAtlantic,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,GraphCast,7 days,Pacific,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,NeuralGCM,1 days,EuroAtlantic,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,NeuralGCM,1 days,Pacific,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,NeuralGCM,3 days,EuroAtlantic,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,NeuralGCM,3 days,Pacific,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,NeuralGCM,5 days,EuroAtlantic,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,NeuralGCM,5 days,Pacific,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,NeuralGCM,7 days,EuroAtlantic,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
0,0,0,0,0.0,0.0,0.0,0.0,0,0,2018-03-01_2018-05-31,NeuralGCM,7 days,Pacific,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
38,0,1,143,1.0,0.0256410256410256,0.9743589743589745,1.0263157894736843,38,39,2018-06-01_2018-08-31,HRES,1 days,EuroAtlantic,24.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
7,2,0,173,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,9,7,2018-06-01_2018-08-31,HRES,1 days,Pacific,24.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
31,3,6,138,0.9117647058823528,0.1621621621621621,0.775,1.088235294117647,34,37,2018-06-01_2018-08-31,HRES,3 days,EuroAtlantic,72.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
5,4,2,167,0.5555555555555556,0.2857142857142857,0.4545454545454545,0.7777777777777778,9,7,2018-06-01_2018-08-31,HRES,3 days,Pacific,72.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
23,7,9,135,0.7666666666666667,0.28125,0.5897435897435898,1.0666666666666669,30,32,2018-06-01_2018-08-31,HRES,5 days,EuroAtlantic,120.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
