window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked,lead_h,tag,bucket,season,start,end
2018-03-01_2018-05-31,HRES,1 days,50.8622925859936,50.54156909100244,84,98,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,HRES,3 days,151.2570779401595,151.6780067602788,80,98,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,HRES,5 days,338.64942683215327,334.512282360628,77,97,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,HRES,7 days,567.500174858726,563.2571254638484,77,93,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,GraphCast,1 days,,,0,0,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,GraphCast,3 days,,,0,0,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,GraphCast,5 days,,,0,0,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,GraphCast,7 days,,,0,0,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,NeuralGCM,1 days,,,0,0,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,NeuralGCM,3 days,,,0,0,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,NeuralGCM,5 days,,,0,0,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,NeuralGCM,7 days,,,0,0,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-06-01_2018-08-31,HRES,1 days,50.04743429607397,49.11896232339495,47,135,24.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,HRES,3 days,148.6315321328306,147.2029635676669,43,135,72.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,HRES,5 days,324.04443605558527,322.3148248767172,39,135,120.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,HRES,7 days,534.8990006442268,530.999400664408,39,131,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,GraphCast,1 days,,,0,0,24.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,GraphCast,3 days,,,0,0,72.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,GraphCast,5 days,,,0,0,120.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,GraphCast,7 days,,,0,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,NeuralGCM,1 days,,,0,0,24.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,NeuralGCM,3 days,,,0,0,72.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,NeuralGCM,5 days,,,0,0,120.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-06-01_2018-08-31,NeuralGCM,7 days,,,0,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31
2018-09-01_2018-11-30,HRES,1 days,47.53925934564886,46.91047298046521,56,124,24.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,HRES,3 days,141.45233657179529,138.78296802278896,54,122,72.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,HRES,5 days,303.16637825520803,304.8755156066547,54,118,120.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,HRES,7 days,513.8174029201414,518.8842739970457,50,118,168.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,GraphCast,1 days,,,0,0,24.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,GraphCast,3 days,,,0,0,72.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,GraphCast,5 days,,,0,0,120.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,GraphCast,7 days,,,0,0,168.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,NeuralGCM,1 days,,,0,0,24.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,NeuralGCM,3 days,,,0,0,72.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,NeuralGCM,5 days,,,0,0,120.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-09-01_2018-11-30,NeuralGCM,7 days,,,0,0,168.0,SON_2018,season,SON,2018-09-01,2018-11-30
2018-12-01_2019-02-28,HRES,1 days,50.90333122348858,49.49078571183507,46,132,24.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,HRES,3 days,146.86117610485758,143.41773950684868,46,128,72.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,HRES,5 days,330.59032104330635,301.95372001048725,46,124,120.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,HRES,7 days,531.4023739480374,509.1769307924469,46,120,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,GraphCast,1 days,,,0,0,24.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,GraphCast,3 days,,,0,0,72.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,GraphCast,5 days,,,0,0,120.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,GraphCast,7 days,,,0,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,NeuralGCM,1 days,,,0,0,24.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,NeuralGCM,3 days,,,0,0,72.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,NeuralGCM,5 days,,,0,0,120.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2018-12-01_2019-02-28,NeuralGCM,7 days,,,0,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28
2019-03-01_2019-05-31,HRES,1 days,50.90722206976796,50.20032106290298,76,106,24.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,HRES,3 days,147.80218398329288,148.2197358093518,76,102,72.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,HRES,5 days,329.7224045341071,316.6555269109509,76,98,120.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,HRES,7 days,540.748493420076,547.0206362910563,76,94,168.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,GraphCast,1 days,,,0,0,24.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,GraphCast,3 days,,,0,0,72.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,GraphCast,5 days,,,0,0,120.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,GraphCast,7 days,,,0,0,168.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,NeuralGCM,1 days,,,0,0,24.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,NeuralGCM,3 days,,,0,0,72.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,NeuralGCM,5 days,,,0,0,120.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-03-01_2019-05-31,NeuralGCM,7 days,,,0,0,168.0,MAM_2019,season,MAM,2019-03-01,2019-05-31
2019-06-01_2019-08-31,HRES,1 days,49.66835360425797,48.75760462677919,66,116,24.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,HRES,3 days,148.57868280990164,140.5445071695961,66,112,72.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,HRES,5 days,316.90792293431275,302.94349258064085,65,109,120.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,HRES,7 days,520.9129252144754,517.2023006274424,61,109,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,GraphCast,1 days,,,0,0,24.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,GraphCast,3 days,,,0,0,72.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,GraphCast,5 days,,,0,0,120.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,GraphCast,7 days,,,0,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,NeuralGCM,1 days,,,0,0,24.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,NeuralGCM,3 days,,,0,0,72.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,NeuralGCM,5 days,,,0,0,120.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-06-01_2019-08-31,NeuralGCM,7 days,,,0,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31
2019-09-01_2019-11-30,HRES,1 days,46.474404880977545,46.06309220467024,31,149,24.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,HRES,3 days,129.8359169819431,135.5027658978642,31,145,72.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,HRES,5 days,283.1146007767296,299.3159236786885,31,141,120.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,HRES,7 days,476.3164156911892,508.99195825270345,31,137,168.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,GraphCast,1 days,36.50321287196428,36.77572796625181,15,13,24.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,GraphCast,3 days,120.42728151806251,117.319910951034,15,9,72.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,GraphCast,5 days,261.479595432145,266.94598067831373,14,6,120.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,GraphCast,7 days,443.66717101727534,479.2971221148789,10,6,168.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,NeuralGCM,1 days,,,0,0,24.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,NeuralGCM,3 days,,,0,0,72.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,NeuralGCM,5 days,,,0,0,120.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-09-01_2019-11-30,NeuralGCM,7 days,,,0,0,168.0,SON_2019,season,SON,2019-09-01,2019-11-30
2019-12-01_2020-02-29,HRES,1 days,49.76633108973813,48.75462352937984,29,151,24.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,HRES,3 days,135.09753144707048,136.0000548165655,29,147,72.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,HRES,5 days,294.8332184917457,288.5941329743328,29,143,120.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,HRES,7 days,516.551236096955,482.8289876933509,29,139,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,GraphCast,1 days,38.95192959843685,38.26849407315608,29,151,24.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,GraphCast,3 days,118.4521386953964,117.13883655862844,29,147,72.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,GraphCast,5 days,248.1750863700366,253.1085014016164,29,143,120.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,GraphCast,7 days,448.85760536725,433.9381137491555,29,139,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,NeuralGCM,1 days,36.93702929665987,37.643232281774544,24,94,24.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,NeuralGCM,3 days,109.03920383429625,111.9884561858978,24,90,72.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,NeuralGCM,5 days,237.93184531212933,251.45773798059344,24,86,120.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2019-12-01_2020-02-29,NeuralGCM,7 days,425.7329289110066,441.2458063714456,24,82,168.0,DJF_2020,season,DJF,2019-12-01,2020-02-29
2020-03-01_2020-05-31,HRES,1 days,47.956705182455,47.71848459462786,86,96,24.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,HRES,3 days,143.75558714642855,141.40515550266556,86,92,72.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,HRES,5 days,330.94526559067486,314.98469313722364,86,88,120.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,HRES,7 days,565.8602551464227,557.2348273106915,86,84,168.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,GraphCast,1 days,40.72509638657722,39.24682794487842,86,96,24.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,GraphCast,3 days,129.83871975319605,126.5946370253113,86,92,72.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,GraphCast,5 days,296.2721317496321,286.08200277767986,86,88,120.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,GraphCast,7 days,524.9863138925347,486.4132405128194,86,84,168.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,NeuralGCM,1 days,38.37232545345551,37.78415536568517,86,96,24.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,NeuralGCM,3 days,121.0885983989585,118.41716591065556,86,92,72.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,NeuralGCM,5 days,289.4290964736702,281.06884889317007,86,88,120.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-03-01_2020-05-31,NeuralGCM,7 days,514.9375331033616,497.1828284530234,86,84,168.0,MAM_2020,season,MAM,2020-03-01,2020-05-31
2020-06-01_2020-08-31,HRES,1 days,46.08891641469651,46.39598707798495,43,139,24.0,JJA_2020,season,JJA,2020-06-01,2020-08-31
2020-06-01_2020-08-31,HRES,3 days,136.11777708950711,136.07683899314873,39,139,72.0,JJA_2020,season,JJA,2020-06-01,2020-08-31
2020-06-01_2020-08-31,HRES,5 days,318.5190562730588,299.2902387112376,39,135,120.0,JJA_2020,season,JJA,2020-06-01,2020-08-31
2020-06-01_2020-08-31,HRES,7 days,539.8726588193061,505.13110467118815,39,131,168.0,JJA_2020,season,JJA,2020-06-01,2020-08-31
2020-06-01_2020-08-31,GraphCast,1 days,39.65114430335324,40.64231364575998,43,139,24.0,JJA_2020,season,JJA,2020-06-01,2020-08-31
