window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times,lead_h,tag,bucket,season,start,end
2018-03-01_2018-05-31,z500,HRES,1 days,50.6895953194599,0.998283878671177,38.05868996560778,-5.977228721646343,182,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,151.48882526809038,0.9842838748410504,97.2421660712446,-9.427390000389783,178,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,336.3430876727397,0.9216718418232148,203.23526642595155,-15.51330982211007,174,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,565.1789772485872,0.7793794457202956,337.71655582111623,-22.057659761082704,170,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,GraphCast,1 days,,,,,0,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,GraphCast,3 days,,,,,0,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,GraphCast,5 days,,,,,0,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,GraphCast,7 days,,,,,0,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,NeuralGCM,1 days,,,,,0,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,NeuralGCM,3 days,,,,,0,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,NeuralGCM,5 days,,,,,0,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,NeuralGCM,7 days,,,,,0,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,0.7123157970666234,0.984136701690694,0.4984477450018542,-0.010152820032372,182,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,1.2018636016664757,0.9543099406682424,0.8148290519053946,0.003761875523799,178,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,1.9354862544766165,0.8796796183426702,1.2631335491440183,-0.0060847204232109,174,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,2.8261094559240765,0.7402450015291604,1.8175953142431864,-0.0254619414963152,170,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,GraphCast,1 days,,,,,0,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
