window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std,lead_h,tag,bucket,season,start,end
2018-03-01_2018-05-31,z500,HRES,1 days,0,RMSE,22,51.20948749362808,48.87881462794124,53.02638564244059,51.2680692701088,2.971898171169004,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,1,RMSE,58,50.78023402364603,50.263830714769874,51.28435156106912,50.8580423811283,1.8095035320080823,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,2,RMSE,60,50.7600978211025,49.38694870897871,52.52297577472575,50.06346307406492,3.1651925078171543,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,3,RMSE,42,50.19138525343486,49.42937340680813,51.05770166782311,50.103371928213576,2.3286182975789127,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,0,RMSE,22,147.2388271890051,142.78504729449543,150.82136970876553,147.14122284537888,9.632781659932917,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,1,RMSE,58,154.07984794990057,150.17491702111266,157.58625410594266,151.55377966723327,12.593717585039874,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,2,RMSE,60,154.31334626199748,146.20549608862638,161.91197739917075,151.790076258865,17.449644818728814,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,3,RMSE,38,145.5348616512603,140.64427962138004,150.50927911638485,142.80885092262395,12.58388082562122,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,0,RMSE,22,327.8878444614796,319.31323399039485,341.0977029849165,328.331911894011,21.474135927240013,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,1,RMSE,58,343.56588416281693,333.8097025845404,354.9706042376695,341.2431708634524,37.41319944596503,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,2,RMSE,60,338.58742795659714,322.2258649715496,357.78045216728543,333.2721060102422,41.26041477207554,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,3,RMSE,34,325.53228582543977,313.2510609743207,336.9651522205701,322.3496624454102,33.03058572410723,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,0,RMSE,22,560.398663202352,530.2717378889079,579.0951881114089,566.7622092411431,56.108419644929775,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,1,RMSE,58,563.237407561887,542.1086871447441,589.9559440386794,558.0028649061694,68.95402726144337,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,2,RMSE,60,572.2254998372238,550.4717612361749,601.520601681809,561.9770021822007,60.78771638689284,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,3,RMSE,30,558.3451970995065,550.3775503571607,572.6045847063517,562.1465042205763,35.42102766900309,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,0,ACC,22,0.998429730670193,0.9983351599972424,0.9984988140970854,0.9984493989784122,0.0001756413037254,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,1,ACC,58,0.9984787284270034,0.9983941245441792,0.9985955734699956,0.9984862452767936,0.0002505305062706,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,2,ACC,60,0.9977952098826564,0.997647154962449,0.9979049077769108,0.9978013174063852,0.0002777507398623,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,1 days,3,ACC,42,0.9986365000401044,0.9985571727062388,0.9986912524949854,0.9986834950041183,0.0001598794096837,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,0,ACC,22,0.9869555478538822,0.985642192195788,0.9879137064010548,0.987066339557084,0.0020997066365573,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,1,ACC,58,0.9856848479941706,0.9849200054373736,0.9867597386161122,0.9864434612210696,0.0029471544150921,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,2,ACC,60,0.9794146058032108,0.9779425825087608,0.980622996306422,0.9790052675789406,0.0037063818373196,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,3 days,3,ACC,38,0.9882871088701858,0.9871856902943624,0.9891957364931132,0.9883284636911438,0.0021078904219163,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,0,ACC,22,0.935590641656804,0.9244710650397246,0.9420701869429752,0.9382660250421596,0.0133008309458497,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,1,ACC,58,0.9276460669820314,0.9207794417282978,0.9345019059094408,0.9318337905861688,0.0202858360840926,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,5 days,2,ACC,60,0.8995676385428834,0.8892307221365452,0.9080271555950048,0.8988206694473746,0.0225006235280415,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
