window,model,lead,blocked_rmse,unblocked_rmse,n_blocked,n_unblocked,lead_h,tag,bucket,season,start,end,blocking_penalty
2018-03-01_2018-05-31,HRES,7 days,567.500174858726,563.2571254638484,77,93,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31,4.24304939487763
2018-03-01_2018-05-31,GraphCast,7 days,,,0,0,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31,
2018-03-01_2018-05-31,NeuralGCM,7 days,,,0,0,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31,
2018-06-01_2018-08-31,HRES,7 days,534.8990006442268,530.999400664408,39,131,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,3.899599979818845
2018-06-01_2018-08-31,GraphCast,7 days,,,0,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,
2018-06-01_2018-08-31,NeuralGCM,7 days,,,0,0,168.0,JJA_2018,season,JJA,2018-06-01,2018-08-31,
2018-09-01_2018-11-30,HRES,7 days,513.8174029201414,518.8842739970457,50,118,168.0,SON_2018,season,SON,2018-09-01,2018-11-30,-5.066871076904363
2018-09-01_2018-11-30,GraphCast,7 days,,,0,0,168.0,SON_2018,season,SON,2018-09-01,2018-11-30,
2018-09-01_2018-11-30,NeuralGCM,7 days,,,0,0,168.0,SON_2018,season,SON,2018-09-01,2018-11-30,
2018-12-01_2019-02-28,HRES,7 days,531.4023739480374,509.1769307924469,46,120,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,22.225443155590483
2018-12-01_2019-02-28,GraphCast,7 days,,,0,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,
2018-12-01_2019-02-28,NeuralGCM,7 days,,,0,0,168.0,DJF_2019,season,DJF,2018-12-01,2019-02-28,
2019-03-01_2019-05-31,HRES,7 days,540.748493420076,547.0206362910563,76,94,168.0,MAM_2019,season,MAM,2019-03-01,2019-05-31,-6.27214287098036
2019-03-01_2019-05-31,GraphCast,7 days,,,0,0,168.0,MAM_2019,season,MAM,2019-03-01,2019-05-31,
2019-03-01_2019-05-31,NeuralGCM,7 days,,,0,0,168.0,MAM_2019,season,MAM,2019-03-01,2019-05-31,
2019-06-01_2019-08-31,HRES,7 days,520.9129252144754,517.2023006274424,61,109,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,3.7106245870330667
2019-06-01_2019-08-31,GraphCast,7 days,,,0,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,
2019-06-01_2019-08-31,NeuralGCM,7 days,,,0,0,168.0,JJA_2019,season,JJA,2019-06-01,2019-08-31,
2019-09-01_2019-11-30,HRES,7 days,476.3164156911892,508.99195825270345,31,137,168.0,SON_2019,season,SON,2019-09-01,2019-11-30,-32.67554256151425
2019-09-01_2019-11-30,GraphCast,7 days,443.66717101727534,479.2971221148789,10,6,168.0,SON_2019,season,SON,2019-09-01,2019-11-30,-35.629951097603566
2019-09-01_2019-11-30,NeuralGCM,7 days,,,0,0,168.0,SON_2019,season,SON,2019-09-01,2019-11-30,
