tag,bucket,season,requested_start,requested_end,run_root,prerun_date_windows_contains_requested,prerun_observed_date_windows,audit_status,regimes_status,window_validation_status,primary_time_hash,primary_observed_start,primary_observed_end,deterministic_status,growth_status,blocking_status,regime_sensitivity_status,subprocess_returncode,elapsed_seconds,stdout_log,stderr_log,worker_process_status,start,end
MAM_2018,season,MAM,2018-03-01,2018-05-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2018,True,"[[""2018-03-01"", ""2018-05-31""]]",ok,ok,ok,ea4948bcfd3437771151c95dddd0b86a,2018-03-01 00:00:00,2018-05-31 18:00:00,ok,ok,ok,skipped,0.0,355.29,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2018/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2018/worker_stderr.log,ok,2018-03-01,2018-05-31
JJA_2018,season,JJA,2018-06-01,2018-08-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2018,True,"[[""2018-06-01"", ""2018-08-31""]]",ok,ok,ok,5b4b56a253a463f504a1c6d7dd05672a,2018-06-01 00:00:00,2018-08-31 18:00:00,ok,ok,ok,skipped,0.0,363.76,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2018/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2018/worker_stderr.log,ok,2018-06-01,2018-08-31
SON_2018,season,SON,2018-09-01,2018-11-30,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2018,True,"[[""2018-09-01"", ""2018-11-30""]]",ok,ok,ok,e7a708b4f417b4a4f507e2e131814312,2018-09-01 00:00:00,2018-11-30 18:00:00,ok,ok,ok,skipped,0.0,331.09,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2018/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2018/worker_stderr.log,ok,2018-09-01,2018-11-30
DJF_2019,season,DJF,2018-12-01,2019-02-28,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2019,True,"[[""2018-12-01"", ""2019-02-28""]]",ok,ok,ok,a0de54d81c2928dc7c26e08c054ddf53,2018-12-01 00:00:00,2019-02-28 18:00:00,ok,ok,ok,skipped,0.0,336.19,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2019/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2019/worker_stderr.log,ok,2018-12-01,2019-02-28
MAM_2019,season,MAM,2019-03-01,2019-05-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2019,True,"[[""2019-03-01"", ""2019-05-31""]]",ok,ok,ok,d2b24483d6966b29ea7b179fadfac722,2019-03-01 00:00:00,2019-05-31 18:00:00,ok,ok,ok,skipped,0.0,341.65,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2019/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2019/worker_stderr.log,ok,2019-03-01,2019-05-31
JJA_2019,season,JJA,2019-06-01,2019-08-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2019,True,"[[""2019-06-01"", ""2019-08-31""]]",ok,ok,ok,c7b7e2a572d821335181aac2baff0077,2019-06-01 00:00:00,2019-08-31 18:00:00,ok,ok,ok,skipped,0.0,374.36,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2019/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2019/worker_stderr.log,ok,2019-06-01,2019-08-31
SON_2019,season,SON,2019-09-01,2019-11-30,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2019,True,"[[""2019-09-01"", ""2019-11-30""]]",ok,ok,ok,2a8b88b1002d20a4d1d0177bbd50cfac,2019-09-01 00:00:00,2019-11-30 18:00:00,ok,ok,ok,skipped,0.0,380.42,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2019/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/SON_2019/worker_stderr.log,ok,2019-09-01,2019-11-30
DJF_2020,season,DJF,2019-12-01,2020-02-29,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2020,True,"[[""2019-12-01"", ""2020-02-29""]]",ok,ok,ok,c5998434eeff8644015b248ce677bdbb,2019-12-01 00:00:00,2020-02-29 18:00:00,ok,ok,ok,skipped,0.0,937.68,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2020/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/DJF_2020/worker_stderr.log,ok,2019-12-01,2020-02-29
MAM_2020,season,MAM,2020-03-01,2020-05-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2020,True,"[[""2020-03-01"", ""2020-05-31""]]",ok,ok,ok,fdfbce0ebaf18cdd7431393c1dfe079b,2020-03-01 00:00:00,2020-05-31 18:00:00,ok,ok,ok,skipped,0.0,1076.74,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2020/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/MAM_2020/worker_stderr.log,ok,2020-03-01,2020-05-31
JJA_2020,season,JJA,2020-06-01,2020-08-31,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2020,True,"[[""2020-06-01"", ""2020-08-31""]]",ok,ok,ok,d92d75f7b923fdaaba660e9045457d7b,2020-06-01 00:00:00,2020-08-31 18:00:00,ok,ok,ok,skipped,0.0,1111.14,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2020/worker_stdout.log,/global/u2/s/suryact/Chaos_Theory/project1_code/flagship_predictability_nextpass/notebooks/outputs/flagship_96plus/multiwindow_runs/JJA_2020/worker_stderr.log,ok,2020-06-01,2020-08-31
