window,variable,model,lead,rmse_mean,acc_mean,mae_mean,bias_mean,n_valid_times,lead_h,tag,bucket,season,start,end,rank_rmse,rank_acc
2018-01-01_2018-12-31,mslp,HRES,7 days,517.9355700779928,0.7582097142004782,306.40091881025506,-2.5267261640511163,716,168.0,2018,year,ALL,2018-01-01,2018-12-31,1.0,1.0
2018-01-01_2018-12-31,mslp,GraphCast,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2018-01-01_2018-12-31,t850,HRES,7 days,2.702097732115456,0.8503186368321775,1.7436186377977052,-0.0422696852008023,716,168.0,2018,year,ALL,2018-01-01,2018-12-31,1.0,1.0
2018-01-01_2018-12-31,t850,GraphCast,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2018-01-01_2018-12-31,t850,NeuralGCM,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2018-01-01_2018-12-31,u850,HRES,7 days,5.140725218755551,0.6217118272457142,3.5283614663000096,-0.0380529850651914,716,168.0,2018,year,ALL,2018-01-01,2018-12-31,1.0,1.0
2018-01-01_2018-12-31,u850,GraphCast,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2018-01-01_2018-12-31,u850,NeuralGCM,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2018-01-01_2018-12-31,v850,HRES,7 days,5.194675434141088,0.547385157343261,3.467577693233947,-0.0144761906195027,716,168.0,2018,year,ALL,2018-01-01,2018-12-31,1.0,1.0
2018-01-01_2018-12-31,v850,GraphCast,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2018-01-01_2018-12-31,v850,NeuralGCM,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2018-01-01_2018-12-31,z500,HRES,7 days,536.7407770777606,0.8553146826827175,317.86835452750734,-13.63945399264968,716,168.0,2018,year,ALL,2018-01-01,2018-12-31,1.0,1.0
2018-01-01_2018-12-31,z500,GraphCast,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2018-01-01_2018-12-31,z500,NeuralGCM,7 days,,,,,0,168.0,2018,year,ALL,2018-01-01,2018-12-31,,
2019-01-01_2019-12-31,mslp,GraphCast,7 days,428.7252973238944,0.7883175867545418,254.37425837606816,-4.0062177317637,78,168.0,2019,year,ALL,2019-01-01,2019-12-31,1.0,1.0
2019-01-01_2019-12-31,mslp,HRES,7 days,503.1964963311997,0.7662977181084145,298.9678327541044,-1.058063783118382,716,168.0,2019,year,ALL,2019-01-01,2019-12-31,2.0,2.0
2019-01-01_2019-12-31,t850,GraphCast,7 days,2.1955712365002014,0.7738638168856613,1.4206725852242392,-0.1140498869687837,78,168.0,2019,year,ALL,2019-01-01,2019-12-31,1.0,2.0
2019-01-01_2019-12-31,t850,HRES,7 days,2.639013959175392,0.85795236711217,1.720977418668474,-0.0840485480107723,716,168.0,2019,year,ALL,2019-01-01,2019-12-31,2.0,1.0
2019-01-01_2019-12-31,t850,NeuralGCM,7 days,,,,,0,168.0,2019,year,ALL,2019-01-01,2019-12-31,,
2019-01-01_2019-12-31,u850,GraphCast,7 days,4.225995933992645,0.6734521924743567,2.8547721682161864,0.04650920688003,78,168.0,2019,year,ALL,2019-01-01,2019-12-31,1.0,1.0
2019-01-01_2019-12-31,u850,HRES,7 days,5.049394091041458,0.6253772752613583,3.472959908861845,-0.040270151483171,716,168.0,2019,year,ALL,2019-01-01,2019-12-31,2.0,2.0
2019-01-01_2019-12-31,u850,NeuralGCM,7 days,,,,,0,168.0,2019,year,ALL,2019-01-01,2019-12-31,,
2019-01-01_2019-12-31,v850,GraphCast,7 days,4.2517123190204,0.6551842468197372,2.7945933327823766,0.0174426792247748,78,168.0,2019,year,ALL,2019-01-01,2019-12-31,1.0,1.0
2019-01-01_2019-12-31,v850,HRES,7 days,5.121726566215696,0.5702499231838057,3.423463235939364,-0.0069256990673166,716,168.0,2019,year,ALL,2019-01-01,2019-12-31,2.0,2.0
2019-01-01_2019-12-31,v850,NeuralGCM,7 days,,,,,0,168.0,2019,year,ALL,2019-01-01,2019-12-31,,
2019-01-01_2019-12-31,z500,GraphCast,7 days,442.9627159330044,0.8281870922809731,257.8322101005375,-12.61578005567665,78,168.0,2019,year,ALL,2019-01-01,2019-12-31,1.0,2.0
2019-01-01_2019-12-31,z500,HRES,7 days,518.2739042941364,0.872724762743475,308.0927668815211,-17.46121161543333,716,168.0,2019,year,ALL,2019-01-01,2019-12-31,2.0,1.0
2019-01-01_2019-12-31,z500,NeuralGCM,7 days,,,,,0,168.0,2019,year,ALL,2019-01-01,2019-12-31,,
2020-01-01_2020-12-31,mslp,GraphCast,7 days,451.59350051740273,0.81154683246879,265.1542303943533,-19.502885147178308,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,1.0,1.0
2020-01-01_2020-12-31,mslp,HRES,7 days,504.1588428341563,0.7743324135878853,297.4743133722546,0.2895689486093873,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,2.0,2.0
2020-01-01_2020-12-31,t850,GraphCast,7 days,2.3295515978115384,0.8875808302121663,1.4875999562386706,-0.1221263884590884,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,1.0,1.0
2020-01-01_2020-12-31,t850,NeuralGCM,7 days,2.3738177646950542,0.8832993088515507,1.524059268701888,0.0549568587119694,718,168.0,2020,year,ALL,2020-01-01,2020-12-31,2.0,2.0
