bucket,season,variable,pair,metric,lead_h,n_windows,share_favorable,delta_mean,delta_ci_lo,delta_ci_hi
season,DJF,mslp,GraphCast_minus_HRES,acc_mean,24.0,4,0.5,0.00166788527031414,0.0014692871762118642,0.0018664833644164158
season,DJF,mslp,GraphCast_minus_HRES,acc_mean,72.0,4,0.5,0.00560528412984751,0.0049096383733695514,0.006300929886325468
season,DJF,mslp,GraphCast_minus_HRES,acc_mean,120.0,4,0.5,0.021249657264971966,0.02083226508077196,0.02166704944917197
season,DJF,mslp,GraphCast_minus_HRES,acc_mean,168.0,4,0.5,0.04578800377482867,0.04482987102000613,0.046746136529651205
season,DJF,mslp,GraphCast_minus_HRES,rmse_mean,24.0,4,0.5,-15.383499925137937,-16.202524089858912,-14.564475760416961
season,DJF,mslp,GraphCast_minus_HRES,rmse_mean,72.0,4,0.5,-21.652797213783664,-21.672259912700156,-21.633334514867173
season,DJF,mslp,GraphCast_minus_HRES,rmse_mean,120.0,4,0.5,-42.54379272928385,-46.686591971367505,-38.400993487200196
season,DJF,mslp,GraphCast_minus_HRES,rmse_mean,168.0,4,0.5,-60.707930203877254,-66.30394087777103,-55.11191952998348
season,DJF,mslp,NeuralGCM_minus_HRES,acc_mean,24.0,4,0.0,,,
season,DJF,mslp,NeuralGCM_minus_HRES,acc_mean,72.0,4,0.0,,,
season,DJF,mslp,NeuralGCM_minus_HRES,acc_mean,120.0,4,0.0,,,
season,DJF,mslp,NeuralGCM_minus_HRES,acc_mean,168.0,4,0.0,,,
season,DJF,mslp,NeuralGCM_minus_HRES,rmse_mean,24.0,4,0.0,,,
season,DJF,mslp,NeuralGCM_minus_HRES,rmse_mean,72.0,4,0.0,,,
season,DJF,mslp,NeuralGCM_minus_HRES,rmse_mean,120.0,4,0.0,,,
season,DJF,mslp,NeuralGCM_minus_HRES,rmse_mean,168.0,4,0.0,,,
season,DJF,t850,GraphCast_minus_HRES,acc_mean,24.0,4,0.5,0.009764518865141791,0.007997125814204642,0.01153191191607894
season,DJF,t850,GraphCast_minus_HRES,acc_mean,72.0,4,0.5,0.01617719283957164,0.013399843019974877,0.018954542659168405
season,DJF,t850,GraphCast_minus_HRES,acc_mean,120.0,4,0.5,0.031004052427904827,0.027654746782538542,0.03435335807327111
season,DJF,t850,GraphCast_minus_HRES,acc_mean,168.0,4,0.5,0.04795704101317605,0.0432818457802393,0.052632236246112796
season,DJF,t850,GraphCast_minus_HRES,rmse_mean,24.0,4,0.5,-0.21132015508342794,-0.22271785269154876,-0.19992245747530712
season,DJF,t850,GraphCast_minus_HRES,rmse_mean,72.0,4,0.5,-0.2299487139656226,-0.23288411407566978,-0.22701331385557544
season,DJF,t850,GraphCast_minus_HRES,rmse_mean,120.0,4,0.5,-0.30437870093003283,-0.3347891166057946,-0.2739682852542711
season,DJF,t850,GraphCast_minus_HRES,rmse_mean,168.0,4,0.5,-0.3655481209723277,-0.42285221208484325,-0.30824402985981214
season,DJF,t850,NeuralGCM_minus_HRES,acc_mean,24.0,4,0.5,0.007396624612176217,0.005127967044271875,0.009665282180080559
season,DJF,t850,NeuralGCM_minus_HRES,acc_mean,72.0,4,0.5,0.010805258793082861,0.006618093379817669,0.014992424206348054
season,DJF,t850,NeuralGCM_minus_HRES,acc_mean,120.0,4,0.5,0.01830680302899418,0.010367416745351354,0.026246189312637003
season,DJF,t850,NeuralGCM_minus_HRES,acc_mean,168.0,4,0.5,0.026183117845431814,0.00952290466070782,0.04284333103015581
season,DJF,t850,NeuralGCM_minus_HRES,rmse_mean,24.0,4,0.5,-0.18220007599663318,-0.19172900247986424,-0.17267114951340212
season,DJF,t850,NeuralGCM_minus_HRES,rmse_mean,72.0,4,0.5,-0.20872474278283332,-0.21964689459576614,-0.1978025909699005
season,DJF,t850,NeuralGCM_minus_HRES,rmse_mean,120.0,4,0.5,-0.2872953961123469,-0.3352263524389938,-0.2393644397857
season,DJF,t850,NeuralGCM_minus_HRES,rmse_mean,168.0,4,0.5,-0.3681738146317248,-0.46012558049043895,-0.2762220487730107
season,DJF,u850,GraphCast_minus_HRES,acc_mean,24.0,4,0.5,0.01088968606961871,0.010341363020725414,0.011438009118512005
season,DJF,u850,GraphCast_minus_HRES,acc_mean,72.0,4,0.5,0.02726003332651361,0.026038940002918842,0.02848112665010838
season,DJF,u850,GraphCast_minus_HRES,acc_mean,120.0,4,0.5,0.0575172071674368,0.057468519143394126,0.05756589519147948
season,DJF,u850,GraphCast_minus_HRES,acc_mean,168.0,4,0.5,0.07904679480727933,0.07380276148697873,0.08429082812757993
season,DJF,u850,GraphCast_minus_HRES,rmse_mean,24.0,4,0.5,-0.29792978337867565,-0.3074690871505448,-0.2883904796068065
season,DJF,u850,GraphCast_minus_HRES,rmse_mean,72.0,4,0.5,-0.41666567950599875,-0.422260661206725,-0.4110706978052725
season,DJF,u850,GraphCast_minus_HRES,rmse_mean,120.0,4,0.5,-0.606284371874056,-0.6280151188077765,-0.5845536249403356
season,DJF,u850,GraphCast_minus_HRES,rmse_mean,168.0,4,0.5,-0.6933060000551379,-0.6987993010072744,-0.6878126991030014
season,DJF,u850,NeuralGCM_minus_HRES,acc_mean,24.0,4,0.5,0.007976078069378334,0.007087750846549001,0.008864405292207667
season,DJF,u850,NeuralGCM_minus_HRES,acc_mean,72.0,4,0.5,0.020401855106437106,0.017861528554496076,0.022942181658378136
season,DJF,u850,NeuralGCM_minus_HRES,acc_mean,120.0,4,0.5,0.04526458374416553,0.04358497167860642,0.04694419580972464
season,DJF,u850,NeuralGCM_minus_HRES,acc_mean,168.0,4,0.5,0.05946235498588398,0.05522446438100492,0.06370024559076304
season,DJF,u850,NeuralGCM_minus_HRES,rmse_mean,24.0,4,0.5,-0.24835676931872286,-0.25407922230109503,-0.24263431633635069
season,DJF,u850,NeuralGCM_minus_HRES,rmse_mean,72.0,4,0.5,-0.3745952845724565,-0.37822097027578416,-0.37096959886912884
season,DJF,u850,NeuralGCM_minus_HRES,rmse_mean,120.0,4,0.5,-0.5492700284573937,-0.6001866852887185,-0.49835337162606885
season,DJF,u850,NeuralGCM_minus_HRES,rmse_mean,168.0,4,0.5,-0.5938996229157496,-0.6562044373041935,-0.5315948085273057
season,DJF,v850,GraphCast_minus_HRES,acc_mean,24.0,4,0.5,0.011706186649735384,0.0110885531966336,0.012323820102837169
season,DJF,v850,GraphCast_minus_HRES,acc_mean,72.0,4,0.5,0.02888686685641223,0.027875863159378844,0.029897870553445616
season,DJF,v850,GraphCast_minus_HRES,acc_mean,120.0,4,0.5,0.05905530909483264,0.054975877588841926,0.06313474060082336
season,DJF,v850,GraphCast_minus_HRES,acc_mean,168.0,4,0.5,0.07896074860170255,0.07822451733994285,0.07969697986346225
season,DJF,v850,GraphCast_minus_HRES,rmse_mean,24.0,4,0.5,-0.2959039502809756,-0.3036696467486819,-0.2881382538132693
season,DJF,v850,GraphCast_minus_HRES,rmse_mean,72.0,4,0.5,-0.4096100767152083,-0.40991795633286277,-0.4093021970975539
season,DJF,v850,GraphCast_minus_HRES,rmse_mean,120.0,4,0.5,-0.5860916140037287,-0.6311957151949268,-0.5409875128125305
season,DJF,v850,GraphCast_minus_HRES,rmse_mean,168.0,4,0.5,-0.681872282786685,-0.7063922670095035,-0.6573522985638665
season,DJF,v850,NeuralGCM_minus_HRES,acc_mean,24.0,4,0.5,0.009573499481182635,0.00924166674431115,0.00990533221805412
season,DJF,v850,NeuralGCM_minus_HRES,acc_mean,72.0,4,0.5,0.024134198358682413,0.022983225507243965,0.02528517121012086
season,DJF,v850,NeuralGCM_minus_HRES,acc_mean,120.0,4,0.5,0.052447866782709684,0.04752563958171607,0.057370093983703296
season,DJF,v850,NeuralGCM_minus_HRES,acc_mean,168.0,4,0.5,0.06717111320374702,0.06534451317388223,0.06899771323361181
season,DJF,v850,NeuralGCM_minus_HRES,rmse_mean,24.0,4,0.5,-0.24667811217820357,-0.24819778226032674,-0.2451584420960804
season,DJF,v850,NeuralGCM_minus_HRES,rmse_mean,72.0,4,0.5,-0.3612113887082403,-0.36853021079387216,-0.3538925666226085
season,DJF,v850,NeuralGCM_minus_HRES,rmse_mean,120.0,4,0.5,-0.5237959977017035,-0.6130235177872767,-0.43456847761613027
season,DJF,v850,NeuralGCM_minus_HRES,rmse_mean,168.0,4,0.5,-0.57103612136682,-0.6695198156610456,-0.4725524270725945
season,DJF,z500,GraphCast_minus_HRES,acc_mean,24.0,4,0.5,0.000588361931256387,0.00043261363430358024,0.0007441102282091938
season,DJF,z500,GraphCast_minus_HRES,acc_mean,72.0,4,0.5,0.003171435063664574,0.002484091428023194,0.0038587786993059536
season,DJF,z500,GraphCast_minus_HRES,acc_mean,120.0,4,0.5,0.015298868061734805,0.01440300267239325,0.01619473345107636
season,DJF,z500,GraphCast_minus_HRES,acc_mean,168.0,4,0.5,0.03558018542407004,0.03556896480528571,0.03559140604285438
season,DJF,z500,GraphCast_minus_HRES,rmse_mean,24.0,4,0.5,-9.33397061365742,-10.539017728541808,-8.128923498773034
season,DJF,z500,GraphCast_minus_HRES,rmse_mean,72.0,4,0.5,-17.873943967120603,-18.496110646109642,-17.251777288131564
season,DJF,z500,GraphCast_minus_HRES,rmse_mean,120.0,4,0.5,-40.9469612051698,-44.524555279944195,-37.3693671303954
season,DJF,z500,GraphCast_minus_HRES,rmse_mean,168.0,4,0.5,-61.082495191404206,-70.02840246968589,-52.136587913122526
season,DJF,z500,NeuralGCM_minus_HRES,acc_mean,24.0,4,0.5,0.0005909396969847047,0.0004751639633767679,0.0007067154305926415
season,DJF,z500,NeuralGCM_minus_HRES,acc_mean,72.0,4,0.5,0.0036716718491736633,0.003097369482761181,0.004245974215586146
season,DJF,z500,NeuralGCM_minus_HRES,acc_mean,120.0,4,0.5,0.015229601629067002,0.015083482119687242,0.015375721138446763
season,DJF,z500,NeuralGCM_minus_HRES,acc_mean,168.0,4,0.5,0.030931932897656778,0.030691100992587872,0.031172764802725683
season,DJF,z500,NeuralGCM_minus_HRES,rmse_mean,24.0,4,0.5,-10.99066448798736,-11.418023082221183,-10.563305893753537
season,DJF,z500,NeuralGCM_minus_HRES,rmse_mean,72.0,4,0.5,-25.92227102823987,-27.36075943091498,-24.483782625564757
season,DJF,z500,NeuralGCM_minus_HRES,rmse_mean,120.0,4,0.5,-51.39355578583273,-61.647673885750265,-41.1394376859152
season,DJF,z500,NeuralGCM_minus_HRES,rmse_mean,168.0,4,0.5,-72.2930577632097,-93.66948218782682,-50.91663333859259
season,JJA,mslp,GraphCast_minus_HRES,acc_mean,24.0,5,0.2,0.0016839375606332307,0.0016839375606332307,0.0016839375606332307
season,JJA,mslp,GraphCast_minus_HRES,acc_mean,72.0,5,0.2,0.004931529369822774,0.004931529369822774,0.004931529369822774
season,JJA,mslp,GraphCast_minus_HRES,acc_mean,120.0,5,0.2,0.016548484938207708,0.016548484938207708,0.016548484938207708
season,JJA,mslp,GraphCast_minus_HRES,acc_mean,168.0,5,0.2,0.029461012646535,0.029461012646535,0.029461012646535
season,JJA,mslp,GraphCast_minus_HRES,rmse_mean,24.0,5,0.2,-13.083792761805483,-13.083792761805483,-13.083792761805483
season,JJA,mslp,GraphCast_minus_HRES,rmse_mean,72.0,5,0.2,-15.026652334118864,-15.026652334118864,-15.026652334118864
season,JJA,mslp,GraphCast_minus_HRES,rmse_mean,120.0,5,0.2,-28.643700953762448,-28.643700953762448,-28.643700953762448
season,JJA,mslp,GraphCast_minus_HRES,rmse_mean,168.0,5,0.2,-39.51196504473114,-39.51196504473114,-39.51196504473114
season,JJA,mslp,NeuralGCM_minus_HRES,acc_mean,24.0,5,0.0,,,
season,JJA,mslp,NeuralGCM_minus_HRES,acc_mean,72.0,5,0.0,,,
season,JJA,mslp,NeuralGCM_minus_HRES,acc_mean,120.0,5,0.0,,,
season,JJA,mslp,NeuralGCM_minus_HRES,acc_mean,168.0,5,0.0,,,
season,JJA,mslp,NeuralGCM_minus_HRES,rmse_mean,24.0,5,0.0,,,
season,JJA,mslp,NeuralGCM_minus_HRES,rmse_mean,72.0,5,0.0,,,
season,JJA,mslp,NeuralGCM_minus_HRES,rmse_mean,120.0,5,0.0,,,
season,JJA,mslp,NeuralGCM_minus_HRES,rmse_mean,168.0,5,0.0,,,
season,JJA,t850,GraphCast_minus_HRES,acc_mean,24.0,5,0.2,0.013428470011263238,0.013428470011263238,0.013428470011263238
season,JJA,t850,GraphCast_minus_HRES,acc_mean,72.0,5,0.2,0.025994447889153616,0.025994447889153616,0.025994447889153616
season,JJA,t850,GraphCast_minus_HRES,acc_mean,120.0,5,0.2,0.04477451803020349,0.04477451803020349,0.04477451803020349
season,JJA,t850,GraphCast_minus_HRES,acc_mean,168.0,5,0.2,0.062477835960092376,0.062477835960092376,0.062477835960092376
season,JJA,t850,GraphCast_minus_HRES,rmse_mean,24.0,5,0.2,-0.21944667286970332,-0.21944667286970332,-0.21944667286970332
season,JJA,t850,GraphCast_minus_HRES,rmse_mean,72.0,5,0.2,-0.25015731215407955,-0.25015731215407955,-0.25015731215407955
season,JJA,t850,GraphCast_minus_HRES,rmse_mean,120.0,5,0.2,-0.29301842185657967,-0.29301842185657967,-0.29301842185657967
season,JJA,t850,GraphCast_minus_HRES,rmse_mean,168.0,5,0.2,-0.316200033128085,-0.316200033128085,-0.316200033128085
season,JJA,t850,NeuralGCM_minus_HRES,acc_mean,24.0,5,0.2,0.011815111264639189,0.011815111264639189,0.011815111264639189
season,JJA,t850,NeuralGCM_minus_HRES,acc_mean,72.0,5,0.2,0.023125042820295927,0.023125042820295927,0.023125042820295927
season,JJA,t850,NeuralGCM_minus_HRES,acc_mean,120.0,5,0.2,0.04027844008765025,0.04027844008765025,0.04027844008765025
season,JJA,t850,NeuralGCM_minus_HRES,acc_mean,168.0,5,0.2,0.055091637887683564,0.055091637887683564,0.055091637887683564
season,JJA,t850,NeuralGCM_minus_HRES,rmse_mean,24.0,5,0.2,-0.18846687502469428,-0.18846687502469428,-0.18846687502469428
season,JJA,t850,NeuralGCM_minus_HRES,rmse_mean,72.0,5,0.2,-0.22115983961877528,-0.22115983961877528,-0.22115983961877528
season,JJA,t850,NeuralGCM_minus_HRES,rmse_mean,120.0,5,0.2,-0.26296492961212814,-0.26296492961212814,-0.26296492961212814
season,JJA,t850,NeuralGCM_minus_HRES,rmse_mean,168.0,5,0.2,-0.27574995022011084,-0.27574995022011084,-0.27574995022011084
season,JJA,u850,GraphCast_minus_HRES,acc_mean,24.0,5,0.2,0.012202673957740773,0.012202673957740773,0.012202673957740773
season,JJA,u850,GraphCast_minus_HRES,acc_mean,72.0,5,0.2,0.02883075960924386,0.02883075960924386,0.02883075960924386
season,JJA,u850,GraphCast_minus_HRES,acc_mean,120.0,5,0.2,0.05365965674240614,0.05365965674240614,0.05365965674240614
season,JJA,u850,GraphCast_minus_HRES,acc_mean,168.0,5,0.2,0.06425615204163493,0.06425615204163493,0.06425615204163493
season,JJA,u850,GraphCast_minus_HRES,rmse_mean,24.0,5,0.2,-0.3135305345214334,-0.3135305345214334,-0.3135305345214334
season,JJA,u850,GraphCast_minus_HRES,rmse_mean,72.0,5,0.2,-0.40750469780452736,-0.40750469780452736,-0.40750469780452736
season,JJA,u850,GraphCast_minus_HRES,rmse_mean,120.0,5,0.2,-0.5463007361318666,-0.5463007361318666,-0.5463007361318666
season,JJA,u850,GraphCast_minus_HRES,rmse_mean,168.0,5,0.2,-0.5943098316655684,-0.5943098316655684,-0.5943098316655684
season,JJA,u850,NeuralGCM_minus_HRES,acc_mean,24.0,5,0.2,0.01039169685841157,0.01039169685841157,0.01039169685841157
season,JJA,u850,NeuralGCM_minus_HRES,acc_mean,72.0,5,0.2,0.026861641977962813,0.026861641977962813,0.026861641977962813
season,JJA,u850,NeuralGCM_minus_HRES,acc_mean,120.0,5,0.2,0.049475005199650646,0.049475005199650646,0.049475005199650646
season,JJA,u850,NeuralGCM_minus_HRES,acc_mean,168.0,5,0.2,0.053427481946055955,0.053427481946055955,0.053427481946055955
season,JJA,u850,NeuralGCM_minus_HRES,rmse_mean,24.0,5,0.2,-0.2622189807094022,-0.2622189807094022,-0.2622189807094022
season,JJA,u850,NeuralGCM_minus_HRES,rmse_mean,72.0,5,0.2,-0.3745071642078983,-0.3745071642078983,-0.3745071642078983
season,JJA,u850,NeuralGCM_minus_HRES,rmse_mean,120.0,5,0.2,-0.4668970373688368,-0.4668970373688368,-0.4668970373688368
season,JJA,u850,NeuralGCM_minus_HRES,rmse_mean,168.0,5,0.2,-0.42023674475346784,-0.42023674475346784,-0.42023674475346784
season,JJA,v850,GraphCast_minus_HRES,acc_mean,24.0,5,0.2,0.01276050497909198,0.01276050497909198,0.01276050497909198
season,JJA,v850,GraphCast_minus_HRES,acc_mean,72.0,5,0.2,0.028872947062085874,0.028872947062085874,0.028872947062085874
season,JJA,v850,GraphCast_minus_HRES,acc_mean,120.0,5,0.2,0.05634562251629516,0.05634562251629516,0.05634562251629516
season,JJA,v850,GraphCast_minus_HRES,acc_mean,168.0,5,0.2,0.06972589568478926,0.06972589568478926,0.06972589568478926
season,JJA,v850,GraphCast_minus_HRES,rmse_mean,24.0,5,0.2,-0.30802933174296365,-0.30802933174296365,-0.30802933174296365
season,JJA,v850,GraphCast_minus_HRES,rmse_mean,72.0,5,0.2,-0.3909735606217257,-0.3909735606217257,-0.3909735606217257
season,JJA,v850,GraphCast_minus_HRES,rmse_mean,120.0,5,0.2,-0.5526013755190782,-0.5526013755190782,-0.5526013755190782
season,JJA,v850,GraphCast_minus_HRES,rmse_mean,168.0,5,0.2,-0.6263843366913928,-0.6263843366913928,-0.6263843366913928
season,JJA,v850,NeuralGCM_minus_HRES,acc_mean,24.0,5,0.2,0.010862563831422256,0.010862563831422256,0.010862563831422256
season,JJA,v850,NeuralGCM_minus_HRES,acc_mean,72.0,5,0.2,0.027210504254831513,0.027210504254831513,0.027210504254831513
season,JJA,v850,NeuralGCM_minus_HRES,acc_mean,120.0,5,0.2,0.05017636540886661,0.05017636540886661,0.05017636540886661
season,JJA,v850,NeuralGCM_minus_HRES,acc_mean,168.0,5,0.2,0.06279434166810416,0.06279434166810416,0.06279434166810416
season,JJA,v850,NeuralGCM_minus_HRES,rmse_mean,24.0,5,0.2,-0.2578575207415683,-0.2578575207415683,-0.2578575207415683
season,JJA,v850,NeuralGCM_minus_HRES,rmse_mean,72.0,5,0.2,-0.3593944991831859,-0.3593944991831859,-0.3593944991831859
season,JJA,v850,NeuralGCM_minus_HRES,rmse_mean,120.0,5,0.2,-0.44784647275529776,-0.44784647275529776,-0.44784647275529776
season,JJA,v850,NeuralGCM_minus_HRES,rmse_mean,168.0,5,0.2,-0.4518966800135882,-0.4518966800135882,-0.4518966800135882
season,JJA,z500,GraphCast_minus_HRES,acc_mean,24.0,5,0.2,0.0004502254580179832,0.0004502254580179832,0.0004502254580179832
season,JJA,z500,GraphCast_minus_HRES,acc_mean,72.0,5,0.2,0.002187664384474153,0.002187664384474153,0.002187664384474153
season,JJA,z500,GraphCast_minus_HRES,acc_mean,120.0,5,0.2,0.011473377801058393,0.011473377801058393,0.011473377801058393
season,JJA,z500,GraphCast_minus_HRES,acc_mean,168.0,5,0.2,0.033682332477008026,0.033682332477008026,0.033682332477008026
season,JJA,z500,GraphCast_minus_HRES,rmse_mean,24.0,5,0.2,-5.915301142126552,-5.915301142126552,-5.915301142126552
season,JJA,z500,GraphCast_minus_HRES,rmse_mean,72.0,5,0.2,-9.067630604295601,-9.067630604295601,-9.067630604295601
