tag,bucket,season,variable,delta,pair,metric,favorable
2018,year,ALL,mslp,,GraphCast_minus_HRES,rmse_mean,False
2018,year,ALL,t850,,GraphCast_minus_HRES,rmse_mean,False
2018,year,ALL,u850,,GraphCast_minus_HRES,rmse_mean,False
2018,year,ALL,v850,,GraphCast_minus_HRES,rmse_mean,False
2018,year,ALL,z500,,GraphCast_minus_HRES,rmse_mean,False
2019,year,ALL,mslp,-74.4711990073053,GraphCast_minus_HRES,rmse_mean,True
2019,year,ALL,t850,-0.44344272267519047,GraphCast_minus_HRES,rmse_mean,True
2019,year,ALL,u850,-0.8233981570488131,GraphCast_minus_HRES,rmse_mean,True
2019,year,ALL,v850,-0.8700142471952965,GraphCast_minus_HRES,rmse_mean,True
2019,year,ALL,z500,-75.311188361132,GraphCast_minus_HRES,rmse_mean,True
2020,year,ALL,mslp,-52.56534231675357,GraphCast_minus_HRES,rmse_mean,True
2020,year,ALL,t850,-0.3106481938737238,GraphCast_minus_HRES,rmse_mean,True
2020,year,ALL,u850,-0.6524858050730336,GraphCast_minus_HRES,rmse_mean,True
2020,year,ALL,v850,-0.6516287183783307,GraphCast_minus_HRES,rmse_mean,True
2020,year,ALL,z500,-54.03965737586577,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,mslp,-80.5369013216469,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,t850,-0.4207918897002516,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,u850,-0.7480738242280367,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,v850,-0.736227551183017,GraphCast_minus_HRES,rmse_mean,True
2021,year,ALL,z500,-80.538229576513,GraphCast_minus_HRES,rmse_mean,True
2022,year,ALL,mslp,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,t850,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,u850,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,v850,,GraphCast_minus_HRES,rmse_mean,False
2022,year,ALL,z500,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,mslp,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,t850,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,u850,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,v850,,GraphCast_minus_HRES,rmse_mean,False
DJF_2019,season,DJF,z500,,GraphCast_minus_HRES,rmse_mean,False
DJF_2020,season,DJF,mslp,-55.11191952998348,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,t850,-0.30824402985981214,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,u850,-0.6987993010072744,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,v850,-0.6573522985638665,GraphCast_minus_HRES,rmse_mean,True
DJF_2020,season,DJF,z500,-52.136587913122526,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,mslp,-66.30394087777103,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,t850,-0.42285221208484325,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,u850,-0.6878126991030014,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,v850,-0.7063922670095035,GraphCast_minus_HRES,rmse_mean,True
DJF_2021,season,DJF,z500,-70.02840246968589,GraphCast_minus_HRES,rmse_mean,True
DJF_2022,season,DJF,mslp,,GraphCast_minus_HRES,rmse_mean,False
DJF_2022,season,DJF,t850,,GraphCast_minus_HRES,rmse_mean,False
DJF_2022,season,DJF,u850,,GraphCast_minus_HRES,rmse_mean,False
DJF_2022,season,DJF,v850,,GraphCast_minus_HRES,rmse_mean,False
DJF_2022,season,DJF,z500,,GraphCast_minus_HRES,rmse_mean,False
